Problem:                                baa99-256
First Stage Rows:                       1
First Stage Columns:                    256
First Stage Non-zeros:                  0
Replication No. 0
Status:                                 REPLICATION SOLUTION
Total Objective Function Upper Bound:   
Total Objective Function Lower Bound:   -6132432.891300

First Stage Solutions:
   No.   Row name   Activity      Lower bound   Upper bound   Dual          Dual STDEV
------ ------------ ------------- ------------- ------------- ------------- -------------
     0 obj           5.142913e+25 

   No. Column name  Activity      Lower bound   Upper bound   Reduced Cost  RC STDEV
------ ------------ ------------- ------------- ------------- ------------- -------------
     1 x1            2.170000e+02  0.000000e+00  2.170000e+02 -1.918608e+00 
     2 x2            1.869601e+02  0.000000e+00  2.170000e+02  0.000000e+00 
     3 x3            1.641554e+02  0.000000e+00  2.170000e+02  0.000000e+00 
     4 x4            1.324322e+02  0.000000e+00  2.170000e+02  0.000000e+00 
     5 x5            1.100844e+02  0.000000e+00  2.170000e+02  0.000000e+00 
     6 x6            1.025231e+02  0.000000e+00  2.170000e+02  0.000000e+00 
     7 x7            1.227350e+02  0.000000e+00  2.170000e+02  0.000000e+00 
     8 x8            1.190787e+02  0.000000e+00  2.170000e+02  0.000000e+00 
     9 x9            1.024058e+02  0.000000e+00  2.170000e+02  0.000000e+00 
    10 x10           1.205138e+02  0.000000e+00  2.170000e+02  0.000000e+00 
    11 x11           1.070081e+02  0.000000e+00  2.170000e+02  0.000000e+00 
    12 x12           1.042329e+02  0.000000e+00  2.170000e+02  0.000000e+00 
    13 x13           1.103225e+02  0.000000e+00  2.170000e+02  0.000000e+00 
    14 x14           9.697034e+01  0.000000e+00  2.170000e+02  0.000000e+00 
    15 x15           1.141537e+02  0.000000e+00  2.170000e+02  0.000000e+00 
    16 x16           1.101378e+02  0.000000e+00  2.170000e+02  0.000000e+00 
    17 x17           9.438592e+01  0.000000e+00  2.170000e+02  0.000000e+00 
    18 x18           1.120275e+02  0.000000e+00  2.170000e+02  0.000000e+00 
    19 x19           1.136098e+02  0.000000e+00  2.170000e+02  0.000000e+00 
    20 x20           1.209176e+02  0.000000e+00  2.170000e+02  0.000000e+00 
    21 x21           1.121622e+02  0.000000e+00  2.170000e+02  0.000000e+00 
    22 x22           1.057553e+02  0.000000e+00  2.170000e+02  0.000000e+00 
    23 x23           1.124131e+02  0.000000e+00  2.170000e+02  0.000000e+00 
    24 x24           1.232278e+02  0.000000e+00  2.170000e+02  0.000000e+00 
    25 x25           1.228243e+02  0.000000e+00  2.170000e+02  0.000000e+00 
    26 x26           1.117850e+02  0.000000e+00  2.170000e+02  0.000000e+00 
    27 x27           8.409939e+01  0.000000e+00  2.170000e+02  0.000000e+00 
    28 x28           9.270489e+01  0.000000e+00  2.170000e+02  0.000000e+00 
    29 x29           1.066973e+02  0.000000e+00  2.170000e+02  0.000000e+00 
    30 x30           1.057300e+02  0.000000e+00  2.170000e+02  0.000000e+00 
    31 x31           8.851478e+01  0.000000e+00  2.170000e+02  0.000000e+00 
    32 x32           9.229292e+01  0.000000e+00  2.170000e+02  0.000000e+00 
    33 x33           7.936194e+01  0.000000e+00  2.170000e+02  0.000000e+00 
    34 x34           9.134751e+01  0.000000e+00  2.170000e+02  0.000000e+00 
    35 x35           1.082369e+02  0.000000e+00  2.170000e+02  0.000000e+00 
    36 x36           1.101450e+02  0.000000e+00  2.170000e+02  0.000000e+00 
    37 x37           1.284212e+02  0.000000e+00  2.170000e+02  0.000000e+00 
    38 x38           1.160604e+02  0.000000e+00  2.170000e+02  0.000000e+00 
    39 x39           1.158216e+02  0.000000e+00  2.170000e+02  0.000000e+00 
    40 x40           1.347511e+02  0.000000e+00  2.170000e+02  0.000000e+00 
    41 x41           1.227831e+02  0.000000e+00  2.170000e+02  0.000000e+00 
    42 x42           1.374652e+02  0.000000e+00  2.170000e+02  0.000000e+00 
    43 x43           1.343002e+02  0.000000e+00  2.170000e+02  0.000000e+00 
    44 x44           9.502953e+01  0.000000e+00  2.170000e+02  0.000000e+00 
    45 x45           9.384045e+01  0.000000e+00  2.170000e+02  0.000000e+00 
    46 x46           1.136092e+02  0.000000e+00  2.170000e+02  0.000000e+00 
    47 x47           9.979978e+01  0.000000e+00  2.170000e+02  0.000000e+00 
    48 x48           1.057950e+02  0.000000e+00  2.170000e+02  0.000000e+00 
    49 x49           6.782556e+01  0.000000e+00  2.170000e+02  0.000000e+00 
    50 x50           8.228230e+01  0.000000e+00  2.170000e+02  0.000000e+00 
    51 x51           9.577641e+01  0.000000e+00  2.170000e+02  0.000000e+00 
    52 x52           1.084898e+02  0.000000e+00  2.170000e+02  0.000000e+00 
    53 x53           9.172595e+01  0.000000e+00  2.170000e+02  0.000000e+00 
    54 x54           1.029414e+02  0.000000e+00  2.170000e+02  0.000000e+00 
    55 x55           1.173527e+02  0.000000e+00  2.170000e+02  0.000000e+00 
    56 x56           1.252276e+02  0.000000e+00  2.170000e+02  0.000000e+00 
    57 x57           8.418550e+01  0.000000e+00  2.170000e+02  0.000000e+00 
    58 x58           1.007518e+02  0.000000e+00  2.170000e+02  0.000000e+00 
    59 x59           1.055474e+02  0.000000e+00  2.170000e+02  0.000000e+00 
    60 x60           1.109292e+02  0.000000e+00  2.170000e+02  0.000000e+00 
    61 x61           1.302060e+02  0.000000e+00  2.170000e+02  0.000000e+00 
    62 x62           1.100159e+02  0.000000e+00  2.170000e+02  0.000000e+00 
    63 x63           1.095919e+02  0.000000e+00  2.170000e+02  0.000000e+00 
    64 x64           1.143372e+02  0.000000e+00  2.170000e+02  0.000000e+00 
    65 x65           1.236110e+02  0.000000e+00  2.170000e+02  0.000000e+00 
    66 x66           8.168526e+01  0.000000e+00  2.170000e+02  0.000000e+00 
    67 x67           9.142347e+01  0.000000e+00  2.170000e+02  0.000000e+00 
    68 x68           9.109113e+01  0.000000e+00  2.170000e+02  0.000000e+00 
    69 x69           1.060314e+02  0.000000e+00  2.170000e+02  0.000000e+00 
    70 x70           1.007801e+02  0.000000e+00  2.170000e+02  0.000000e+00 
    71 x71           1.053247e+02  0.000000e+00  2.170000e+02  0.000000e+00 
    72 x72           1.101785e+02  0.000000e+00  2.170000e+02  0.000000e+00 
    73 x73           1.254659e+02  0.000000e+00  2.170000e+02  0.000000e+00 
    74 x74           1.449113e+02  0.000000e+00  2.170000e+02  0.000000e+00 
    75 x75           4.166537e+01  0.000000e+00  2.170000e+02  0.000000e+00 
    76 x76           6.177378e+01  0.000000e+00  2.170000e+02  0.000000e+00 
    77 x77           7.250841e+01  0.000000e+00  2.170000e+02  0.000000e+00 
