Iter 	incumb_est 	candid_est 	error
1 	-14276863.995358 	-24454342.915361 	-0.712865
2 	-5822460.614052 	-8180418.219581 	-0.404976
3 	-6507959.027608 	-9099784.708044 	-0.398255
4 	-5945969.151535 	-9624932.155480 	-0.618732
5 	-6710758.496996 	-9857678.014003 	-0.468936
6 	-5985436.245667 	-7778112.276011 	-0.299506
7 	-6286316.951926 	-7818851.983453 	-0.243789
8 	-5912712.863019 	-8354203.737228 	-0.412922
9 	-6489352.803867 	-8917300.517861 	-0.374143
10 	-5925050.547407 	-8859738.038730 	-0.495302
11 	-6684306.315403 	-9197541.547170 	-0.375990
12 	-5916708.818493 	-9308598.804691 	-0.573273
13 	-6556229.559522 	-9514798.253252 	-0.451261
14 	-5807133.419334 	-9425086.849294 	-0.623019
15 	-6371782.124402 	-7979901.742453 	-0.252381
16 	-5841917.573457 	-7191963.526045 	-0.231096
17 	-6338090.892392 	-7548840.669376 	-0.191028
18 	-5846024.347345 	-7770216.176828 	-0.329145
19 	-6289752.749872 	-8063554.547198 	-0.282015
20 	-5858239.890604 	-8268880.814661 	-0.411496
21 	-6256006.911397 	-8296515.972527 	-0.326168
22 	-5846907.187942 	-8387508.371974 	-0.434521
23 	-6213427.049134 	-8529298.010869 	-0.372720
24 	-5844937.686766 	-8479294.086310 	-0.450707
25 	-6182214.739110 	-8640882.817376 	-0.397700
26 	-5846633.086153 	-8594035.542253 	-0.469912
27 	-6158863.860568 	-7194960.050367 	-0.168228
28 	-5848405.962333 	-7173219.824370 	-0.226526
29 	-6139042.446230 	-7349544.584238 	-0.197181
30 	-5854228.412337 	-7478716.183763 	-0.277490
31 	-6125926.334370 	-7639388.706141 	-0.247059
32 	-5875781.656432 	-7703363.625301 	-0.311036
33 	-6130359.909127 	-7863886.591944 	-0.282777
34 	-5888582.564540 	-7912532.147349 	-0.343707
35 	-6128247.748278 	-7960128.882238 	-0.298924
36 	-5874297.444795 	-7996855.487453 	-0.361330
37 	-6101393.838053 	-6977360.917374 	-0.143568
38 	-5863013.249923 	-7045491.886239 	-0.201684
39 	-6078753.012626 	-7170617.203312 	-0.179620
40 	-5860773.619011 	-7122449.115235 	-0.215275
41 	-6066044.115995 	-7284698.189221 	-0.200898
42 	-5876821.738111 	-7346097.910471 	-0.250012
43 	-6072171.558046 	-7475640.201672 	-0.231131
44 	-5874289.738721 	-7580408.706091 	-0.290438
45 	-6061013.611091 	-7594050.619257 	-0.252934
46 	-5859707.496611 	-7607863.207589 	-0.298335
47 	-6038795.932755 	-7665647.873522 	-0.269400
48 	-5846641.062022 	-7704597.211426 	-0.317782
49 	-6018686.428009 	-7767398.160145 	-0.290547
50 	-5835482.711365 	-7758929.930934 	-0.329612
51 	-6000999.991444 	-7844992.282896 	-0.307281
52 	-5828816.265964 	-7164071.375233 	-0.229078
53 	-5988213.392934 	-7186692.118059 	-0.200140
54 	-5815088.222515 	-7266810.374593 	-0.249647
55 	-5968938.691112 	-7307656.172966 	-0.224281
56 	-5815182.223815 	-7394491.991877 	-0.271584
57 	-5963632.781211 	-7245221.241975 	-0.214901
58 	-5815884.251971 	-7327358.222111 	-0.259887
59 	-5959290.688299 	-7357713.929628 	-0.234663
60 	-5818175.461564 	-7428896.809451 	-0.276843
61 	-5956842.486709 	-7482193.539675 	-0.256067
62 	-5812318.162349 	-7427182.172997 	-0.277835
63 	-5946676.032714 	-7512620.582653 	-0.263331
64 	-5804955.270177 	-7580268.107451 	-0.305827
65 	-5935292.327487 	-7214860.369871 	-0.215586
66 	-5813421.821993 	-7268445.356953 	-0.250287
67 	-5939741.854432 	-7334048.434681 	-0.234742
68 	-5805350.927669 	-7127206.771428 	-0.227696
69 	-5928126.479375 	-7190492.931273 	-0.212945
70 	-5808886.143041 	-7263372.531408 	-0.250390
71 	-5928153.436735 	-7309527.480588 	-0.233019
72 	-5816941.688261 	-7346447.748608 	-0.262940
73 	-5932831.034934 	-6900757.769867 	-0.163148
74 	-5823753.589686 	-6873341.217664 	-0.180225
75 	-5936461.728429 	-6950563.995642 	-0.170826
76 	-5827835.387559 	-6990130.629984 	-0.199439
77 	-5937563.031816 	-7008582.076370 	-0.180380
78 	-5829616.580671 	-7052660.127216 	-0.209798
79 	-5936543.763136 	-6960500.102070 	-0.172484
