Iter	 Iter_time	 Master	 Subprob	 Full_Test	 argmax	Iter_acc	 Master_acc	 Subprob_acc	 Full_Test_acc	 argmax_acc
1	 0.114134	 0.000578	 0.112710	 0.000000	 0.000551	0.114134	 0.000578	 0.112710	 0.000000	 0.000551
2	 1.479367	 0.010364	 1.467499	 0.000000	 0.001205	1.593501	 0.010942	 1.580209	 0.000000	 0.001756
3	 1.079761	 0.011757	 1.067222	 0.000000	 0.000585	2.673262	 0.022699	 2.647431	 0.000000	 0.002341
4	 1.561222	 0.013574	 1.545480	 0.000000	 0.001782	4.234484	 0.036273	 4.192911	 0.000000	 0.004123
5	 0.624474	 0.014319	 0.609314	 0.000000	 0.000645	4.858958	 0.050592	 4.802225	 0.000000	 0.004768
6	 1.355608	 0.014414	 1.339655	 0.000000	 0.001249	6.214566	 0.065006	 6.141880	 0.000000	 0.006017
7	 0.501297	 0.012066	 0.488238	 0.000000	 0.000789	6.715863	 0.077072	 6.630118	 0.000000	 0.006806
8	 1.043610	 0.014038	 1.027953	 0.000000	 0.001333	7.759473	 0.091110	 7.658071	 0.000000	 0.008139
9	 0.790316	 0.014731	 0.774607	 0.000000	 0.000765	8.549789	 0.105841	 8.432678	 0.000000	 0.008904
10	 0.860032	 0.014093	 0.844245	 0.000000	 0.001389	9.409821	 0.119934	 9.276923	 0.000000	 0.010293
11	 0.202454	 0.013453	 0.188042	 0.000000	 0.000736	9.612275	 0.133387	 9.464965	 0.000000	 0.011029
12	 0.865196	 0.015413	 0.847909	 0.000000	 0.001565	10.477471	 0.148800	 10.312874	 0.000000	 0.012594
13	 0.211249	 0.015721	 0.194433	 0.000000	 0.000861	10.688720	 0.164521	 10.507307	 0.000000	 0.013455
14	 1.037576	 0.016983	 1.018607	 0.000000	 0.001665	11.726296	 0.181504	 11.525914	 0.000000	 0.015120
15	 0.738778	 0.012127	 0.725604	 0.000000	 0.000782	12.465074	 0.193631	 12.251518	 0.000000	 0.015902
16	 2.317247	 0.014724	 2.300386	 0.000000	 0.001744	14.782321	 0.208355	 14.551904	 0.000000	 0.017646
17	 0.291998	 0.015369	 0.275437	 0.000000	 0.000940	15.074319	 0.223724	 14.827341	 0.000000	 0.018586
18	 0.514067	 0.015840	 0.496168	 0.000000	 0.001717	15.588386	 0.239564	 15.323509	 0.000000	 0.020303
19	 1.000163	 0.015904	 0.983000	 0.000000	 0.000995	16.588549	 0.255468	 16.306509	 0.000000	 0.021298
20	 0.683220	 0.016132	 0.664865	 0.000000	 0.001870	17.271769	 0.271600	 16.971374	 0.000000	 0.023168
21	 0.218074	 0.016132	 0.200637	 0.000000	 0.001029	17.489843	 0.287732	 17.172011	 0.000000	 0.024197
22	 1.515002	 0.017986	 1.493501	 0.000000	 0.003054	19.004845	 0.305718	 18.665512	 0.000000	 0.027251
23	 0.439561	 0.017155	 0.421251	 0.000000	 0.000869	19.444406	 0.322873	 19.086763	 0.000000	 0.028120
24	 1.145012	 0.019807	 1.122773	 0.000000	 0.002040	20.589418	 0.342680	 20.209536	 0.000000	 0.030160
25	 0.999592	 0.018714	 0.979438	 0.000000	 0.001138	21.589010	 0.361394	 21.188974	 0.000000	 0.031298
26	 0.985008	 0.018365	 0.964154	 0.000000	 0.002096	22.574018	 0.379759	 22.153128	 0.000000	 0.033394
27	 0.887772	 0.019597	 0.866479	 0.000000	 0.001355	23.461790	 0.399356	 23.019607	 0.000000	 0.034749
28	 1.247924	 0.019079	 1.226267	 0.000000	 0.002187	24.709714	 0.418435	 24.245874	 0.000000	 0.036936
29	 0.250406	 0.019775	 0.229106	 0.000000	 0.001198	24.960120	 0.438210	 24.474980	 0.000000	 0.038134
30	 1.059017	 0.021996	 1.034463	 0.000000	 0.002138	26.019137	 0.460206	 25.509443	 0.000000	 0.040272
31	 0.271517	 0.022858	 0.247125	 0.000000	 0.001202	26.290654	 0.483064	 25.756568	 0.000000	 0.041474
32	 0.284150	 0.024920	 0.256370	 0.000000	 0.002407	26.574804	 0.507984	 26.012938	 0.000000	 0.043881
33	 0.239387	 0.026258	 0.211785	 0.000000	 0.000999	26.814191	 0.534242	 26.224723	 0.000000	 0.044880
34	 1.006283	 0.026171	 0.977407	 0.000000	 0.002270	27.820474	 0.560413	 27.202130	 0.000000	 0.047150
35	 0.300573	 0.026991	 0.271901	 0.000000	 0.001326	28.121047	 0.587404	 27.474031	 0.000000	 0.048476
36	 0.599291	 0.028837	 0.567577	 0.000000	 0.002434	28.720338	 0.616241	 28.041608	 0.000000	 0.050910
37	 0.220890	 0.019887	 0.199533	 0.000000	 0.001108	28.941228	 0.636128	 28.241141	 0.000000	 0.052018
38	 1.388221	 0.020946	 1.362987	 0.000000	 0.003771	30.329449	 0.657074	 29.604128	 0.000000	 0.055789
39	 0.489345	 0.022701	 0.464860	 0.000000	 0.001406	30.818794	 0.679775	 30.068988	 0.000000	 0.057195
40	 0.500673	 0.023462	 0.474357	 0.000000	 0.002397	31.319467	 0.703237	 30.543345	 0.000000	 0.059592
41	 0.804245	 0.025273	 0.777139	 0.000000	 0.001444	32.123712	 0.728510	 31.320484	 0.000000	 0.061036
42	 0.302997	 0.024517	 0.275366	 0.000000	 0.002636	32.426709	 0.753027	 31.595850	 0.000000	 0.063672
43	 0.832199	 0.026382	 0.803884	 0.000000	 0.001534	33.258908	 0.779409	 32.399734	 0.000000	 0.065206
44	 0.525230	 0.030184	 0.491871	 0.000000	 0.002681	33.784138	 0.809593	 32.891605	 0.000000	 0.067887
