Iter 	incumb_est 	candid_est 	error
1 	-1301.999971 	-3335.567279 	-1.561880
2 	-473.485712 	-797.417938 	-0.684144
3 	-598.661543 	-892.629114 	-0.491041
4 	-493.993968 	-539.330874 	-0.091776
5 	-365.272712 	-629.986577 	-0.724702
6 	-419.395000 	-588.263007 	-0.402647
7 	-464.789538 	-503.106662 	-0.082440
8 	-501.797759 	-537.921847 	-0.071989
9 	-290.274380 	-513.179894 	-0.767913
10 	-371.583462 	-427.078229 	-0.149347
11 	-322.640199 	-340.996563 	-0.056894
12 	-382.146502 	-388.024040 	-0.015380
13 	-297.771388 	-326.487762 	-0.096438
14 	-351.772052 	-378.459687 	-0.075866
15 	-314.182251 	-369.184868 	-0.175066
16 	-360.407153 	-377.525925 	-0.047498
17 	-323.724332 	-343.046047 	-0.059686
18 	-364.283018 	-369.401917 	-0.014052
19 	-360.416864 	-386.192094 	-0.071515
20 	-395.085056 	-403.057400 	-0.020179
21 	-354.895649 	-367.313042 	-0.034989
22 	-385.200862 	-389.594219 	-0.011405
23 	-379.250791 	-385.119781 	-0.015475
24 	-405.459416 	-406.116733 	-0.001621
25 	-398.587110 	-406.572200 	-0.020033
26 	-416.355343 	-421.413942 	-0.012150
27 	-381.083650 	-394.834868 	-0.036085
28 	-403.012634 	-407.918846 	-0.012174
29 	-376.054812 	-377.525291 	-0.003910
30 	-388.773699 	-400.930836 	-0.031270
31 	-374.794169 	-386.481206 	-0.031183
32 	-368.032148 	-395.858140 	-0.075608
33 	-348.041758 	-365.202686 	-0.049307
34 	-367.401731 	-377.957136 	-0.028730
35 	-342.629800 	-359.506010 	-0.049255
36 	-361.064550 	-364.308826 	-0.008985
37 	-330.458486 	-347.445974 	-0.051406
38 	-341.510454 	-346.962023 	-0.015963
39 	-328.025205 	-348.531724 	-0.062515
40 	-345.071127 	-355.632311 	-0.030606
41 	-297.573772 	-320.846754 	-0.078209
42 	-314.533018 	-322.599440 	-0.025646
43 	-317.603170 	-320.585153 	-0.009389
44 	-313.803390 	-329.560191 	-0.050212
45 	-297.234553 	-304.135697 	-0.023218
46 	-305.180728 	-311.635164 	-0.021150
47 	-286.116147 	-297.266856 	-0.038973
48 	-301.918198 	-303.864194 	-0.006445
49 	-287.968801 	-297.726195 	-0.033884
50 	-298.610537 	-301.960680 	-0.011219
51 	-285.761845 	-291.993759 	-0.021808
52 	-297.023889 	-299.900685 	-0.009685
53 	-275.182227 	-285.646851 	-0.038028
54 	-289.703963 	-292.185269 	-0.008565
55 	-272.121135 	-273.685659 	-0.005749
56 	-275.906140 	-283.143077 	-0.026230
57 	-275.824643 	-280.813408 	-0.018087
58 	-289.333805 	-290.491243 	-0.004000
59 	-281.690091 	-283.962135 	-0.008066
60 	-294.866374 	-295.356087 	-0.001661
61 	-291.061365 	-297.898462 	-0.023490
62 	-303.661457 	-306.233658 	-0.008471
63 	-299.588724 	-300.652316 	-0.003550
64 	-298.978126 	-310.681365 	-0.039144
65 	-296.432250 	-296.780697 	-0.001175
66 	-295.407265 	-306.030658 	-0.035962
67 	-283.649537 	-287.809991 	-0.014668
68 	-295.246854 	-296.417341 	-0.003964
69 	-276.735555 	-277.457525 	-0.002609
70 	-279.066239 	-282.207784 	-0.011257
71 	-277.618745 	-281.066724 	-0.012420
72 	-285.081477 	-286.703212 	-0.005689
73 	-283.488719 	-289.573807 	-0.021465
74 	-294.147886 	-297.220025 	-0.010444
75 	-293.240734 	-294.258253 	-0.003470
