Iter	 Iter_time	 Master	 Subprob	 Full_Test	 argmax	Iter_acc	 Master_acc	 Subprob_acc	 Full_Test_acc	 argmax_acc
1	 0.000772	 0.000471	 0.000177	 0.000000	 0.000084	0.000772	 0.000471	 0.000177	 0.000000	 0.000084
2	 0.003635	 0.003335	 0.000184	 0.000000	 0.000054	0.004407	 0.003806	 0.000361	 0.000000	 0.000138
3	 0.003750	 0.003609	 0.000069	 0.000000	 0.000025	0.008157	 0.007415	 0.000430	 0.000000	 0.000163
4	 0.003576	 0.003450	 0.000072	 0.000000	 0.000019	0.011733	 0.010865	 0.000502	 0.000000	 0.000182
5	 0.003849	 0.003642	 0.000115	 0.000000	 0.000055	0.015582	 0.014507	 0.000617	 0.000000	 0.000237
6	 0.003765	 0.003674	 0.000037	 0.000000	 0.000030	0.019347	 0.018181	 0.000654	 0.000000	 0.000267
7	 0.003394	 0.003228	 0.000093	 0.000000	 0.000034	0.022741	 0.021409	 0.000747	 0.000000	 0.000301
8	 0.003766	 0.003679	 0.000035	 0.000000	 0.000027	0.026507	 0.025088	 0.000782	 0.000000	 0.000328
9	 0.004030	 0.003880	 0.000081	 0.000000	 0.000036	0.030537	 0.028968	 0.000863	 0.000000	 0.000364
10	 0.003466	 0.003363	 0.000047	 0.000000	 0.000030	0.034003	 0.032331	 0.000910	 0.000000	 0.000394
11	 0.003492	 0.003350	 0.000077	 0.000000	 0.000036	0.037495	 0.035681	 0.000987	 0.000000	 0.000430
12	 0.003460	 0.003375	 0.000034	 0.000000	 0.000019	0.040955	 0.039056	 0.001021	 0.000000	 0.000449
13	 0.004133	 0.004007	 0.000071	 0.000000	 0.000024	0.045088	 0.043063	 0.001092	 0.000000	 0.000473
14	 0.004131	 0.004000	 0.000062	 0.000000	 0.000034	0.049219	 0.047063	 0.001154	 0.000000	 0.000507
15	 0.003612	 0.003509	 0.000049	 0.000000	 0.000021	0.052831	 0.050572	 0.001203	 0.000000	 0.000528
16	 0.004278	 0.004175	 0.000050	 0.000000	 0.000024	0.057109	 0.054747	 0.001253	 0.000000	 0.000552
17	 0.003167	 0.003041	 0.000062	 0.000000	 0.000036	0.060276	 0.057788	 0.001315	 0.000000	 0.000588
18	 0.003762	 0.003676	 0.000031	 0.000000	 0.000030	0.064038	 0.061464	 0.001346	 0.000000	 0.000618
19	 0.004060	 0.003902	 0.000077	 0.000000	 0.000047	0.068098	 0.065366	 0.001423	 0.000000	 0.000665
20	 0.003950	 0.003858	 0.000046	 0.000000	 0.000022	0.072048	 0.069224	 0.001469	 0.000000	 0.000687
21	 0.004199	 0.004048	 0.000077	 0.000000	 0.000041	0.076247	 0.073272	 0.001546	 0.000000	 0.000728
22	 0.003500	 0.003420	 0.000032	 0.000000	 0.000022	0.079747	 0.076692	 0.001578	 0.000000	 0.000750
23	 0.004469	 0.004300	 0.000084	 0.000000	 0.000040	0.084216	 0.080992	 0.001662	 0.000000	 0.000790
24	 0.003869	 0.003679	 0.000099	 0.000000	 0.000040	0.088085	 0.084671	 0.001761	 0.000000	 0.000830
