Iter 	incumb_est 	candid_est 	error
1 	-1728.696652 	-2944.631372 	-0.703382
2 	-774.888194 	-933.813345 	-0.205094
3 	-740.977283 	-989.624896 	-0.335567
4 	-759.345049 	-839.757108 	-0.105897
5 	-518.644589 	-735.747896 	-0.418597
6 	-536.439769 	-597.241379 	-0.113343
7 	-458.662330 	-695.797828 	-0.517015
8 	-555.161966 	-613.784771 	-0.105596
9 	-438.669639 	-550.028943 	-0.253857
10 	-523.485174 	-613.840420 	-0.172603
11 	-508.561043 	-534.082948 	-0.050185
12 	-506.746961 	-532.221322 	-0.050270
13 	-506.298803 	-519.059061 	-0.025203
14 	-581.316184 	-584.808813 	-0.006008
15 	-518.126108 	-542.628650 	-0.047291
16 	-583.027110 	-584.512322 	-0.002547
17 	-518.677626 	-558.259891 	-0.076314
18 	-575.016579 	-580.555833 	-0.009633
19 	-566.103468 	-574.054131 	-0.014045
20 	-589.441836 	-605.912686 	-0.027943
21 	-568.496437 	-569.658965 	-0.002045
22 	-586.356406 	-598.417008 	-0.020569
23 	-586.577686 	-589.110341 	-0.004318
24 	-600.363950 	-626.873747 	-0.044156
25 	-597.213169 	-609.051744 	-0.019823
26 	-608.566121 	-627.921439 	-0.031805
27 	-586.639408 	-586.687708 	-0.000082
28 	-589.793543 	-595.029496 	-0.008878
29 	-586.016416 	-590.291379 	-0.007295
30 	-601.187022 	-611.893483 	-0.017809
31 	-582.694737 	-586.658149 	-0.006802
32 	-611.113096 	-613.809682 	-0.004413
33 	-560.504922 	-563.168173 	-0.004752
34 	-565.514007 	-565.854333 	-0.000602
35 	-561.871072 	-563.533941 	-0.002960
36 	-544.811658 	-555.249174 	-0.019158
37 	-550.338594 	-561.848503 	-0.020914
38 	-564.684854 	-574.335958 	-0.017091
39 	-553.952518 	-558.149841 	-0.007577
40 	-538.036254 	-564.583848 	-0.049342
41 	-516.365614 	-529.921142 	-0.026252
42 	-540.974471 	-543.564698 	-0.004788
43 	-533.235670 	-534.807182 	-0.002947
44 	-515.666349 	-515.680359 	-0.000027
45 	-515.539360 	-536.500103 	-0.040658
46 	-537.168103 	-543.996182 	-0.012711
47 	-507.780751 	-510.124439 	-0.004616
48 	-507.583317 	-509.665634 	-0.004102
49 	-511.946075 	-520.811673 	-0.017317
50 	-533.028213 	-534.115691 	-0.002040
51 	-499.480348 	-501.280240 	-0.003604
52 	-498.774385 	-502.597337 	-0.007665
53 	-492.293446 	-495.860421 	-0.007246
54 	-512.177881 	-512.233415 	-0.000108
55 	-487.256286 	-487.345801 	-0.000184
56 	-488.687213 	-493.946298 	-0.010762
57 	-494.557095 	-495.031928 	-0.000960
58 	-509.357935 	-513.466833 	-0.008067
59 	-505.082761 	-505.936878 	-0.001691
60 	-502.778485 	-517.863098 	-0.030003
61 	-505.244015 	-508.028086 	-0.005510
62 	-516.960808 	-521.144186 	-0.008092
63 	-517.244762 	-519.176273 	-0.003734
64 	-525.097981 	-532.563818 	-0.014218
65 	-516.296465 	-516.617287 	-0.000621
66 	-516.421031 	-519.001347 	-0.004997
67 	-505.590098 	-511.963797 	-0.012606
68 	-521.185140 	-524.509262 	-0.006378
69 	-500.632093 	-502.914379 	-0.004559
70 	-505.933107 	-506.645862 	-0.001409
71 	-503.361064 	-518.086511 	-0.029254
72 	-518.120674 	-526.077774 	-0.015358
73 	-502.237580 	-504.675249 	-0.004854
74 	-508.549185 	-511.554270 	-0.005909
75 	-510.546586 	-517.655828 	-0.013925
