Iter	 Iter_time	 Master	 Subprob	 Full_Test	 argmax	Iter_acc	 Master_acc	 Subprob_acc	 Full_Test_acc	 argmax_acc
1	 0.000628	 0.000360	 0.000140	 0.000000	 0.000096	0.000628	 0.000360	 0.000140	 0.000000	 0.000096
2	 0.003974	 0.003805	 0.000089	 0.000000	 0.000035	0.004602	 0.004165	 0.000229	 0.000000	 0.000131
3	 0.003763	 0.003654	 0.000051	 0.000000	 0.000020	0.008365	 0.007819	 0.000280	 0.000000	 0.000151
4	 0.003324	 0.003214	 0.000062	 0.000000	 0.000019	0.011689	 0.011033	 0.000342	 0.000000	 0.000170
5	 0.003459	 0.003299	 0.000081	 0.000000	 0.000045	0.015148	 0.014332	 0.000423	 0.000000	 0.000215
6	 0.003285	 0.003167	 0.000047	 0.000000	 0.000037	0.018433	 0.017499	 0.000470	 0.000000	 0.000252
7	 0.004377	 0.004180	 0.000108	 0.000000	 0.000039	0.022810	 0.021679	 0.000578	 0.000000	 0.000291
8	 0.003315	 0.003179	 0.000058	 0.000000	 0.000042	0.026125	 0.024858	 0.000636	 0.000000	 0.000333
9	 0.003445	 0.003133	 0.000177	 0.000000	 0.000060	0.029570	 0.027991	 0.000813	 0.000000	 0.000393
10	 0.003119	 0.002974	 0.000070	 0.000000	 0.000038	0.032689	 0.030965	 0.000883	 0.000000	 0.000431
11	 0.004134	 0.003864	 0.000122	 0.000000	 0.000060	0.036823	 0.034829	 0.001005	 0.000000	 0.000491
12	 0.004197	 0.003812	 0.000234	 0.000000	 0.000071	0.041020	 0.038641	 0.001239	 0.000000	 0.000562
13	 0.003812	 0.003625	 0.000080	 0.000000	 0.000039	0.044832	 0.042266	 0.001319	 0.000000	 0.000601
14	 0.003827	 0.003726	 0.000045	 0.000000	 0.000024	0.048659	 0.045992	 0.001364	 0.000000	 0.000625
15	 0.003234	 0.003010	 0.000128	 0.000000	 0.000041	0.051893	 0.049002	 0.001492	 0.000000	 0.000666
16	 0.004318	 0.004085	 0.000121	 0.000000	 0.000042	0.056211	 0.053087	 0.001613	 0.000000	 0.000708
17	 0.003388	 0.003177	 0.000117	 0.000000	 0.000045	0.059599	 0.056264	 0.001730	 0.000000	 0.000753
18	 0.003866	 0.003723	 0.000070	 0.000000	 0.000039	0.063465	 0.059987	 0.001800	 0.000000	 0.000792
19	 0.003794	 0.003600	 0.000096	 0.000000	 0.000051	0.067259	 0.063587	 0.001896	 0.000000	 0.000843
20	 0.003980	 0.003838	 0.000071	 0.000000	 0.000025	0.071239	 0.067425	 0.001967	 0.000000	 0.000868
21	 0.003739	 0.003598	 0.000069	 0.000000	 0.000037	0.074978	 0.071023	 0.002036	 0.000000	 0.000905
22	 0.004026	 0.003897	 0.000063	 0.000000	 0.000026	0.079004	 0.074920	 0.002099	 0.000000	 0.000931
23	 0.004053	 0.003734	 0.000199	 0.000000	 0.000067	0.083057	 0.078654	 0.002298	 0.000000	 0.000998
24	 0.003829	 0.003721	 0.000059	 0.000000	 0.000021	0.086886	 0.082375	 0.002357	 0.000000	 0.001019
25	 0.003404	 0.003257	 0.000080	 0.000000	 0.000037	0.090290	 0.085632	 0.002437	 0.000000	 0.001056
26	 0.004045	 0.003949	 0.000048	 0.000000	 0.000021	0.094335	 0.089581	 0.002485	 0.000000	 0.001077
27	 0.004206	 0.004076	 0.000064	 0.000000	 0.000036	0.098541	 0.093657	 0.002549	 0.000000	 0.001113
28	 0.003792	 0.003714	 0.000033	 0.000000	 0.000022	0.102333	 0.097371	 0.002582	 0.000000	 0.001135
29	 0.003971	 0.003847	 0.000056	 0.000000	 0.000036	0.106304	 0.101218	 0.002638	 0.000000	 0.001171
30	 0.004110	 0.004006	 0.000054	 0.000000	 0.000021	0.110414	 0.105224	 0.002692	 0.000000	 0.001192
31	 0.003605	 0.003440	 0.000090	 0.000000	 0.000041	0.114019	 0.108664	 0.002782	 0.000000	 0.001233
32	 0.004841	 0.004750	 0.000032	 0.000000	 0.000032	0.118860	 0.113414	 0.002814	 0.000000	 0.001265
33	 0.004386	 0.004246	 0.000062	 0.000000	 0.000050	0.123246	 0.117660	 0.002876	 0.000000	 0.001315
34	 0.003721	 0.003642	 0.000031	 0.000000	 0.000021	0.126967	 0.121302	 0.002907	 0.000000	 0.001336
35	 0.003541	 0.003405	 0.000055	 0.000000	 0.000039	0.130508	 0.124707	 0.002962	 0.000000	 0.001375
36	 0.003432	 0.003351	 0.000032	 0.000000	 0.000022	0.133940	 0.128058	 0.002994	 0.000000	 0.001397
37	 0.003980	 0.003826	 0.000086	 0.000000	 0.000038	0.137920	 0.131884	 0.003080	 0.000000	 0.001435
38	 0.004037	 0.003940	 0.000048	 0.000000	 0.000022	0.141957	 0.135824	 0.003128	 0.000000	 0.001457
39	 0.003479	 0.003333	 0.000075	 0.000000	 0.000042	0.145436	 0.139157	 0.003203	 0.000000	 0.001499
40	 0.003501	 0.003399	 0.000046	 0.000000	 0.000031	0.148937	 0.142556	 0.003249	 0.000000	 0.001530
41	 0.003479	 0.003305	 0.000085	 0.000000	 0.000059	0.152416	 0.145861	 0.003334	 0.000000	 0.001589
42	 0.003822	 0.003715	 0.000053	 0.000000	 0.000025	0.156238	 0.149576	 0.003387	 0.000000	 0.001614
43	 0.003960	 0.003808	 0.000073	 0.000000	 0.000041	0.160198	 0.153384	 0.003460	 0.000000	 0.001655
44	 0.003795	 0.003693	 0.000051	 0.000000	 0.000024	0.163993	 0.157077	 0.003511	 0.000000	 0.001679
45	 0.003829	 0.003690	 0.000061	 0.000000	 0.000040	0.167822	 0.160767	 0.003572	 0.000000	 0.001719
46	 0.003954	 0.003862	 0.000032	 0.000000	 0.000031	0.171776	 0.164629	 0.003604	 0.000000	 0.001750
47	 0.004321	 0.004172	 0.000062	 0.000000	 0.000053	0.176097	 0.168801	 0.003666	 0.000000	 0.001803
48	 0.003970	 0.003846	 0.000053	 0.000000	 0.000039	0.180067	 0.172647	 0.003719	 0.000000	 0.001842
49	 0.004259	 0.004088	 0.000087	 0.000000	 0.000047	0.184326	 0.176735	 0.003806	 0.000000	 0.001889
50	 0.003812	 0.003706	 0.000050	 0.000000	 0.000026	0.188138	 0.180441	 0.003856	 0.000000	 0.001915
51	 0.004225	 0.004068	 0.000082	 0.000000	 0.000043	0.192363	 0.184509	 0.003938	 0.000000	 0.001958
52	 0.003894	 0.003812	 0.000034	 0.000000	 0.000025	0.196257	 0.188321	 0.003972	 0.000000	 0.001983
53	 0.003506	 0.003377	 0.000057	 0.000000	 0.000043	0.199763	 0.191698	 0.004029	 0.000000	 0.002026
54	 0.003803	 0.003701	 0.000051	 0.000000	 0.000025	0.203566	 0.195399	 0.004080	 0.000000	 0.002051
55	 0.003725	 0.003573	 0.000079	 0.000000	 0.000046	0.207291	 0.198972	 0.004159	 0.000000	 0.002097
56	 0.003260	 0.003178	 0.000032	 0.000000	 0.000023	0.210551	 0.202150	 0.004191	 0.000000	 0.002120
57	 0.003350	 0.003192	 0.000083	 0.000000	 0.000045	0.213901	 0.205342	 0.004274	 0.000000	 0.002165
58	 0.004207	 0.004123	 0.000033	 0.000000	 0.000023	0.218108	 0.209465	 0.004307	 0.000000	 0.002188
59	 0.003736	 0.003588	 0.000074	 0.000000	 0.000042	0.221844	 0.213053	 0.004381	 0.000000	 0.002230
60	 0.003532	 0.003430	 0.000050	 0.000000	 0.000026	0.225376	 0.216483	 0.004431	 0.000000	 0.002256
61	 0.003955	 0.003787	 0.000086	 0.000000	 0.000048	0.229331	 0.220270	 0.004517	 0.000000	 0.002304
62	 0.003944	 0.003846	 0.000043	 0.000000	 0.000025	0.233275	 0.224116	 0.004560	 0.000000	 0.002329
63	 0.004151	 0.003995	 0.000071	 0.000000	 0.000050	0.237426	 0.228111	 0.004631	 0.000000	 0.002379
64	 0.003873	 0.003769	 0.000053	 0.000000	 0.000024	0.241299	 0.231880	 0.004684	 0.000000	 0.002403
65	 0.003813	 0.003673	 0.000063	 0.000000	 0.000047	0.245112	 0.235553	 0.004747	 0.000000	 0.002450
66	 0.003830	 0.003747	 0.000032	 0.000000	 0.000025	0.248942	 0.239300	 0.004779	 0.000000	 0.002475
67	 0.003693	 0.003563	 0.000056	 0.000000	 0.000044	0.252635	 0.242863	 0.004835	 0.000000	 0.002519
68	 0.003458	 0.003377	 0.000031	 0.000000	 0.000025	0.256093	 0.246240	 0.004866	 0.000000	 0.002544
69	 0.003518	 0.003385	 0.000055	 0.000000	 0.000046	0.259611	 0.249625	 0.004921	 0.000000	 0.002590
70	 0.003291	 0.003207	 0.000033	 0.000000	 0.000026	0.262902	 0.252832	 0.004954	 0.000000	 0.002616
71	 0.003912	 0.003778	 0.000058	 0.000000	 0.000048	0.266814	 0.256610	 0.005012	 0.000000	 0.002664
72	 0.003842	 0.003737	 0.000052	 0.000000	 0.000027	0.270656	 0.260347	 0.005064	 0.000000	 0.002691
73	 0.003388	 0.003248	 0.000061	 0.000000	 0.000049	0.274044	 0.263595	 0.005125	 0.000000	 0.002740
74	 0.003555	 0.003468	 0.000034	 0.000000	 0.000026	0.277599	 0.267063	 0.005159	 0.000000	 0.002766
75	 0.003611	 0.003454	 0.000079	 0.000000	 0.000048	0.281210	 0.270517	 0.005238	 0.000000	 0.002814
76	 0.003864	 0.003763	 0.000046	 0.000000	 0.000026	0.285074	 0.274280	 0.005284	 0.000000	 0.002840
77	 0.003720	 0.003565	 0.000077	 0.000000	 0.000050	0.288794	 0.277845	 0.005361	 0.000000	 0.002890
78	 0.003614	 0.003510	 0.000050	 0.000000	 0.000026	0.292408	 0.281355	 0.005411	 0.000000	 0.002916
79	 0.003566	 0.003427	 0.000058	 0.000000	 0.000049	0.295974	 0.284782	 0.005469	 0.000000	 0.002965
80	 0.004345	 0.004242	 0.000049	 0.000000	 0.000026	0.300319	 0.289024	 0.005518	 0.000000	 0.002991
81	 0.003366	 0.003203	 0.000078	 0.000000	 0.000053	0.303685	 0.292227	 0.005596	 0.000000	 0.003044
82	 0.003479	 0.003375	 0.000050	 0.000000	 0.000027	0.307164	 0.295602	 0.005646	 0.000000	 0.003071
83	 0.003484	 0.003345	 0.000060	 0.000000	 0.000049	0.310648	 0.298947	 0.005706	 0.000000	 0.003120
84	 0.003192	 0.003107	 0.000033	 0.000000	 0.000026	0.313840	 0.302054	 0.005739	 0.000000	 0.003146
85	 0.003677	 0.003539	 0.000059	 0.000000	 0.000050	0.317517	 0.305593	 0.005798	 0.000000	 0.003196
86	 0.003621	 0.003514	 0.000050	 0.000000	 0.000028	0.321138	 0.309107	 0.005848	 0.000000	 0.003224
87	 0.003302	 0.003129	 0.000087	 0.000000	 0.000055	0.324440	 0.312236	 0.005935	 0.000000	 0.003279
88	 0.003740	 0.003634	 0.000051	 0.000000	 0.000028	0.328180	 0.315870	 0.005986	 0.000000	 0.003307
89	 0.003888	 0.003731	 0.000073	 0.000000	 0.000054	0.332068	 0.319601	 0.006059	 0.000000	 0.003361
90	 0.003385	 0.003288	 0.000046	 0.000000	 0.000024	0.335453	 0.322889	 0.006105	 0.000000	 0.003385
91	 0.003984	 0.003840	 0.000060	 0.000000	 0.000052	0.339437	 0.326729	 0.006165	 0.000000	 0.003437
92	 0.003821	 0.003689	 0.000064	 0.000000	 0.000031	0.343258	 0.330418	 0.006229	 0.000000	 0.003468
93	 0.003575	 0.003424	 0.000067	 0.000000	 0.000052	0.346833	 0.333842	 0.006296	 0.000000	 0.003520
94	 0.003907	 0.003788	 0.000052	 0.000000	 0.000028	0.350740	 0.337630	 0.006348	 0.000000	 0.003548
95	 0.003258	 0.003169	 0.000034	 0.000000	 0.000027	0.353998	 0.340799	 0.006382	 0.000000	 0.003575
96	 0.003758	 0.003598	 0.000078	 0.000000	 0.000054	0.357756	 0.344397	 0.006460	 0.000000	 0.003629
97	 0.003886	 0.003787	 0.000045	 0.000000	 0.000027	0.361642	 0.348184	 0.006505	 0.000000	 0.003656
98	 0.003894	 0.003734	 0.000078	 0.000000	 0.000053	0.365536	 0.351918	 0.006583	 0.000000	 0.003709
99	 0.004090	 0.003976	 0.000050	 0.000000	 0.000027	0.369626	 0.355894	 0.006633	 0.000000	 0.003736
100	 0.003780	 0.003662	 0.000054	 0.000000	 0.000031	0.373406	 0.359556	 0.006687	 0.000000	 0.003767
101	 0.004090	 0.003903	 0.000091	 0.000000	 0.000057	0.377496	 0.363459	 0.006778	 0.000000	 0.003824
102	 0.003626	 0.003484	 0.000048	 0.000000	 0.000029	0.381122	 0.366943	 0.006826	 0.000000	 0.003853
103	 0.003795	 0.003642	 0.000068	 0.000000	 0.000054	0.384917	 0.370585	 0.006894	 0.000000	 0.003907
104	 0.003439	 0.003353	 0.000032	 0.000000	 0.000028	0.388356	 0.373938	 0.006926	 0.000000	 0.003935
105	 0.003764	 0.003624	 0.000055	 0.000000	 0.000054	0.392120	 0.377562	 0.006981	 0.000000	 0.003989
106	 0.003644	 0.003548	 0.000033	 0.000000	 0.000027	0.395764	 0.381110	 0.007014	 0.000000	 0.004016
107	 0.003812	 0.003723	 0.000032	 0.000000	 0.000028	0.399576	 0.384833	 0.007046	 0.000000	 0.004044
108	 0.003640	 0.003499	 0.000059	 0.000000	 0.000054	0.403216	 0.388332	 0.007105	 0.000000	 0.004098
109	 0.004350	 0.004231	 0.000050	 0.000000	 0.000029	0.407566	 0.392563	 0.007155	 0.000000	 0.004127
110	 0.003472	 0.003371	 0.000043	 0.000000	 0.000030	0.411038	 0.395934	 0.007198	 0.000000	 0.004157
111	 0.003760	 0.003595	 0.000078	 0.000000	 0.000057	0.414798	 0.399529	 0.007276	 0.000000	 0.004214
112	 0.004014	 0.003909	 0.000047	 0.000000	 0.000029	0.418812	 0.403438	 0.007323	 0.000000	 0.004243
