Iter	 Iter_time	 Master	 Subprob	 Full_Test	 argmax	Iter_acc	 Master_acc	 Subprob_acc	 Full_Test_acc	 argmax_acc
1	 0.000582	 0.000388	 0.000143	 0.000000	 0.000027	0.000582	 0.000388	 0.000143	 0.000000	 0.000027
2	 0.003421	 0.003251	 0.000085	 0.000000	 0.000042	0.004003	 0.003639	 0.000228	 0.000000	 0.000069
3	 0.003481	 0.003378	 0.000052	 0.000000	 0.000026	0.007484	 0.007017	 0.000280	 0.000000	 0.000095
4	 0.003593	 0.003430	 0.000090	 0.000000	 0.000033	0.011077	 0.010447	 0.000370	 0.000000	 0.000128
5	 0.003768	 0.003661	 0.000057	 0.000000	 0.000021	0.014845	 0.014108	 0.000427	 0.000000	 0.000149
6	 0.004459	 0.004179	 0.000151	 0.000000	 0.000077	0.019304	 0.018287	 0.000578	 0.000000	 0.000226
7	 0.003986	 0.003861	 0.000061	 0.000000	 0.000025	0.023290	 0.022148	 0.000639	 0.000000	 0.000251
8	 0.004127	 0.003864	 0.000148	 0.000000	 0.000054	0.027417	 0.026012	 0.000787	 0.000000	 0.000305
9	 0.003796	 0.003590	 0.000114	 0.000000	 0.000039	0.031213	 0.029602	 0.000901	 0.000000	 0.000344
10	 0.003490	 0.003092	 0.000209	 0.000000	 0.000089	0.034703	 0.032694	 0.001110	 0.000000	 0.000433
11	 0.003648	 0.003437	 0.000112	 0.000000	 0.000047	0.038351	 0.036131	 0.001222	 0.000000	 0.000480
12	 0.003762	 0.003497	 0.000146	 0.000000	 0.000065	0.042113	 0.039628	 0.001368	 0.000000	 0.000545
13	 0.004211	 0.004073	 0.000071	 0.000000	 0.000030	0.046324	 0.043701	 0.001439	 0.000000	 0.000575
14	 0.003554	 0.003372	 0.000096	 0.000000	 0.000041	0.049878	 0.047073	 0.001535	 0.000000	 0.000616
15	 0.003709	 0.003614	 0.000045	 0.000000	 0.000023	0.053587	 0.050687	 0.001580	 0.000000	 0.000639
16	 0.003532	 0.003353	 0.000097	 0.000000	 0.000042	0.057119	 0.054040	 0.001677	 0.000000	 0.000681
