Iter	 Iter_time	 Master	 Subprob	 Full_Test	 argmax	Iter_acc	 Master_acc	 Subprob_acc	 Full_Test_acc	 argmax_acc
1	 0.000699	 0.000385	 0.000203	 0.000000	 0.000084	0.000699	 0.000385	 0.000203	 0.000000	 0.000084
2	 0.003082	 0.002894	 0.000098	 0.000000	 0.000046	0.003781	 0.003279	 0.000301	 0.000000	 0.000130
3	 0.004489	 0.004390	 0.000048	 0.000000	 0.000025	0.008270	 0.007669	 0.000349	 0.000000	 0.000155
4	 0.004638	 0.004469	 0.000086	 0.000000	 0.000032	0.012908	 0.012138	 0.000435	 0.000000	 0.000187
5	 0.005531	 0.005309	 0.000127	 0.000000	 0.000041	0.018439	 0.017447	 0.000562	 0.000000	 0.000228
6	 0.006225	 0.005983	 0.000126	 0.000000	 0.000063	0.024664	 0.023430	 0.000688	 0.000000	 0.000291
7	 0.005578	 0.005324	 0.000136	 0.000000	 0.000057	0.030242	 0.028754	 0.000824	 0.000000	 0.000348
8	 0.004743	 0.004505	 0.000146	 0.000000	 0.000046	0.034985	 0.033259	 0.000970	 0.000000	 0.000394
9	 0.004192	 0.004024	 0.000097	 0.000000	 0.000028	0.039177	 0.037283	 0.001067	 0.000000	 0.000422
10	 0.005003	 0.004785	 0.000114	 0.000000	 0.000045	0.044180	 0.042068	 0.001181	 0.000000	 0.000467
11	 0.005239	 0.005084	 0.000085	 0.000000	 0.000031	0.049419	 0.047152	 0.001266	 0.000000	 0.000498
12	 0.004494	 0.004309	 0.000104	 0.000000	 0.000042	0.053913	 0.051461	 0.001370	 0.000000	 0.000540
13	 0.004293	 0.004195	 0.000048	 0.000000	 0.000022	0.058206	 0.055656	 0.001418	 0.000000	 0.000562
14	 0.003878	 0.003709	 0.000088	 0.000000	 0.000040	0.062084	 0.059365	 0.001506	 0.000000	 0.000602
15	 0.004317	 0.004208	 0.000055	 0.000000	 0.000024	0.066401	 0.063573	 0.001561	 0.000000	 0.000626
16	 0.004005	 0.003849	 0.000087	 0.000000	 0.000039	0.070406	 0.067422	 0.001648	 0.000000	 0.000665
17	 0.003847	 0.003756	 0.000043	 0.000000	 0.000021	0.074253	 0.071178	 0.001691	 0.000000	 0.000686
18	 0.004264	 0.004114	 0.000081	 0.000000	 0.000041	0.078517	 0.075292	 0.001772	 0.000000	 0.000727
19	 0.004348	 0.004254	 0.000046	 0.000000	 0.000022	0.082865	 0.079546	 0.001818	 0.000000	 0.000749
20	 0.005310	 0.005163	 0.000081	 0.000000	 0.000039	0.088175	 0.084709	 0.001899	 0.000000	 0.000788
21	 0.004191	 0.004109	 0.000035	 0.000000	 0.000022	0.092366	 0.088818	 0.001934	 0.000000	 0.000810
22	 0.004348	 0.004190	 0.000089	 0.000000	 0.000039	0.096714	 0.093008	 0.002023	 0.000000	 0.000849
23	 0.004613	 0.004507	 0.000044	 0.000000	 0.000023	0.101327	 0.097515	 0.002067	 0.000000	 0.000872
24	 0.004635	 0.004528	 0.000053	 0.000000	 0.000023	0.105962	 0.102043	 0.002120	 0.000000	 0.000895
25	 0.005648	 0.005423	 0.000117	 0.000000	 0.000046	0.111610	 0.107466	 0.002237	 0.000000	 0.000941
26	 0.004306	 0.004146	 0.000087	 0.000000	 0.000034	0.115916	 0.111612	 0.002324	 0.000000	 0.000975
27	 0.004146	 0.003978	 0.000082	 0.000000	 0.000042	0.120062	 0.115590	 0.002406	 0.000000	 0.001017
28	 0.004792	 0.004685	 0.000053	 0.000000	 0.000025	0.124854	 0.120275	 0.002459	 0.000000	 0.001042
29	 0.005702	 0.005488	 0.000111	 0.000000	 0.000050	0.130556	 0.125763	 0.002570	 0.000000	 0.001092
30	 0.004014	 0.003849	 0.000088	 0.000000	 0.000035	0.134570	 0.129612	 0.002658	 0.000000	 0.001127
31	 0.004618	 0.004344	 0.000149	 0.000000	 0.000076	0.139188	 0.133956	 0.002807	 0.000000	 0.001203
32	 0.005244	 0.005139	 0.000044	 0.000000	 0.000028	0.144432	 0.139095	 0.002851	 0.000000	 0.001231
33	 0.005359	 0.005180	 0.000079	 0.000000	 0.000050	0.149791	 0.144275	 0.002930	 0.000000	 0.001281
34	 0.004858	 0.004710	 0.000066	 0.000000	 0.000039	0.154649	 0.148985	 0.002996	 0.000000	 0.001320
35	 0.004677	 0.004487	 0.000080	 0.000000	 0.000053	0.159326	 0.153472	 0.003076	 0.000000	 0.001373
36	 0.004994	 0.004777	 0.000056	 0.000000	 0.000099	0.164320	 0.158249	 0.003132	 0.000000	 0.001472
37	 0.004608	 0.004241	 0.000203	 0.000000	 0.000096	0.168928	 0.162490	 0.003335	 0.000000	 0.001568
38	 0.004695	 0.004513	 0.000078	 0.000000	 0.000050	0.173623	 0.167003	 0.003413	 0.000000	 0.001618
39	 0.004830	 0.004569	 0.000139	 0.000000	 0.000075	0.178453	 0.171572	 0.003552	 0.000000	 0.001693
40	 0.004377	 0.004252	 0.000065	 0.000000	 0.000028	0.182830	 0.175824	 0.003617	 0.000000	 0.001721
41	 0.004407	 0.004202	 0.000111	 0.000000	 0.000052	0.187237	 0.180026	 0.003728	 0.000000	 0.001773
42	 0.004599	 0.004421	 0.000086	 0.000000	 0.000035	0.191836	 0.184447	 0.003814	 0.000000	 0.001808
43	 0.004952	 0.004758	 0.000099	 0.000000	 0.000049	0.196788	 0.189205	 0.003913	 0.000000	 0.001857
44	 0.005718	 0.005455	 0.000135	 0.000000	 0.000066	0.202506	 0.194660	 0.004048	 0.000000	 0.001923
45	 0.004208	 0.003988	 0.000119	 0.000000	 0.000060	0.206714	 0.198648	 0.004167	 0.000000	 0.001983
46	 0.004796	 0.004699	 0.000043	 0.000000	 0.000026	0.211510	 0.203347	 0.004210	 0.000000	 0.002009
47	 0.004221	 0.004062	 0.000083	 0.000000	 0.000048	0.215731	 0.207409	 0.004293	 0.000000	 0.002057
48	 0.004385	 0.004278	 0.000052	 0.000000	 0.000027	0.220116	 0.211687	 0.004345	 0.000000	 0.002084
49	 0.004385	 0.004232	 0.000076	 0.000000	 0.000045	0.224501	 0.215919	 0.004421	 0.000000	 0.002129
50	 0.004447	 0.004338	 0.000054	 0.000000	 0.000027	0.228948	 0.220257	 0.004475	 0.000000	 0.002156
51	 0.005156	 0.004997	 0.000080	 0.000000	 0.000048	0.234104	 0.225254	 0.004555	 0.000000	 0.002204
52	 0.004300	 0.004203	 0.000034	 0.000000	 0.000036	0.238404	 0.229457	 0.004589	 0.000000	 0.002240
53	 0.004232	 0.004068	 0.000061	 0.000000	 0.000056	0.242636	 0.233525	 0.004650	 0.000000	 0.002296
54	 0.004357	 0.004237	 0.000061	 0.000000	 0.000027	0.246993	 0.237762	 0.004711	 0.000000	 0.002323
55	 0.004350	 0.004181	 0.000090	 0.000000	 0.000050	0.251343	 0.241943	 0.004801	 0.000000	 0.002373
56	 0.004145	 0.004058	 0.000035	 0.000000	 0.000027	0.255488	 0.246001	 0.004836	 0.000000	 0.002400
57	 0.003628	 0.003489	 0.000062	 0.000000	 0.000049	0.259116	 0.249490	 0.004898	 0.000000	 0.002449
58	 0.003865	 0.003779	 0.000033	 0.000000	 0.000027	0.262981	 0.253269	 0.004931	 0.000000	 0.002476
59	 0.003610	 0.003471	 0.000060	 0.000000	 0.000044	0.266591	 0.256740	 0.004991	 0.000000	 0.002520
60	 0.003617	 0.003504	 0.000058	 0.000000	 0.000028	0.270208	 0.260244	 0.005049	 0.000000	 0.002548
61	 0.003783	 0.003616	 0.000082	 0.000000	 0.000051	0.273991	 0.263860	 0.005131	 0.000000	 0.002599
62	 0.003814	 0.003723	 0.000038	 0.000000	 0.000028	0.277805	 0.267583	 0.005169	 0.000000	 0.002627
63	 0.004915	 0.004774	 0.000060	 0.000000	 0.000048	0.282720	 0.272357	 0.005229	 0.000000	 0.002675
64	 0.003998	 0.003910	 0.000035	 0.000000	 0.000027	0.286718	 0.276267	 0.005264	 0.000000	 0.002702
65	 0.004366	 0.004200	 0.000085	 0.000000	 0.000049	0.291084	 0.280467	 0.005349	 0.000000	 0.002751
66	 0.004282	 0.004164	 0.000048	 0.000000	 0.000027	0.295366	 0.284631	 0.005397	 0.000000	 0.002778
67	 0.004311	 0.004210	 0.000043	 0.000000	 0.000031	0.299677	 0.288841	 0.005440	 0.000000	 0.002809
68	 0.004183	 0.004039	 0.000061	 0.000000	 0.000050	0.303860	 0.292880	 0.005501	 0.000000	 0.002859
69	 0.004908	 0.004796	 0.000057	 0.000000	 0.000028	0.308768	 0.297676	 0.005558	 0.000000	 0.002887
70	 0.004543	 0.004340	 0.000100	 0.000000	 0.000060	0.313311	 0.302016	 0.005658	 0.000000	 0.002947
71	 0.004091	 0.003941	 0.000057	 0.000000	 0.000056	0.317402	 0.305957	 0.005715	 0.000000	 0.003003
72	 0.004829	 0.004652	 0.000064	 0.000000	 0.000066	0.322231	 0.310609	 0.005779	 0.000000	 0.003069
73	 0.004149	 0.003994	 0.000075	 0.000000	 0.000040	0.326380	 0.314603	 0.005854	 0.000000	 0.003109
74	 0.004841	 0.004312	 0.000268	 0.000000	 0.000174	0.331221	 0.318915	 0.006122	 0.000000	 0.003283
75	 0.004442	 0.004221	 0.000110	 0.000000	 0.000058	0.335663	 0.323136	 0.006232	 0.000000	 0.003341
76	 0.005312	 0.005123	 0.000083	 0.000000	 0.000062	0.340975	 0.328259	 0.006315	 0.000000	 0.003403
77	 0.004629	 0.004469	 0.000055	 0.000000	 0.000056	0.345604	 0.332728	 0.006370	 0.000000	 0.003459
78	 0.005182	 0.004952	 0.000120	 0.000000	 0.000063	0.350786	 0.337680	 0.006490	 0.000000	 0.003522
79	 0.004791	 0.004641	 0.000072	 0.000000	 0.000036	0.355577	 0.342321	 0.006562	 0.000000	 0.003558
80	 0.005405	 0.005174	 0.000118	 0.000000	 0.000067	0.360982	 0.347495	 0.006680	 0.000000	 0.003625
81	 0.006177	 0.005999	 0.000088	 0.000000	 0.000039	0.367159	 0.353494	 0.006768	 0.000000	 0.003664
82	 0.004821	 0.004424	 0.000186	 0.000000	 0.000139	0.371980	 0.357918	 0.006954	 0.000000	 0.003803
83	 0.004047	 0.003850	 0.000076	 0.000000	 0.000059	0.376027	 0.361768	 0.007030	 0.000000	 0.003862
84	 0.004314	 0.003908	 0.000180	 0.000000	 0.000155	0.380341	 0.365676	 0.007210	 0.000000	 0.004017
85	 0.004955	 0.004736	 0.000118	 0.000000	 0.000051	0.385296	 0.370412	 0.007328	 0.000000	 0.004068
