Iter	 Iter_time	 Master	 Subprob	 Full_Test	 argmax	Iter_acc	 Master_acc	 Subprob_acc	 Full_Test_acc	 argmax_acc
1	 0.000707	 0.000485	 0.000147	 0.000000	 0.000042	0.000707	 0.000485	 0.000147	 0.000000	 0.000042
2	 0.002648	 0.002448	 0.000102	 0.000000	 0.000048	0.003355	 0.002933	 0.000249	 0.000000	 0.000090
3	 0.003620	 0.003494	 0.000063	 0.000000	 0.000028	0.006975	 0.006427	 0.000312	 0.000000	 0.000118
4	 0.003646	 0.003449	 0.000107	 0.000000	 0.000038	0.010621	 0.009876	 0.000419	 0.000000	 0.000156
5	 0.003629	 0.003479	 0.000085	 0.000000	 0.000027	0.014250	 0.013355	 0.000504	 0.000000	 0.000183
6	 0.004260	 0.004038	 0.000119	 0.000000	 0.000058	0.018510	 0.017393	 0.000623	 0.000000	 0.000241
7	 0.004074	 0.003930	 0.000081	 0.000000	 0.000028	0.022584	 0.021323	 0.000704	 0.000000	 0.000269
8	 0.003734	 0.003539	 0.000114	 0.000000	 0.000042	0.026318	 0.024862	 0.000818	 0.000000	 0.000311
9	 0.003075	 0.002951	 0.000064	 0.000000	 0.000023	0.029393	 0.027813	 0.000882	 0.000000	 0.000334
10	 0.003826	 0.003544	 0.000148	 0.000000	 0.000061	0.033219	 0.031357	 0.001030	 0.000000	 0.000395
11	 0.003384	 0.003155	 0.000128	 0.000000	 0.000041	0.036603	 0.034512	 0.001158	 0.000000	 0.000436
12	 0.004278	 0.004058	 0.000122	 0.000000	 0.000049	0.040881	 0.038570	 0.001280	 0.000000	 0.000485
13	 0.004009	 0.003871	 0.000073	 0.000000	 0.000028	0.044890	 0.042441	 0.001353	 0.000000	 0.000513
14	 0.003629	 0.003427	 0.000108	 0.000000	 0.000042	0.048519	 0.045868	 0.001461	 0.000000	 0.000555
15	 0.004171	 0.004037	 0.000070	 0.000000	 0.000029	0.052690	 0.049905	 0.001531	 0.000000	 0.000584
16	 0.003567	 0.003372	 0.000114	 0.000000	 0.000043	0.056257	 0.053277	 0.001645	 0.000000	 0.000627
17	 0.003313	 0.003189	 0.000061	 0.000000	 0.000026	0.059570	 0.056466	 0.001706	 0.000000	 0.000653
18	 0.003871	 0.003683	 0.000099	 0.000000	 0.000046	0.063441	 0.060149	 0.001805	 0.000000	 0.000699
19	 0.003860	 0.003698	 0.000078	 0.000000	 0.000043	0.067301	 0.063847	 0.001883	 0.000000	 0.000742
20	 0.004328	 0.004141	 0.000102	 0.000000	 0.000045	0.071629	 0.067988	 0.001985	 0.000000	 0.000787
21	 0.003564	 0.003458	 0.000044	 0.000000	 0.000027	0.075193	 0.071446	 0.002029	 0.000000	 0.000814
22	 0.003970	 0.003736	 0.000139	 0.000000	 0.000048	0.079163	 0.075182	 0.002168	 0.000000	 0.000862
23	 0.004126	 0.003926	 0.000089	 0.000000	 0.000042	0.083289	 0.079108	 0.002257	 0.000000	 0.000904
24	 0.004109	 0.003912	 0.000102	 0.000000	 0.000040	0.087398	 0.083020	 0.002359	 0.000000	 0.000944
25	 0.004832	 0.004527	 0.000161	 0.000000	 0.000071	0.092230	 0.087547	 0.002520	 0.000000	 0.001015
26	 0.004027	 0.003807	 0.000118	 0.000000	 0.000046	0.096257	 0.091354	 0.002638	 0.000000	 0.001061
27	 0.003676	 0.003405	 0.000119	 0.000000	 0.000067	0.099933	 0.094759	 0.002757	 0.000000	 0.001128
28	 0.004513	 0.004297	 0.000109	 0.000000	 0.000048	0.104446	 0.099056	 0.002866	 0.000000	 0.001176
