Iter	 Iter_time	 Master	 Subprob	 Full_Test	 argmax	Iter_acc	 Master_acc	 Subprob_acc	 Full_Test_acc	 argmax_acc
1	 0.000738	 0.000482	 0.000185	 0.000000	 0.000027	0.000738	 0.000482	 0.000185	 0.000000	 0.000027
2	 0.003068	 0.002867	 0.000085	 0.000000	 0.000075	0.003806	 0.003349	 0.000270	 0.000000	 0.000102
3	 0.003346	 0.003246	 0.000046	 0.000000	 0.000025	0.007152	 0.006595	 0.000316	 0.000000	 0.000127
4	 0.003609	 0.003445	 0.000091	 0.000000	 0.000034	0.010761	 0.010040	 0.000407	 0.000000	 0.000161
5	 0.003493	 0.003387	 0.000054	 0.000000	 0.000021	0.014254	 0.013427	 0.000461	 0.000000	 0.000182
6	 0.004022	 0.003795	 0.000122	 0.000000	 0.000063	0.018276	 0.017222	 0.000583	 0.000000	 0.000245
7	 0.003879	 0.003769	 0.000053	 0.000000	 0.000022	0.022155	 0.020991	 0.000636	 0.000000	 0.000267
8	 0.003359	 0.003170	 0.000110	 0.000000	 0.000042	0.025514	 0.024161	 0.000746	 0.000000	 0.000309
9	 0.003315	 0.003215	 0.000053	 0.000000	 0.000021	0.028829	 0.027376	 0.000799	 0.000000	 0.000330
10	 0.003782	 0.003624	 0.000080	 0.000000	 0.000037	0.032611	 0.031000	 0.000879	 0.000000	 0.000367
11	 0.004266	 0.004166	 0.000052	 0.000000	 0.000021	0.036877	 0.035166	 0.000931	 0.000000	 0.000388
12	 0.004159	 0.003986	 0.000091	 0.000000	 0.000041	0.041036	 0.039152	 0.001022	 0.000000	 0.000429
13	 0.003987	 0.003834	 0.000079	 0.000000	 0.000034	0.045023	 0.042986	 0.001101	 0.000000	 0.000463
14	 0.003380	 0.003197	 0.000096	 0.000000	 0.000042	0.048403	 0.046183	 0.001197	 0.000000	 0.000505
15	 0.003882	 0.003788	 0.000045	 0.000000	 0.000021	0.052285	 0.049971	 0.001242	 0.000000	 0.000526
16	 0.003536	 0.003378	 0.000088	 0.000000	 0.000039	0.055821	 0.053349	 0.001330	 0.000000	 0.000565
17	 0.003426	 0.003338	 0.000043	 0.000000	 0.000021	0.059247	 0.056687	 0.001373	 0.000000	 0.000586
18	 0.003940	 0.003791	 0.000077	 0.000000	 0.000039	0.063187	 0.060478	 0.001450	 0.000000	 0.000625
19	 0.003471	 0.003381	 0.000043	 0.000000	 0.000022	0.066658	 0.063859	 0.001493	 0.000000	 0.000647
20	 0.004293	 0.004152	 0.000073	 0.000000	 0.000040	0.070951	 0.068011	 0.001566	 0.000000	 0.000687
21	 0.003554	 0.003472	 0.000033	 0.000000	 0.000021	0.074505	 0.071483	 0.001599	 0.000000	 0.000708
22	 0.003845	 0.003688	 0.000085	 0.000000	 0.000042	0.078350	 0.075171	 0.001684	 0.000000	 0.000750
23	 0.004063	 0.003959	 0.000044	 0.000000	 0.000023	0.082413	 0.079130	 0.001728	 0.000000	 0.000773
24	 0.003813	 0.003723	 0.000045	 0.000000	 0.000022	0.086226	 0.082853	 0.001773	 0.000000	 0.000795
25	 0.004312	 0.004150	 0.000081	 0.000000	 0.000040	0.090538	 0.087003	 0.001854	 0.000000	 0.000835
26	 0.003735	 0.003627	 0.000053	 0.000000	 0.000023	0.094273	 0.090630	 0.001907	 0.000000	 0.000858
27	 0.003608	 0.003394	 0.000108	 0.000000	 0.000051	0.097881	 0.094024	 0.002015	 0.000000	 0.000909
28	 0.003973	 0.003870	 0.000049	 0.000000	 0.000023	0.101854	 0.097894	 0.002064	 0.000000	 0.000932
29	 0.003945	 0.003787	 0.000076	 0.000000	 0.000042	0.105799	 0.101681	 0.002140	 0.000000	 0.000974
30	 0.003485	 0.003382	 0.000053	 0.000000	 0.000025	0.109284	 0.105063	 0.002193	 0.000000	 0.000999
31	 0.003426	 0.003276	 0.000079	 0.000000	 0.000044	0.112710	 0.108339	 0.002272	 0.000000	 0.001043
32	 0.003424	 0.003335	 0.000033	 0.000000	 0.000024	0.116134	 0.111674	 0.002305	 0.000000	 0.001067
33	 0.003778	 0.003507	 0.000099	 0.000000	 0.000068	0.119912	 0.115181	 0.002404	 0.000000	 0.001135
34	 0.003365	 0.003230	 0.000054	 0.000000	 0.000039	0.123277	 0.118411	 0.002458	 0.000000	 0.001174
35	 0.003693	 0.003486	 0.000087	 0.000000	 0.000065	0.126970	 0.121897	 0.002545	 0.000000	 0.001239
36	 0.004014	 0.003915	 0.000040	 0.000000	 0.000028	0.130984	 0.125812	 0.002585	 0.000000	 0.001267
37	 0.003916	 0.003743	 0.000099	 0.000000	 0.000044	0.134900	 0.129555	 0.002684	 0.000000	 0.001311
38	 0.003942	 0.003855	 0.000036	 0.000000	 0.000025	0.138842	 0.133410	 0.002720	 0.000000	 0.001336
39	 0.003980	 0.003828	 0.000077	 0.000000	 0.000046	0.142822	 0.137238	 0.002797	 0.000000	 0.001382
40	 0.003349	 0.003245	 0.000053	 0.000000	 0.000025	0.146171	 0.140483	 0.002850	 0.000000	 0.001407
41	 0.003270	 0.003115	 0.000079	 0.000000	 0.000046	0.149441	 0.143598	 0.002929	 0.000000	 0.001453
42	 0.003979	 0.003882	 0.000046	 0.000000	 0.000024	0.153420	 0.147480	 0.002975	 0.000000	 0.001477
43	 0.003886	 0.003736	 0.000077	 0.000000	 0.000045	0.157306	 0.151216	 0.003052	 0.000000	 0.001522
44	 0.004060	 0.003957	 0.000049	 0.000000	 0.000026	0.161366	 0.155173	 0.003101	 0.000000	 0.001548
45	 0.003409	 0.003253	 0.000079	 0.000000	 0.000048	0.164775	 0.158426	 0.003180	 0.000000	 0.001596
46	 0.003953	 0.003860	 0.000041	 0.000000	 0.000027	0.168728	 0.162286	 0.003221	 0.000000	 0.001623
47	 0.003931	 0.003777	 0.000076	 0.000000	 0.000048	0.172659	 0.166063	 0.003297	 0.000000	 0.001671
48	 0.004115	 0.004015	 0.000047	 0.000000	 0.000025	0.176774	 0.170078	 0.003344	 0.000000	 0.001696
49	 0.003655	 0.003497	 0.000075	 0.000000	 0.000049	0.180429	 0.173575	 0.003419	 0.000000	 0.001745
50	 0.003930	 0.003737	 0.000098	 0.000000	 0.000049	0.184359	 0.177312	 0.003517	 0.000000	 0.001794
51	 0.003983	 0.003785	 0.000103	 0.000000	 0.000056	0.188342	 0.181097	 0.003620	 0.000000	 0.001850
52	 0.003052	 0.002930	 0.000040	 0.000000	 0.000043	0.191394	 0.184027	 0.003660	 0.000000	 0.001893
53	 0.004054	 0.003731	 0.000123	 0.000000	 0.000114	0.195448	 0.187758	 0.003783	 0.000000	 0.002007
54	 0.003744	 0.003530	 0.000112	 0.000000	 0.000033	0.199192	 0.191288	 0.003895	 0.000000	 0.002040
55	 0.003697	 0.003382	 0.000163	 0.000000	 0.000098	0.202889	 0.194670	 0.004058	 0.000000	 0.002138
56	 0.003530	 0.003413	 0.000046	 0.000000	 0.000034	0.206419	 0.198083	 0.004104	 0.000000	 0.002172
