Iter	 Iter_time	 Master	 Subprob	 Full_Test	 argmax	Iter_acc	 Master_acc	 Subprob_acc	 Full_Test_acc	 argmax_acc
1	 0.000728	 0.000431	 0.000228	 0.000000	 0.000030	0.000728	 0.000431	 0.000228	 0.000000	 0.000030
2	 0.002884	 0.002646	 0.000093	 0.000000	 0.000100	0.003612	 0.003077	 0.000321	 0.000000	 0.000130
3	 0.003331	 0.003195	 0.000049	 0.000000	 0.000059	0.006943	 0.006272	 0.000370	 0.000000	 0.000189
4	 0.003550	 0.003384	 0.000092	 0.000000	 0.000034	0.010493	 0.009656	 0.000462	 0.000000	 0.000223
5	 0.003219	 0.003094	 0.000062	 0.000000	 0.000022	0.013712	 0.012750	 0.000524	 0.000000	 0.000245
6	 0.004472	 0.004233	 0.000135	 0.000000	 0.000061	0.018184	 0.016983	 0.000659	 0.000000	 0.000306
7	 0.003813	 0.003671	 0.000076	 0.000000	 0.000029	0.021997	 0.020654	 0.000735	 0.000000	 0.000335
8	 0.003193	 0.002992	 0.000116	 0.000000	 0.000043	0.025190	 0.023646	 0.000851	 0.000000	 0.000378
9	 0.002904	 0.002719	 0.000105	 0.000000	 0.000034	0.028094	 0.026365	 0.000956	 0.000000	 0.000412
10	 0.003555	 0.003238	 0.000166	 0.000000	 0.000070	0.031649	 0.029603	 0.001122	 0.000000	 0.000482
11	 0.003378	 0.003131	 0.000146	 0.000000	 0.000042	0.035027	 0.032734	 0.001268	 0.000000	 0.000524
12	 0.003586	 0.003294	 0.000161	 0.000000	 0.000070	0.038613	 0.036028	 0.001429	 0.000000	 0.000594
13	 0.003277	 0.003101	 0.000095	 0.000000	 0.000036	0.041890	 0.039129	 0.001524	 0.000000	 0.000630
14	 0.003629	 0.003318	 0.000162	 0.000000	 0.000077	0.045519	 0.042447	 0.001686	 0.000000	 0.000707
15	 0.004263	 0.004122	 0.000073	 0.000000	 0.000030	0.049782	 0.046569	 0.001759	 0.000000	 0.000737
16	 0.003474	 0.003270	 0.000114	 0.000000	 0.000050	0.053256	 0.049839	 0.001873	 0.000000	 0.000787
17	 0.003582	 0.003420	 0.000093	 0.000000	 0.000030	0.056838	 0.053259	 0.001966	 0.000000	 0.000817
18	 0.003868	 0.003690	 0.000100	 0.000000	 0.000045	0.060706	 0.056949	 0.002066	 0.000000	 0.000862
19	 0.004394	 0.004277	 0.000046	 0.000000	 0.000023	0.065100	 0.061226	 0.002112	 0.000000	 0.000885
20	 0.004844	 0.004491	 0.000211	 0.000000	 0.000067	0.069944	 0.065717	 0.002323	 0.000000	 0.000952
21	 0.003850	 0.003731	 0.000051	 0.000000	 0.000030	0.073794	 0.069448	 0.002374	 0.000000	 0.000982
22	 0.003891	 0.003701	 0.000113	 0.000000	 0.000045	0.077685	 0.073149	 0.002487	 0.000000	 0.001027
23	 0.004100	 0.003992	 0.000044	 0.000000	 0.000023	0.081785	 0.077141	 0.002531	 0.000000	 0.001050
24	 0.003803	 0.003700	 0.000052	 0.000000	 0.000022	0.085588	 0.080841	 0.002583	 0.000000	 0.001072
25	 0.004317	 0.004138	 0.000094	 0.000000	 0.000040	0.089905	 0.084979	 0.002677	 0.000000	 0.001112
26	 0.004088	 0.003975	 0.000059	 0.000000	 0.000027	0.093993	 0.088954	 0.002736	 0.000000	 0.001139
27	 0.003681	 0.003517	 0.000081	 0.000000	 0.000043	0.097674	 0.092471	 0.002817	 0.000000	 0.001182
28	 0.004113	 0.004006	 0.000055	 0.000000	 0.000024	0.101787	 0.096477	 0.002872	 0.000000	 0.001206
29	 0.003779	 0.003618	 0.000080	 0.000000	 0.000041	0.105566	 0.100095	 0.002952	 0.000000	 0.001247
30	 0.003515	 0.003401	 0.000059	 0.000000	 0.000025	0.109081	 0.103496	 0.003011	 0.000000	 0.001272
31	 0.003564	 0.003410	 0.000083	 0.000000	 0.000043	0.112645	 0.106906	 0.003094	 0.000000	 0.001315
32	 0.004158	 0.004073	 0.000034	 0.000000	 0.000023	0.116803	 0.110979	 0.003128	 0.000000	 0.001338
33	 0.004099	 0.003968	 0.000060	 0.000000	 0.000040	0.120902	 0.114947	 0.003188	 0.000000	 0.001378
34	 0.003533	 0.003452	 0.000033	 0.000000	 0.000024	0.124435	 0.118399	 0.003221	 0.000000	 0.001402
35	 0.004166	 0.004028	 0.000056	 0.000000	 0.000041	0.128601	 0.122427	 0.003277	 0.000000	 0.001443
