Iter	 Iter_time	 Master	 Subprob	 Full_Test	 argmax	Iter_acc	 Master_acc	 Subprob_acc	 Full_Test_acc	 argmax_acc
1	 0.003997	 0.003609	 0.000225	 0.000000	 0.000096	0.003997	 0.003609	 0.000225	 0.000000	 0.000096
2	 0.003212	 0.002943	 0.000106	 0.000000	 0.000134	0.007209	 0.006552	 0.000331	 0.000000	 0.000230
3	 0.004234	 0.004097	 0.000045	 0.000000	 0.000060	0.011443	 0.010649	 0.000376	 0.000000	 0.000290
4	 0.004519	 0.004230	 0.000170	 0.000000	 0.000060	0.015962	 0.014879	 0.000546	 0.000000	 0.000350
5	 0.004898	 0.004702	 0.000124	 0.000000	 0.000030	0.020860	 0.019581	 0.000670	 0.000000	 0.000380
6	 0.004366	 0.004181	 0.000099	 0.000000	 0.000054	0.025226	 0.023762	 0.000769	 0.000000	 0.000434
7	 0.004673	 0.004577	 0.000049	 0.000000	 0.000020	0.029899	 0.028339	 0.000818	 0.000000	 0.000454
8	 0.004693	 0.004552	 0.000073	 0.000000	 0.000033	0.034592	 0.032891	 0.000891	 0.000000	 0.000487
9	 0.004367	 0.004163	 0.000136	 0.000000	 0.000028	0.038959	 0.037054	 0.001027	 0.000000	 0.000515
10	 0.003586	 0.003433	 0.000084	 0.000000	 0.000035	0.042545	 0.040487	 0.001111	 0.000000	 0.000550
11	 0.003580	 0.003429	 0.000058	 0.000000	 0.000068	0.046125	 0.043916	 0.001169	 0.000000	 0.000618
12	 0.003747	 0.003604	 0.000079	 0.000000	 0.000034	0.049872	 0.047520	 0.001248	 0.000000	 0.000652
13	 0.003889	 0.003789	 0.000055	 0.000000	 0.000018	0.053761	 0.051309	 0.001303	 0.000000	 0.000670
14	 0.003490	 0.003337	 0.000088	 0.000000	 0.000036	0.057251	 0.054646	 0.001391	 0.000000	 0.000706
15	 0.003526	 0.003432	 0.000049	 0.000000	 0.000019	0.060777	 0.058078	 0.001440	 0.000000	 0.000725
16	 0.003351	 0.003205	 0.000081	 0.000000	 0.000034	0.064128	 0.061283	 0.001521	 0.000000	 0.000759
17	 0.003788	 0.003697	 0.000049	 0.000000	 0.000018	0.067916	 0.064980	 0.001570	 0.000000	 0.000777
18	 0.003449	 0.003292	 0.000088	 0.000000	 0.000036	0.071365	 0.068272	 0.001658	 0.000000	 0.000813
19	 0.003641	 0.003500	 0.000068	 0.000000	 0.000027	0.075006	 0.071772	 0.001726	 0.000000	 0.000840
20	 0.004054	 0.003835	 0.000125	 0.000000	 0.000055	0.079060	 0.075607	 0.001851	 0.000000	 0.000895
21	 0.003607	 0.003501	 0.000055	 0.000000	 0.000021	0.082667	 0.079108	 0.001906	 0.000000	 0.000916
22	 0.003673	 0.003486	 0.000110	 0.000000	 0.000042	0.086340	 0.082594	 0.002016	 0.000000	 0.000958
23	 0.003607	 0.003515	 0.000045	 0.000000	 0.000018	0.089947	 0.086109	 0.002061	 0.000000	 0.000976
24	 0.005127	 0.004935	 0.000111	 0.000000	 0.000039	0.095074	 0.091044	 0.002172	 0.000000	 0.001015
25	 0.003256	 0.003085	 0.000075	 0.000000	 0.000029	0.098330	 0.094129	 0.002247	 0.000000	 0.001044
26	 0.003287	 0.003190	 0.000038	 0.000000	 0.000021	0.101617	 0.097319	 0.002285	 0.000000	 0.001065
27	 0.002566	 0.002479	 0.000040	 0.000000	 0.000020	0.104183	 0.099798	 0.002325	 0.000000	 0.001085
28	 0.003591	 0.003418	 0.000099	 0.000000	 0.000034	0.107774	 0.103216	 0.002424	 0.000000	 0.001119
29	 0.003375	 0.003278	 0.000038	 0.000000	 0.000032	0.111149	 0.106494	 0.002462	 0.000000	 0.001151
30	 0.003740	 0.003567	 0.000099	 0.000000	 0.000047	0.114889	 0.110061	 0.002561	 0.000000	 0.001198
31	 0.003078	 0.002973	 0.000049	 0.000000	 0.000019	0.117967	 0.113034	 0.002610	 0.000000	 0.001217
32	 0.003536	 0.003439	 0.000041	 0.000000	 0.000020	0.121503	 0.116473	 0.002651	 0.000000	 0.001237
