Iter 	incumb_est 	candid_est 	error
1 	-134200.000000 	-159999.999913 	-0.192250
2 	-118600.000000 	-124608.695165 	-0.050664
3 	-97440.000000 	-115823.548343 	-0.188665
4 	-102730.000000 	-106665.209414 	-0.038306
5 	-109024.000000 	-109694.837862 	-0.006153
6 	-97440.000000 	-100057.805375 	-0.026866
7 	-102691.428571 	-103322.464930 	-0.006145
8 	-106405.000000 	-106527.961436 	-0.001156
9 	-100706.666667 	-108622.870774 	-0.078607
10 	-96148.000000 	-99085.883459 	-0.030556
11 	-93654.545455 	-98335.949825 	-0.049986
12 	-89310.000000 	-92343.576724 	-0.033967
13 	-92763.076923 	-94457.800401 	-0.018269
14 	-91060.000000 	-92864.945040 	-0.019821
15 	-93917.333333 	-93996.229474 	-0.000840
16 	-86567.500000 	-88238.021206 	-0.019297
17 	-89369.411765 	-90184.273351 	-0.009118
18 	-92502.067120 	-93686.119172 	-0.012800
19 	-91588.747919 	-95187.252914 	-0.039290
20 	-93317.739085 	-95948.109423 	-0.028187
21 	-95155.206718 	-97091.990507 	-0.020354
22 	-94808.653553 	-97140.171943 	-0.024592
23 	-96666.840303 	-98543.632229 	-0.019415
24 	-98302.845593 	-99899.849138 	-0.016246
25 	-97881.283919 	-99004.086749 	-0.011471
26 	-99035.156615 	-99238.909934 	-0.002057
27 	-97428.725597 	-99391.876278 	-0.020150
28 	-98874.791607 	-100578.708751 	-0.017233
29 	-98166.418248 	-98993.403502 	-0.008424
30 	-96736.286234 	-99631.190081 	-0.029926
31 	-96945.655879 	-97115.106752 	-0.001748
32 	-95653.261119 	-98193.299950 	-0.026555
33 	-95872.864707 	-96345.454408 	-0.004929
34 	-97109.503211 	-97243.844836 	-0.001383
35 	-96573.002097 	-98138.900257 	-0.016215
36 	-97721.490201 	-97884.319180 	-0.001666
37 	-95755.458951 	-96102.683898 	-0.003626
38 	-96870.410629 	-96912.636076 	-0.000436
39 	-97877.442356 	-99189.874475 	-0.013409
40 	-98883.596865 	-99335.052355 	-0.004566
41 	-96976.338684 	-97800.347921 	-0.008497
42 	-97956.035922 	-98351.985624 	-0.004042
43 	-97498.702259 	-97766.538608 	-0.002747
44 	-97786.874749 	-98357.641971 	-0.005837
45 	-96694.529584 	-97236.716873 	-0.005607
46 	-97595.162043 	-97975.174400 	-0.003894
47 	-95958.797137 	-96761.633086 	-0.008366
48 	-96837.231003 	-97358.173799 	-0.005380
49 	-96150.928274 	-96369.268818 	-0.002271
50 	-95734.768193 	-96839.696218 	-0.011542
51 	-96383.339175 	-96436.378842 	-0.000550
52 	-96839.332000 	-96883.924846 	-0.000460
53 	-97166.061331 	-97516.665202 	-0.003608
54 	-97935.876336 	-98150.867755 	-0.002195
55 	-97397.973912 	-97589.352032 	-0.001965
56 	-97543.186973 	-98041.062064 	-0.005104
57 	-98161.504061 	-98611.949176 	-0.004589
58 	-98919.099561 	-98952.803166 	-0.000341
59 	-98235.432548 	-98349.080292 	-0.001157
60 	-97667.334986 	-98776.257878 	-0.011354
61 	-98242.688014 	-98361.451845 	-0.001209
62 	-98793.509520 	-98897.537855 	-0.001053
63 	-99422.081139 	-99424.271333 	-0.000022
64 	-99947.236280 	-99947.236264 	0.000000
65 	-99498.525117 	-99572.473391 	-0.000743
66 	-100004.517584 	-100128.937950 	-0.001244
67 	-100495.405798 	-100619.122931 	-0.001231
68 	-100735.179236 	-100754.532189 	-0.000192
69 	-101183.914166 	-101208.930119 	-0.000247
70 	-101219.949651 	-101235.109373 	-0.000150
71 	-101666.063429 	-101675.849573 	-0.000096
72 	-102104.474650 	-102110.085469 	-0.000055
73 	-101677.517720 	-102603.203030 	-0.009104
74 	-101052.910766 	-102945.417093 	-0.018728
75 	-101868.719063 	-102955.119436 	-0.010665
76 	-102292.982231 	-102540.209027 	-0.002417
77 	-100655.536968 	-101163.924146 	-0.005051
78 	-101084.475210 	-101342.427023 	-0.002552
79 	-100290.198262 	-100372.817213 	-0.000824
80 	-100712.979781 	-100762.907516 	-0.000496
81 	-100339.844200 	-100401.232062 	-0.000612
82 	-100819.035768 	-100912.053266 	-0.000923
83 	-101226.771916 	-101315.292681 	-0.000874
84 	-100687.368147 	-100770.660304 	-0.000827
85 	-100120.035817 	-101158.380126 	-0.010371
86 	-100192.201947 	-100425.462854 	-0.002328
87 	-100627.759369 	-100684.805140 	-0.000567
88 	-101053.419710 	-101663.694087 	-0.006039
89 	-101469.512721 	-102058.304513 	-0.005803
90 	-101833.096177 	-101838.287911 	-0.000051
