Iter	 Iter_time	 Master	 Subprob	 Full_Test	 argmax	Iter_acc	 Master_acc	 Subprob_acc	 Full_Test_acc	 argmax_acc
1	 0.003708	 0.003455	 0.000125	 0.000000	 0.000071	0.003708	 0.003455	 0.000125	 0.000000	 0.000071
2	 0.002659	 0.002456	 0.000111	 0.000000	 0.000059	0.006367	 0.005911	 0.000236	 0.000000	 0.000130
3	 0.003319	 0.003226	 0.000043	 0.000000	 0.000024	0.009686	 0.009137	 0.000279	 0.000000	 0.000154
4	 0.003731	 0.003593	 0.000073	 0.000000	 0.000026	0.013417	 0.012730	 0.000352	 0.000000	 0.000180
5	 0.002907	 0.002642	 0.000100	 0.000000	 0.000118	0.016324	 0.015372	 0.000452	 0.000000	 0.000298
6	 0.003559	 0.003336	 0.000124	 0.000000	 0.000046	0.019883	 0.018708	 0.000576	 0.000000	 0.000344
7	 0.003744	 0.003608	 0.000071	 0.000000	 0.000025	0.023627	 0.022316	 0.000647	 0.000000	 0.000369
8	 0.004444	 0.004120	 0.000191	 0.000000	 0.000065	0.028071	 0.026436	 0.000838	 0.000000	 0.000434
9	 0.003870	 0.003717	 0.000080	 0.000000	 0.000029	0.031941	 0.030153	 0.000918	 0.000000	 0.000463
10	 0.003909	 0.003748	 0.000082	 0.000000	 0.000041	0.035850	 0.033901	 0.001000	 0.000000	 0.000504
11	 0.003666	 0.003549	 0.000063	 0.000000	 0.000027	0.039516	 0.037450	 0.001063	 0.000000	 0.000531
12	 0.003363	 0.003198	 0.000091	 0.000000	 0.000044	0.042879	 0.040648	 0.001154	 0.000000	 0.000575
13	 0.004734	 0.004642	 0.000048	 0.000000	 0.000019	0.047613	 0.045290	 0.001202	 0.000000	 0.000594
14	 0.003727	 0.003584	 0.000082	 0.000000	 0.000033	0.051340	 0.048874	 0.001284	 0.000000	 0.000627
15	 0.003765	 0.003671	 0.000050	 0.000000	 0.000018	0.055105	 0.052545	 0.001334	 0.000000	 0.000645
16	 0.003706	 0.003565	 0.000080	 0.000000	 0.000032	0.058811	 0.056110	 0.001414	 0.000000	 0.000677
17	 0.003996	 0.003896	 0.000051	 0.000000	 0.000018	0.062807	 0.060006	 0.001465	 0.000000	 0.000695
18	 0.003799	 0.003622	 0.000082	 0.000000	 0.000040	0.066606	 0.063628	 0.001547	 0.000000	 0.000735
19	 0.003460	 0.003266	 0.000107	 0.000000	 0.000037	0.070066	 0.066894	 0.001654	 0.000000	 0.000772
20	 0.004251	 0.004001	 0.000145	 0.000000	 0.000055	0.074317	 0.070895	 0.001799	 0.000000	 0.000827
21	 0.002862	 0.002752	 0.000058	 0.000000	 0.000020	0.077179	 0.073647	 0.001857	 0.000000	 0.000847
22	 0.004000	 0.003747	 0.000131	 0.000000	 0.000043	0.081179	 0.077394	 0.001988	 0.000000	 0.000890
23	 0.003779	 0.003632	 0.000079	 0.000000	 0.000029	0.084958	 0.081026	 0.002067	 0.000000	 0.000919
24	 0.003902	 0.003714	 0.000107	 0.000000	 0.000041	0.088860	 0.084740	 0.002174	 0.000000	 0.000960
25	 0.003284	 0.003195	 0.000043	 0.000000	 0.000018	0.092144	 0.087935	 0.002217	 0.000000	 0.000978
26	 0.004035	 0.003861	 0.000085	 0.000000	 0.000036	0.096179	 0.091796	 0.002302	 0.000000	 0.001014
27	 0.003866	 0.003667	 0.000110	 0.000000	 0.000028	0.100045	 0.095463	 0.002412	 0.000000	 0.001042
28	 0.003755	 0.003561	 0.000121	 0.000000	 0.000031	0.103800	 0.099024	 0.002533	 0.000000	 0.001073
29	 0.003333	 0.003146	 0.000111	 0.000000	 0.000039	0.107133	 0.102170	 0.002644	 0.000000	 0.001112
30	 0.003407	 0.003317	 0.000043	 0.000000	 0.000018	0.110540	 0.105487	 0.002687	 0.000000	 0.001130
31	 0.003758	 0.003610	 0.000085	 0.000000	 0.000033	0.114298	 0.109097	 0.002772	 0.000000	 0.001163
32	 0.003289	 0.003196	 0.000050	 0.000000	 0.000020	0.117587	 0.112293	 0.002822	 0.000000	 0.001183
33	 0.003613	 0.003472	 0.000077	 0.000000	 0.000033	0.121200	 0.115765	 0.002899	 0.000000	 0.001216
34	 0.003613	 0.003515	 0.000054	 0.000000	 0.000019	0.124813	 0.119280	 0.002953	 0.000000	 0.001235
35	 0.003350	 0.003200	 0.000086	 0.000000	 0.000033	0.128163	 0.122480	 0.003039	 0.000000	 0.001268
36	 0.003713	 0.003626	 0.000043	 0.000000	 0.000018	0.131876	 0.126106	 0.003082	 0.000000	 0.001286
37	 0.003604	 0.003443	 0.000081	 0.000000	 0.000033	0.135480	 0.129549	 0.003163	 0.000000	 0.001319
38	 0.003485	 0.003378	 0.000056	 0.000000	 0.000020	0.138965	 0.132927	 0.003219	 0.000000	 0.001339
39	 0.003650	 0.003509	 0.000077	 0.000000	 0.000034	0.142615	 0.136436	 0.003296	 0.000000	 0.001373
40	 0.007906	 0.007803	 0.000058	 0.000000	 0.000018	0.150521	 0.144239	 0.003354	 0.000000	 0.001391
41	 0.003301	 0.003141	 0.000090	 0.000000	 0.000036	0.153822	 0.147380	 0.003444	 0.000000	 0.001427
42	 0.003703	 0.003607	 0.000051	 0.000000	 0.000019	0.157525	 0.150987	 0.003495	 0.000000	 0.001446
43	 0.003152	 0.003004	 0.000084	 0.000000	 0.000035	0.160677	 0.153991	 0.003579	 0.000000	 0.001481
44	 0.003530	 0.003445	 0.000044	 0.000000	 0.000019	0.164207	 0.157436	 0.003623	 0.000000	 0.001500
45	 0.003616	 0.003472	 0.000079	 0.000000	 0.000034	0.167823	 0.160908	 0.003702	 0.000000	 0.001534
46	 0.003471	 0.003371	 0.000056	 0.000000	 0.000019	0.171294	 0.164279	 0.003758	 0.000000	 0.001553
47	 0.003420	 0.003272	 0.000083	 0.000000	 0.000034	0.174714	 0.167551	 0.003841	 0.000000	 0.001587
48	 0.002901	 0.002807	 0.000049	 0.000000	 0.000019	0.177615	 0.170358	 0.003890	 0.000000	 0.001606
49	 0.003235	 0.003075	 0.000080	 0.000000	 0.000035	0.180850	 0.173433	 0.003970	 0.000000	 0.001641
50	 0.003421	 0.003268	 0.000089	 0.000000	 0.000028	0.184271	 0.176701	 0.004059	 0.000000	 0.001669
51	 0.002970	 0.002785	 0.000108	 0.000000	 0.000040	0.187241	 0.179486	 0.004167	 0.000000	 0.001709
52	 0.002712	 0.002588	 0.000062	 0.000000	 0.000022	0.189953	 0.182074	 0.004229	 0.000000	 0.001731
53	 0.003225	 0.003030	 0.000106	 0.000000	 0.000042	0.193178	 0.185104	 0.004335	 0.000000	 0.001773
54	 0.003075	 0.002949	 0.000067	 0.000000	 0.000020	0.196253	 0.188053	 0.004402	 0.000000	 0.001793
55	 0.003296	 0.003176	 0.000052	 0.000000	 0.000019	0.199549	 0.191229	 0.004454	 0.000000	 0.001812
56	 0.003812	 0.003506	 0.000180	 0.000000	 0.000075	0.203361	 0.194735	 0.004634	 0.000000	 0.001887
