Iter	 Iter_time	 Master	 Subprob	 Full_Test	 argmax	Iter_acc	 Master_acc	 Subprob_acc	 Full_Test_acc	 argmax_acc
1	 0.003770	 0.003520	 0.000139	 0.000000	 0.000064	0.003770	 0.003520	 0.000139	 0.000000	 0.000064
2	 0.003439	 0.003162	 0.000109	 0.000000	 0.000134	0.007209	 0.006682	 0.000248	 0.000000	 0.000198
3	 0.003662	 0.003523	 0.000069	 0.000000	 0.000029	0.010871	 0.010205	 0.000317	 0.000000	 0.000227
4	 0.002751	 0.002409	 0.000169	 0.000000	 0.000110	0.013622	 0.012614	 0.000486	 0.000000	 0.000337
5	 0.003614	 0.003424	 0.000101	 0.000000	 0.000033	0.017236	 0.016038	 0.000587	 0.000000	 0.000370
6	 0.003164	 0.002863	 0.000149	 0.000000	 0.000081	0.020400	 0.018901	 0.000736	 0.000000	 0.000451
7	 0.003671	 0.003444	 0.000136	 0.000000	 0.000040	0.024071	 0.022345	 0.000872	 0.000000	 0.000491
8	 0.003683	 0.003474	 0.000099	 0.000000	 0.000061	0.027754	 0.025819	 0.000971	 0.000000	 0.000552
9	 0.003514	 0.003369	 0.000088	 0.000000	 0.000022	0.031268	 0.029188	 0.001059	 0.000000	 0.000574
10	 0.003574	 0.003372	 0.000119	 0.000000	 0.000041	0.034842	 0.032560	 0.001178	 0.000000	 0.000615
11	 0.003164	 0.002942	 0.000080	 0.000000	 0.000098	0.038006	 0.035502	 0.001258	 0.000000	 0.000713
12	 0.003569	 0.003344	 0.000130	 0.000000	 0.000044	0.041575	 0.038846	 0.001388	 0.000000	 0.000757
13	 0.002950	 0.002788	 0.000088	 0.000000	 0.000027	0.044525	 0.041634	 0.001476	 0.000000	 0.000784
14	 0.002933	 0.002739	 0.000109	 0.000000	 0.000041	0.047458	 0.044373	 0.001585	 0.000000	 0.000825
15	 0.003818	 0.003619	 0.000104	 0.000000	 0.000038	0.051276	 0.047992	 0.001689	 0.000000	 0.000863
16	 0.003689	 0.003441	 0.000139	 0.000000	 0.000054	0.054965	 0.051433	 0.001828	 0.000000	 0.000917
17	 0.003724	 0.003502	 0.000128	 0.000000	 0.000039	0.058689	 0.054935	 0.001956	 0.000000	 0.000956
18	 0.003057	 0.002766	 0.000170	 0.000000	 0.000063	0.061746	 0.057701	 0.002126	 0.000000	 0.001019
19	 0.003681	 0.003539	 0.000078	 0.000000	 0.000027	0.065427	 0.061240	 0.002204	 0.000000	 0.001046
20	 0.004092	 0.003865	 0.000103	 0.000000	 0.000089	0.069519	 0.065105	 0.002307	 0.000000	 0.001135
21	 0.003450	 0.003316	 0.000058	 0.000000	 0.000027	0.072969	 0.068421	 0.002365	 0.000000	 0.001162
22	 0.003316	 0.003128	 0.000110	 0.000000	 0.000042	0.076285	 0.071549	 0.002475	 0.000000	 0.001204
23	 0.003401	 0.003293	 0.000053	 0.000000	 0.000021	0.079686	 0.074842	 0.002528	 0.000000	 0.001225
24	 0.003933	 0.003738	 0.000118	 0.000000	 0.000040	0.083619	 0.078580	 0.002646	 0.000000	 0.001265
25	 0.003294	 0.003186	 0.000040	 0.000000	 0.000021	0.086913	 0.081766	 0.002686	 0.000000	 0.001286
26	 0.003118	 0.003009	 0.000044	 0.000000	 0.000022	0.090031	 0.084775	 0.002730	 0.000000	 0.001308
27	 0.002579	 0.002468	 0.000048	 0.000000	 0.000026	0.092610	 0.087243	 0.002778	 0.000000	 0.001334
28	 0.003135	 0.002942	 0.000106	 0.000000	 0.000038	0.095745	 0.090185	 0.002884	 0.000000	 0.001372
29	 0.003464	 0.003344	 0.000047	 0.000000	 0.000040	0.099209	 0.093529	 0.002931	 0.000000	 0.001412
30	 0.003555	 0.003344	 0.000116	 0.000000	 0.000052	0.102764	 0.096873	 0.003047	 0.000000	 0.001464
31	 0.002998	 0.002826	 0.000084	 0.000000	 0.000023	0.105762	 0.099699	 0.003131	 0.000000	 0.001487
32	 0.003215	 0.003077	 0.000053	 0.000000	 0.000024	0.108977	 0.102776	 0.003184	 0.000000	 0.001511
33	 0.003241	 0.003088	 0.000058	 0.000000	 0.000023	0.112218	 0.105864	 0.003242	 0.000000	 0.001534
34	 0.003143	 0.002985	 0.000075	 0.000000	 0.000037	0.115361	 0.108849	 0.003317	 0.000000	 0.001571
35	 0.003264	 0.003064	 0.000115	 0.000000	 0.000039	0.118625	 0.111913	 0.003432	 0.000000	 0.001610
36	 0.002955	 0.002833	 0.000066	 0.000000	 0.000025	0.121580	 0.114746	 0.003498	 0.000000	 0.001635
