Iter 	incumb_est 	candid_est 	error
1 	-134200.000000 	-73599.999887 	0.451565
2 	-55120.000000 	-66976.922562 	-0.215111
3 	-60720.000000 	-76876.743840 	-0.266086
4 	-78340.000000 	-81067.241195 	-0.034813
5 	-82240.000000 	-88523.559924 	-0.076405
6 	-70600.000000 	-73730.496199 	-0.044341
7 	-79685.714286 	-81500.924923 	-0.022780
8 	-88200.000000 	-92572.948306 	-0.049580
9 	-87666.009751 	-91620.507863 	-0.045109
10 	-92911.906101 	-96992.417887 	-0.043918
11 	-80528.644580 	-86625.281021 	-0.075708
12 	-81650.820260 	-86645.056640 	-0.061166
13 	-84646.355255 	-86195.964105 	-0.018307
14 	-85156.256446 	-88157.082637 	-0.035239
15 	-79814.908062 	-84413.442101 	-0.057615
16 	-81650.820260 	-85743.956090 	-0.050130
17 	-83047.714640 	-84933.960471 	-0.022713
18 	-86637.857991 	-87441.367702 	-0.009274
19 	-85578.209935 	-89399.630875 	-0.044654
20 	-88047.883763 	-91203.284280 	-0.035837
21 	-92498.510688 	-94831.212831 	-0.025219
22 	-94429.109588 	-95625.968274 	-0.012675
23 	-93911.414048 	-95313.896136 	-0.014934
24 	-93474.486836 	-95925.285999 	-0.026219
25 	-94374.230298 	-96169.827030 	-0.019026
26 	-94559.266679 	-95414.323181 	-0.009043
27 	-92952.185439 	-94497.730876 	-0.016627
28 	-94543.777449 	-95228.021884 	-0.007237
29 	-95215.735413 	-95840.995552 	-0.006567
30 	-92534.344305 	-97203.365248 	-0.050457
31 	-93985.390027 	-95974.505753 	-0.021164
32 	-93474.486836 	-95493.484425 	-0.021599
33 	-93395.584081 	-94909.755647 	-0.016212
34 	-94304.024363 	-94419.121015 	-0.001220
35 	-93177.235621 	-94810.100937 	-0.017524
36 	-92004.343868 	-94261.885081 	-0.024537
37 	-90894.851654 	-92584.184303 	-0.018586
38 	-92126.682093 	-93410.757168 	-0.013938
39 	-94043.369595 	-94480.550092 	-0.004649
40 	-93583.236623 	-94193.004211 	-0.006516
41 	-92543.477971 	-94597.162364 	-0.022192
42 	-93618.738219 	-94813.583516 	-0.012763
43 	-93252.770690 	-94036.412408 	-0.008403
44 	-93107.445656 	-93947.791861 	-0.009026
45 	-91372.786758 	-92051.136281 	-0.007424
46 	-91274.649428 	-92105.714253 	-0.009105
47 	-89652.801459 	-91729.756070 	-0.023167
48 	-90653.876602 	-91917.948899 	-0.013944
49 	-90393.228804 	-91465.908423 	-0.011867
50 	-89604.426880 	-90866.326619 	-0.014083
51 	-90547.563772 	-90931.048238 	-0.004235
52 	-91080.795972 	-91444.260633 	-0.003991
53 	-89561.528654 	-91894.728000 	-0.026051
54 	-90453.063463 	-91864.825652 	-0.015608
55 	-90224.501118 	-90767.889712 	-0.006023
56 	-91072.356604 	-91365.791164 	-0.003222
57 	-90840.949198 	-91428.467902 	-0.006468
58 	-91648.939873 	-92013.596019 	-0.003979
59 	-91415.604189 	-91868.270066 	-0.004952
60 	-91526.658903 	-92023.611258 	-0.005430
61 	-91952.576884 	-92037.887672 	-0.000928
62 	-91372.161289 	-91919.646313 	-0.005992
63 	-92110.230573 	-92523.623896 	-0.004488
64 	-93252.372754 	-93767.207467 	-0.005521
65 	-93499.897529 	-93973.945984 	-0.005070
66 	-94113.009993 	-94308.896329 	-0.002081
67 	-93465.993663 	-94317.565668 	-0.009111
68 	-94119.001494 	-94653.285985 	-0.005677
69 	-95177.595730 	-95260.102093 	-0.000867
70 	-95880.063110 	-95880.063100 	0.000000
71 	-96482.560437 	-96482.560553 	-0.000000
72 	-97068.321841 	-97068.321844 	-0.000000
73 	-97538.605402 	-97609.927766 	-0.000731
74 	-96965.872313 	-97822.351608 	-0.008833
