Iter	 Iter_time	 Master	 Subprob	 Full_Test	 argmax	Iter_acc	 Master_acc	 Subprob_acc	 Full_Test_acc	 argmax_acc
1	 0.005973	 0.005266	 0.000474	 0.000000	 0.000150	0.005973	 0.005266	 0.000474	 0.000000	 0.000150
2	 0.003531	 0.003240	 0.000165	 0.000000	 0.000077	0.009504	 0.008506	 0.000639	 0.000000	 0.000227
3	 0.003189	 0.003047	 0.000052	 0.000000	 0.000064	0.012693	 0.011553	 0.000691	 0.000000	 0.000291
4	 0.003293	 0.003130	 0.000088	 0.000000	 0.000044	0.015986	 0.014683	 0.000779	 0.000000	 0.000335
5	 0.003894	 0.003781	 0.000056	 0.000000	 0.000030	0.019880	 0.018464	 0.000835	 0.000000	 0.000365
6	 0.003568	 0.003344	 0.000090	 0.000000	 0.000102	0.023448	 0.021808	 0.000925	 0.000000	 0.000467
7	 0.003468	 0.003377	 0.000044	 0.000000	 0.000018	0.026916	 0.025185	 0.000969	 0.000000	 0.000485
8	 0.004104	 0.003956	 0.000086	 0.000000	 0.000033	0.031020	 0.029141	 0.001055	 0.000000	 0.000518
9	 0.003652	 0.003539	 0.000054	 0.000000	 0.000018	0.034672	 0.032680	 0.001109	 0.000000	 0.000536
10	 0.003392	 0.003287	 0.000057	 0.000000	 0.000020	0.038064	 0.035967	 0.001166	 0.000000	 0.000556
11	 0.003643	 0.003499	 0.000083	 0.000000	 0.000032	0.041707	 0.039466	 0.001249	 0.000000	 0.000588
12	 0.003829	 0.003737	 0.000047	 0.000000	 0.000017	0.045536	 0.043203	 0.001296	 0.000000	 0.000605
13	 0.004209	 0.004018	 0.000086	 0.000000	 0.000076	0.049745	 0.047221	 0.001382	 0.000000	 0.000681
14	 0.003740	 0.003649	 0.000045	 0.000000	 0.000018	0.053485	 0.050870	 0.001427	 0.000000	 0.000699
15	 0.003624	 0.003486	 0.000079	 0.000000	 0.000034	0.057109	 0.054356	 0.001506	 0.000000	 0.000733
16	 0.002921	 0.002830	 0.000048	 0.000000	 0.000018	0.060030	 0.057186	 0.001554	 0.000000	 0.000751
17	 0.003482	 0.003333	 0.000084	 0.000000	 0.000034	0.063512	 0.060519	 0.001638	 0.000000	 0.000785
18	 0.003492	 0.003398	 0.000039	 0.000000	 0.000018	0.067004	 0.063917	 0.001677	 0.000000	 0.000803
19	 0.003781	 0.003660	 0.000060	 0.000000	 0.000020	0.070785	 0.067577	 0.001737	 0.000000	 0.000823
20	 0.002760	 0.002663	 0.000052	 0.000000	 0.000020	0.073545	 0.070240	 0.001789	 0.000000	 0.000843
21	 0.003024	 0.002880	 0.000080	 0.000000	 0.000033	0.076569	 0.073120	 0.001869	 0.000000	 0.000876
22	 0.003008	 0.002918	 0.000047	 0.000000	 0.000018	0.079577	 0.076038	 0.001916	 0.000000	 0.000894
23	 0.004039	 0.003853	 0.000089	 0.000000	 0.000036	0.083616	 0.079891	 0.002005	 0.000000	 0.000930
24	 0.003210	 0.003046	 0.000084	 0.000000	 0.000028	0.086826	 0.082937	 0.002089	 0.000000	 0.000958
25	 0.003347	 0.003214	 0.000070	 0.000000	 0.000025	0.090173	 0.086151	 0.002159	 0.000000	 0.000983
26	 0.003913	 0.003694	 0.000133	 0.000000	 0.000044	0.094086	 0.089845	 0.002292	 0.000000	 0.001027
27	 0.003473	 0.003358	 0.000063	 0.000000	 0.000022	0.097559	 0.093203	 0.002355	 0.000000	 0.001049
28	 0.003940	 0.003796	 0.000079	 0.000000	 0.000033	0.101499	 0.096999	 0.002434	 0.000000	 0.001082
29	 0.003300	 0.003213	 0.000044	 0.000000	 0.000019	0.104799	 0.100212	 0.002478	 0.000000	 0.001101
30	 0.003690	 0.003541	 0.000073	 0.000000	 0.000033	0.108489	 0.103753	 0.002551	 0.000000	 0.001134
31	 0.003790	 0.003592	 0.000103	 0.000000	 0.000052	0.112279	 0.107345	 0.002654	 0.000000	 0.001186
32	 0.003750	 0.003555	 0.000087	 0.000000	 0.000059	0.116029	 0.110900	 0.002741	 0.000000	 0.001245
33	 0.003507	 0.003415	 0.000041	 0.000000	 0.000021	0.119536	 0.114315	 0.002782	 0.000000	 0.001266
34	 0.004021	 0.003855	 0.000102	 0.000000	 0.000032	0.123557	 0.118170	 0.002884	 0.000000	 0.001298
35	 0.003672	 0.003560	 0.000054	 0.000000	 0.000021	0.127229	 0.121730	 0.002938	 0.000000	 0.001319
36	 0.003571	 0.003474	 0.000051	 0.000000	 0.000020	0.130800	 0.125204	 0.002989	 0.000000	 0.001339
37	 0.003607	 0.003460	 0.000083	 0.000000	 0.000034	0.134407	 0.128664	 0.003072	 0.000000	 0.001373
38	 0.003170	 0.003090	 0.000035	 0.000000	 0.000018	0.137577	 0.131754	 0.003107	 0.000000	 0.001391
39	 0.002927	 0.002783	 0.000081	 0.000000	 0.000033	0.140504	 0.134537	 0.003188	 0.000000	 0.001424
40	 0.002950	 0.002855	 0.000051	 0.000000	 0.000017	0.143454	 0.137392	 0.003239	 0.000000	 0.001441
41	 0.002781	 0.002641	 0.000076	 0.000000	 0.000032	0.146235	 0.140033	 0.003315	 0.000000	 0.001473
42	 0.002729	 0.002641	 0.000034	 0.000000	 0.000029	0.148964	 0.142674	 0.003349	 0.000000	 0.001502
43	 0.003616	 0.003460	 0.000086	 0.000000	 0.000042	0.152580	 0.146134	 0.003435	 0.000000	 0.001544
44	 0.002985	 0.002909	 0.000035	 0.000000	 0.000016	0.155565	 0.149043	 0.003470	 0.000000	 0.001560
45	 0.003410	 0.003288	 0.000061	 0.000000	 0.000032	0.158975	 0.152331	 0.003531	 0.000000	 0.001592
46	 0.003673	 0.003596	 0.000034	 0.000000	 0.000017	0.162648	 0.155927	 0.003565	 0.000000	 0.001609
47	 0.002682	 0.002559	 0.000061	 0.000000	 0.000031	0.165330	 0.158486	 0.003626	 0.000000	 0.001640
48	 0.003010	 0.002908	 0.000049	 0.000000	 0.000029	0.168340	 0.161394	 0.003675	 0.000000	 0.001669
49	 0.003075	 0.002922	 0.000080	 0.000000	 0.000043	0.171415	 0.164316	 0.003755	 0.000000	 0.001712
50	 0.003184	 0.003107	 0.000035	 0.000000	 0.000018	0.174599	 0.167423	 0.003790	 0.000000	 0.001730
51	 0.003397	 0.003244	 0.000089	 0.000000	 0.000031	0.177996	 0.170667	 0.003879	 0.000000	 0.001761
52	 0.002766	 0.002679	 0.000045	 0.000000	 0.000018	0.180762	 0.173346	 0.003924	 0.000000	 0.001779
53	 0.003323	 0.003194	 0.000066	 0.000000	 0.000033	0.184085	 0.176540	 0.003990	 0.000000	 0.001812
54	 0.003001	 0.002910	 0.000036	 0.000000	 0.000029	0.187086	 0.179450	 0.004026	 0.000000	 0.001841
