Iter 	incumb_est 	candid_est 	error
1 	151.380172 	430.750000 	-1.845485
2 	450.322262 	430.750000 	0.043463
3 	424.750000 	398.750001 	0.061212
4 	832.304197 	354.024274 	0.574646
5 	538.011740 	304.424677 	0.434167
6 	539.295105 	330.817983 	0.386573
7 	513.551379 	435.346560 	0.152282
8 	476.857457 	403.665520 	0.153488
9 	488.385758 	445.727217 	0.087346
10 	451.088734 	423.924098 	0.060220
11 	469.303188 	429.551158 	0.084704
12 	446.031597 	419.615934 	0.059224
13 	473.270251 	423.020755 	0.106175
14 	453.039811 	412.072659 	0.090427
15 	477.069430 	442.266470 	0.072952
16 	459.130347 	434.498644 	0.053649
17 	482.724685 	439.102466 	0.090367
18 	466.464652 	430.821793 	0.076411
19 	478.797255 	448.243580 	0.063813
20 	464.359597 	441.516533 	0.049193
21 	475.274097 	443.634520 	0.066571
22 	462.309097 	436.851170 	0.055067
23 	471.484097 	442.887210 	0.060653
24 	459.757430 	437.717408 	0.047938
25 	472.098497 	442.534842 	0.062622
26 	461.250251 	439.296399 	0.047596
27 	486.099101 	447.406244 	0.079599
28 	475.525708 	447.561560 	0.058807
29 	483.776859 	444.618548 	0.080943
30 	473.985767 	448.433777 	0.053909
31 	476.906681 	443.396820 	0.070265
32 	467.942225 	440.671464 	0.058278
33 	467.108585 	447.939002 	0.041039
34 	459.002632 	441.401284 	0.038347
35 	469.443180 	456.148062 	0.028321
36 	461.722709 	449.826935 	0.025764
37 	463.018573 	451.015860 	0.025923
38 	461.943227 	448.803354 	0.028445
39 	464.722216 	448.800999 	0.034260
40 	457.129400 	449.470530 	0.016754
41 	466.662089 	449.448247 	0.036887
42 	459.384648 	445.897601 	0.029359
43 	465.379524 	459.201248 	0.013276
44 	458.462025 	453.955663 	0.009829
45 	461.227432 	450.595315 	0.023052
46 	454.700956 	445.256570 	0.020771
47 	458.446426 	445.350513 	0.028566
48 	452.249825 	450.121918 	0.004705
49 	458.984253 	449.500882 	0.020662
50 	453.024760 	444.081272 	0.019742
51 	460.283483 	447.648966 	0.027449
52 	454.528216 	445.795895 	0.019212
53 	461.892930 	448.420069 	0.029169
54 	456.321016 	452.769228 	0.007784
55 	458.215484 	451.743149 	0.014125
56 	453.484441 	447.143593 	0.013983
57 	456.029830 	446.934307 	0.019945
58 	450.943274 	448.051235 	0.006413
59 	457.754920 	449.149738 	0.018799
60 	453.841591 	447.515286 	0.013939
61 	458.100791 	447.908887 	0.022248
62 	453.308997 	447.521965 	0.012766
63 	457.161045 	453.185512 	0.008696
64 	452.533679 	449.772776 	0.006101
65 	454.310182 	448.743918 	0.012252
66 	451.801941 	449.935690 	0.004131
67 	455.920016 	449.761263 	0.013508
68 	451.583098 	446.468587 	0.011326
69 	454.045515 	445.323489 	0.019210
70 	449.981209 	449.645904 	0.000745
71 	451.730425 	448.104779 	0.008026
72 	447.692635 	444.170444 	0.007867
73 	450.801082 	443.641469 	0.015882
74 	446.884981 	443.495931 	0.007584
75 	449.665397 	443.705040 	0.013255
76 	446.403104 	441.073941 	0.011938
77 	451.906135 	443.101425 	0.019483
78 	448.176692 	445.507525 	0.005956
79 	451.593560 	446.065736 	0.012241
80 	447.961260 	444.540096 	0.007637
81 	449.647003 	443.799647 	0.013004
82 	446.127034 	443.590264 	0.005686
83 	450.164295 	444.394503 	0.012817
84 	450.363292 	444.050423 	0.014017
85 	452.076519 	446.969346 	0.011297
86 	449.778892 	446.216717 	0.007920
87 	453.254273 	447.760229 	0.012121
88 	449.933310 	445.394319 	0.010088
89 	451.581872 	445.377778 	0.013739
90 	448.353291 	445.155598 	0.007132
91 	449.192155 	444.507172 	0.010430
92 	446.059735 	442.758485 	0.007401
93 	449.417979 	443.984528 	0.012090
94 	447.551113 	443.340627 	0.009408
95 	449.620957 	444.983516 	0.010314
96 	446.614589 	445.192004 	0.003185
97 	448.902229 	445.355192 	0.007902
98 	445.964549 	443.235920 	0.006118
99 	447.241728 	443.653952 	0.008022
100 	444.614588 	441.829598 	0.006264
101 	447.892677 	442.101628 	0.012930
102 	445.080097 	442.489176 	0.005821
103 	448.598442 	444.044908 	0.010151
104 	447.335821 	442.759944 	0.010229
105 	448.803249 	444.826857 	0.008860
106 	452.142766 	447.686700 	0.009855
107 	454.984467 	445.885705 	0.019998
108 	452.262477 	447.387410 	0.010779
109 	452.471243 	447.369122 	0.011276
110 	449.881550 	445.526665 	0.009680
111 	451.378945 	446.777485 	0.010194
112 	448.845249 	444.826645 	0.008953
113 	453.607169 	449.114955 	0.009903
114 	451.098378 	448.183536 	0.006462
115 	453.621780 	449.494954 	0.009098
116 	451.156117 	447.540003 	0.008015
117 	453.334609 	449.277407 	0.008950
118 	450.913171 	448.802448 	0.004681
119 	452.417653 	448.929614 	0.007710
120 	450.044214 	447.347286 	0.005993
121 	451.763621 	447.574002 	0.009274
122 	449.434452 	446.003700 	0.007633
123 	450.023980 	445.914176 	0.009132
124 	447.746408 	445.254714 	0.005565
125 	451.519974 	446.881804 	0.010272
126 	449.266680 	445.972644 	0.007332
127 	451.396750 	447.813285 	0.007939
128 	449.179627 	445.815124 	0.007490
129 	449.918130 	446.426777 	0.007760
130 	447.746490 	446.049555 	0.003790
131 	451.137452 	447.521971 	0.008014
132 	448.989478 	446.581485 	0.005363
133 	451.258267 	448.852069 	0.005332
134 	449.141451 	446.718634 	0.005394
135 	450.875503 	447.766603 	0.006895
136 	448.792631 	447.075019 	0.003827
137 	451.795716 	448.316402 	0.007701
138 	449.736363 	447.099552 	0.005863
139 	453.005975 	450.548144 	0.005426
140 	450.967397 	448.588087 	0.005276
141 	451.678241 	449.039086 	0.005843
142 	449.677725 	448.577284 	0.002447
143 	452.076751 	449.829946 	0.004970
144 	450.497825 	448.746424 	0.003888
145 	452.986522 	450.580431 	0.005312
146 	451.031853 	448.650351 	0.005280
147 	452.916232 	450.538669 	0.005249
148 	450.988453 	449.793738 	0.002649
149 	452.178749 	450.337687 	0.004072
150 	450.281590 	449.564296 	0.001593
151 	451.330364 	449.370854 	0.004342
152 	449.463750 	447.959621 	0.003346
153 	451.413566 	448.984647 	0.005381
154 	449.701852 	448.651086 	0.002337
155 	452.379650 	450.270992 	0.004661
156 	450.554172 	448.511959 	0.004533
157 	451.518135 	449.498387 	0.004473
158 	449.721217 	449.080929 	0.001424
159 	451.245572 	449.651563 	0.003532
160 	449.472818 	447.904308 	0.003490
161 	451.951015 	449.732541 	0.004909
162 	450.195792 	449.557891 	0.001417
163 	451.465403 	449.879479 	0.003513
164 	449.734547 	448.154116 	0.003514
165 	452.272309 	450.357809 	0.004233
166 	450.557446 	449.857853 	0.001553
167 	451.722326 	450.211562 	0.003344
168 	450.031151 	448.515562 	0.003368
169 	451.383561 	449.616806 	0.003914
170 	449.877414 	449.196586 	0.001513
171 	451.213246 	449.715357 	0.003320
172 	450.332748 	448.250124 	0.004625
173 	451.457164 	449.728882 	0.003828
174 	449.825830 	449.248795 	0.001283
175 	451.603869 	450.086486 	0.003360
176 	449.990239 	449.441832 	0.001219
177 	450.759157 	449.896279 	0.001914
178 	449.155126 	448.687645 	0.001041
179 	450.142744 	449.696764 	0.000991
180 	450.144419 	448.548991 	0.003544
181 	450.551898 	450.068009 	0.001074
182 	450.385754 	448.872112 	0.003361
183 	450.621235 	450.197080 	0.000941
184 	450.528031 	449.012576 	0.003364
185 	450.239948 	449.773096 	0.001037
186 	449.956783 	448.661571 	0.002879
187 	450.627982 	450.153193 	0.001054
188 	450.120996 	449.073206 	0.002328
189 	450.434953 	449.957600 	0.001060
190 	450.556093 	449.010371 	0.003431
191 	450.429474 	450.057391 	0.000826
192 	450.273206 	448.959421 	0.002918
193 	450.276082 	449.827553 	0.000996
194 	450.720199 	449.014301 	0.003785
195 	450.561037 	450.151971 	0.000908
196 	450.000882 	449.131214 	0.001933
197 	450.407718 	449.928304 	0.001064
198 	450.486573 	449.088689 	0.003103
199 	450.488291 	450.020345 	0.001039
200 	450.073358 	449.155987 	0.002038
201 	450.471737 	450.001473 	0.001044
202 	450.548714 	449.231307 	0.002924
203 	450.092480 	449.742896 	0.000777
204 	450.327052 	448.951529 	0.003054
205 	450.528370 	450.052431 	0.001056
206 	450.603577 	449.366842 	0.002745
207 	451.125378 	450.574773 	0.001221
208 	450.799064 	449.888405 	0.002020
209 	451.073218 	450.573560 	0.001108
210 	450.983684 	449.925210 	0.002347
211 	451.095147 	450.629741 	0.001032
212 	451.238307 	450.032154 	0.002673
213 	451.020743 	450.631713 	0.000863
214 	451.052287 	449.966778 	0.002407
215 	451.552585 	450.978000 	0.001272
216 	450.794977 	450.275076 	0.001153
217 	450.795131 	450.349347 	0.000989
218 	450.672314 	449.731109 	0.002088
219 	450.655076 	450.211255 	0.000985
220 	450.486990 	449.617618 	0.001930
221 	451.162915 	450.512077 	0.001443
222 	450.620997 	450.022314 	0.001329
223 	450.384482 	449.999657 	0.000854
224 	450.614663 	449.516753 	0.002436
225 	450.615613 	450.152948 	0.001027
226 	450.482031 	449.660807 	0.001823
227 	450.611393 	450.100749 	0.001133
228 	451.117660 	449.933535 	0.002625
229 	450.999667 	450.565475 	0.000963
230 	450.419242 	449.933131 	0.001079
231 	450.067572 	449.711938 	0.000790
232 	450.257026 	449.305312 	0.002114
233 	450.391208 	449.857063 	0.001186
234 	450.278515 	449.541739 	0.001636
235 	450.411463 	449.869728 	0.001203
236 	449.904877 	449.434816 	0.001045
237 	449.656874 	449.254015 	0.000896
238 	449.725631 	448.931976 	0.001765
239 	449.829299 	449.280769 	0.001219
240 	449.581140 	448.997994 	0.001297
241 	449.172850 	448.827316 	0.000769
242 	449.039913 	448.416154 	0.001389
243 	449.207532 	448.612764 	0.001324
244 	448.861403 	448.377660 	0.001078
245 	449.132464 	448.482667 	0.001447
246 	448.795901 	448.306102 	0.001091
247 	448.737057 	448.237069 	0.001114
248 	448.637395 	448.056066 	0.001296
249 	448.510652 	448.022280 	0.001089
250 	448.445693 	447.867526 	0.001289
251 	448.348688 	447.839038 	0.001137
252 	448.208697 	447.689277 	0.001159
253 	448.219051 	447.649113 	0.001272
254 	448.237881 	447.659091 	0.001291
255 	448.143212 	447.616470 	0.001175
256 	448.442614 	447.743194 	0.001560
257 	448.294310 	447.791761 	0.001121
258 	448.098603 	447.656584 	0.000986
259 	448.168096 	447.543350 	0.001394
260 	448.236761 	447.688868 	0.001222
261 	448.273583 	447.656689 	0.001376
262 	448.597119 	447.948407 	0.001446
263 	448.605603 	447.999786 	0.001350
264 	448.925431 	448.336121 	0.001313
265 	448.690347 	448.215666 	0.001058
266 	448.444338 	448.078701 	0.000815
267 	448.887867 	448.121661 	0.001707
268 	448.876274 	448.395887 	0.001070
269 	449.134211 	448.426121 	0.001577
270 	448.827559 	448.492697 	0.000746
271 	448.872447 	448.240485 	0.001408
272 	448.868118 	448.568282 	0.000668
273 	449.310072 	448.703473 	0.001350
274 	449.585546 	449.325100 	0.000579
275 	449.884404 	449.334648 	0.001222
276 	449.404232 	449.187178 	0.000483
277 	449.671803 	449.161691 	0.001134
278 	449.540145 	449.357493 	0.000406
279 	449.990239 	449.525524 	0.001033
280 	449.958385 	449.801532 	0.000349
281 	449.961481 	449.530027 	0.000959
282 	450.256086 	450.122020 	0.000298
283 	450.431320 	450.038483 	0.000872
284 	450.367375 	450.256171 	0.000247
285 	450.512041 	450.148547 	0.000807
286 	450.209734 	450.118148 	0.000203
287 	450.411432 	450.074574 	0.000748
288 	450.295427 	450.220220 	0.000167
289 	450.350105 	450.038144 	0.000693
290 	450.052526 	449.990963 	0.000137
291 	450.251992 	449.963279 	0.000641
