Iter	 Iter_time	 Master	 Subprob	 Full_Test	 argmax	Iter_acc	 Master_acc	 Subprob_acc	 Full_Test_acc	 argmax_acc
1	 0.004098	 0.003922	 0.000121	 0.000000	 0.000028	0.004098	 0.003922	 0.000121	 0.000000	 0.000028
2	 0.004344	 0.004115	 0.000120	 0.000000	 0.000062	0.008442	 0.008037	 0.000241	 0.000000	 0.000090
3	 0.003428	 0.003321	 0.000051	 0.000000	 0.000021	0.011870	 0.011358	 0.000292	 0.000000	 0.000111
4	 0.003761	 0.003523	 0.000139	 0.000000	 0.000053	0.015631	 0.014881	 0.000431	 0.000000	 0.000164
5	 0.004152	 0.003963	 0.000092	 0.000000	 0.000037	0.019783	 0.018844	 0.000523	 0.000000	 0.000201
6	 0.007135	 0.006995	 0.000072	 0.000000	 0.000030	0.026918	 0.025839	 0.000595	 0.000000	 0.000231
7	 0.004641	 0.004399	 0.000133	 0.000000	 0.000054	0.031559	 0.030238	 0.000728	 0.000000	 0.000285
8	 0.004041	 0.003925	 0.000053	 0.000000	 0.000036	0.035600	 0.034163	 0.000781	 0.000000	 0.000321
9	 0.004693	 0.004498	 0.000100	 0.000000	 0.000055	0.040293	 0.038661	 0.000881	 0.000000	 0.000376
10	 0.004527	 0.004407	 0.000060	 0.000000	 0.000033	0.044820	 0.043068	 0.000941	 0.000000	 0.000409
11	 0.004539	 0.004314	 0.000112	 0.000000	 0.000050	0.049359	 0.047382	 0.001053	 0.000000	 0.000459
12	 0.005006	 0.004755	 0.000132	 0.000000	 0.000069	0.054365	 0.052137	 0.001185	 0.000000	 0.000528
13	 0.004683	 0.004331	 0.000189	 0.000000	 0.000099	0.059048	 0.056468	 0.001374	 0.000000	 0.000627
14	 0.004354	 0.004160	 0.000100	 0.000000	 0.000052	0.063402	 0.060628	 0.001474	 0.000000	 0.000679
15	 0.004667	 0.004455	 0.000119	 0.000000	 0.000054	0.068069	 0.065083	 0.001593	 0.000000	 0.000733
16	 0.004111	 0.003986	 0.000055	 0.000000	 0.000035	0.072180	 0.069069	 0.001648	 0.000000	 0.000768
17	 0.004268	 0.004032	 0.000128	 0.000000	 0.000064	0.076448	 0.073101	 0.001776	 0.000000	 0.000832
18	 0.004593	 0.004450	 0.000073	 0.000000	 0.000037	0.081041	 0.077551	 0.001849	 0.000000	 0.000869
19	 0.003994	 0.003814	 0.000102	 0.000000	 0.000045	0.085035	 0.081365	 0.001951	 0.000000	 0.000914
20	 0.004462	 0.004358	 0.000047	 0.000000	 0.000031	0.089497	 0.085723	 0.001998	 0.000000	 0.000945
21	 0.004223	 0.004031	 0.000097	 0.000000	 0.000067	0.093720	 0.089754	 0.002095	 0.000000	 0.001012
22	 0.003952	 0.003823	 0.000064	 0.000000	 0.000034	0.097672	 0.093577	 0.002159	 0.000000	 0.001046
23	 0.004001	 0.003762	 0.000134	 0.000000	 0.000062	0.101673	 0.097339	 0.002293	 0.000000	 0.001108
24	 0.003570	 0.003445	 0.000064	 0.000000	 0.000033	0.105243	 0.100784	 0.002357	 0.000000	 0.001141
25	 0.003973	 0.003774	 0.000103	 0.000000	 0.000064	0.109216	 0.104558	 0.002460	 0.000000	 0.001205
26	 0.003913	 0.003802	 0.000048	 0.000000	 0.000034	0.113129	 0.108360	 0.002508	 0.000000	 0.001239
27	 0.003953	 0.003756	 0.000090	 0.000000	 0.000072	0.117082	 0.112116	 0.002598	 0.000000	 0.001311
28	 0.003858	 0.003727	 0.000059	 0.000000	 0.000041	0.120940	 0.115843	 0.002657	 0.000000	 0.001352
29	 0.003907	 0.003696	 0.000110	 0.000000	 0.000065	0.124847	 0.119539	 0.002767	 0.000000	 0.001417
30	 0.003542	 0.003420	 0.000060	 0.000000	 0.000037	0.128389	 0.122959	 0.002827	 0.000000	 0.001454
31	 0.004211	 0.003999	 0.000100	 0.000000	 0.000078	0.132600	 0.126958	 0.002927	 0.000000	 0.001532
32	 0.004089	 0.003973	 0.000050	 0.000000	 0.000038	0.136689	 0.130931	 0.002977	 0.000000	 0.001570
33	 0.004041	 0.003826	 0.000095	 0.000000	 0.000074	0.140730	 0.134757	 0.003072	 0.000000	 0.001644
34	 0.004172	 0.004039	 0.000047	 0.000000	 0.000057	0.144902	 0.138796	 0.003119	 0.000000	 0.001701
35	 0.003733	 0.003529	 0.000098	 0.000000	 0.000073	0.148635	 0.142325	 0.003217	 0.000000	 0.001774
36	 0.003816	 0.003679	 0.000063	 0.000000	 0.000045	0.152451	 0.146004	 0.003280	 0.000000	 0.001819
37	 0.003570	 0.003359	 0.000091	 0.000000	 0.000075	0.156021	 0.149363	 0.003371	 0.000000	 0.001894
38	 0.003826	 0.003682	 0.000072	 0.000000	 0.000040	0.159847	 0.153045	 0.003443	 0.000000	 0.001934
39	 0.003827	 0.003615	 0.000099	 0.000000	 0.000075	0.163674	 0.156660	 0.003542	 0.000000	 0.002009
40	 0.003712	 0.003588	 0.000057	 0.000000	 0.000035	0.167386	 0.160248	 0.003599	 0.000000	 0.002044
