Iter 	incumb_est 	candid_est 	error
1 	-50.836868 	-8.262016 	0.837480
2 	-9.054700 	-9.054700 	0.000000
3 	-8.800259 	-8.800259 	0.000000
4 	-9.086527 	-9.086527 	0.000000
5 	-9.238698 	-9.238698 	0.000000
6 	-9.483526 	-9.483526 	0.000000
7 	-9.485966 	-9.485966 	0.000000
8 	-9.543386 	-9.543386 	-0.000000
9 	-9.404274 	-9.404274 	0.000000
10 	-9.534613 	-9.534613 	0.000000
11 	-9.667955 	-9.667955 	0.000000
12 	-9.763623 	-9.763623 	0.000000
13 	-9.786110 	-9.786110 	0.000000
14 	-9.859671 	-9.859671 	0.000000
15 	-9.923424 	-9.923424 	-0.000000
16 	-9.821422 	-9.821422 	0.000000
17 	-9.802550 	-9.802550 	0.000000
18 	-9.796320 	-9.796320 	0.000000
19 	-9.823942 	-9.823942 	0.000000
20 	-9.817265 	-9.817265 	0.000000
21 	-9.810971 	-9.810971 	0.000000
22 	-9.851730 	-9.851730 	0.000000
23 	-9.860609 	-9.860609 	0.000000
24 	-9.793792 	-9.793792 	0.000000
25 	-9.842095 	-9.842095 	0.000000
26 	-9.828961 	-9.828961 	0.000000
27 	-9.772014 	-9.772014 	0.000000
28 	-9.768909 	-9.768909 	0.000000
29 	-9.787952 	-9.787952 	0.000000
30 	-9.738066 	-9.738066 	0.000000
31 	-9.741592 	-9.741592 	0.000000
32 	-9.759703 	-9.759703 	0.000000
33 	-9.762360 	-9.762360 	0.000000
34 	-9.770995 	-9.770995 	0.000000
35 	-9.806149 	-9.806149 	0.000000
36 	-9.807294 	-9.807294 	0.000000
37 	-9.821182 	-9.821182 	0.000000
38 	-9.821872 	-9.821872 	0.000000
39 	-9.818365 	-9.818365 	0.000000
40 	-9.819090 	-9.819090 	0.000000
41 	-9.843404 	-9.843404 	0.000000
42 	-9.839761 	-9.839761 	0.000000
43 	-9.803752 	-9.803752 	0.000000
44 	-9.804744 	-9.804744 	0.000000
45 	-9.816219 	-9.816219 	0.000000
46 	-9.782432 	-9.782432 	0.000000
