Iter	 Iter_time	 Master	 Subprob	 Full_Test	 argmax	Iter_acc	 Master_acc	 Subprob_acc	 Full_Test_acc	 argmax_acc
1	 0.009877	 0.007905	 0.001811	 0.000000	 0.000073	0.009877	 0.007905	 0.001811	 0.000000	 0.000073
2	 0.013780	 0.013218	 0.000357	 0.000000	 0.000094	0.023657	 0.021123	 0.002168	 0.000000	 0.000167
3	 0.013197	 0.012856	 0.000211	 0.000000	 0.000067	0.036854	 0.033979	 0.002379	 0.000000	 0.000234
4	 0.013012	 0.012591	 0.000236	 0.000000	 0.000101	0.049866	 0.046570	 0.002615	 0.000000	 0.000335
5	 0.012465	 0.012227	 0.000124	 0.000000	 0.000049	0.062331	 0.058797	 0.002739	 0.000000	 0.000384
6	 0.012607	 0.012263	 0.000160	 0.000000	 0.000088	0.074938	 0.071060	 0.002899	 0.000000	 0.000472
7	 0.013249	 0.012977	 0.000133	 0.000000	 0.000057	0.088187	 0.084037	 0.003032	 0.000000	 0.000529
8	 0.015402	 0.014968	 0.000196	 0.000000	 0.000103	0.103589	 0.099005	 0.003228	 0.000000	 0.000632
9	 0.013927	 0.013358	 0.000301	 0.000000	 0.000082	0.117516	 0.112363	 0.003529	 0.000000	 0.000714
10	 0.013629	 0.013007	 0.000426	 0.000000	 0.000082	0.131145	 0.125370	 0.003955	 0.000000	 0.000796
11	 0.014810	 0.014303	 0.000224	 0.000000	 0.000149	0.145955	 0.139673	 0.004179	 0.000000	 0.000945
12	 0.013361	 0.013044	 0.000092	 0.000000	 0.000099	0.159316	 0.152717	 0.004271	 0.000000	 0.001044
13	 0.013989	 0.013487	 0.000250	 0.000000	 0.000121	0.173305	 0.166204	 0.004521	 0.000000	 0.001165
14	 0.014429	 0.014056	 0.000185	 0.000000	 0.000069	0.187734	 0.180260	 0.004706	 0.000000	 0.001234
15	 0.016211	 0.015774	 0.000167	 0.000000	 0.000121	0.203945	 0.196034	 0.004873	 0.000000	 0.001355
16	 0.013958	 0.013447	 0.000270	 0.000000	 0.000063	0.217903	 0.209481	 0.005143	 0.000000	 0.001418
17	 0.014973	 0.014629	 0.000172	 0.000000	 0.000055	0.232876	 0.224110	 0.005315	 0.000000	 0.001473
18	 0.015088	 0.014643	 0.000184	 0.000000	 0.000107	0.247964	 0.238753	 0.005499	 0.000000	 0.001580
