Iter 	incumb_est 	candid_est 	error
1 	-51.041777 	-8.321501 	0.836967
2 	-9.108857 	-9.108857 	0.000000
3 	-8.846405 	-8.846405 	0.000000
4 	-8.947275 	-8.947275 	0.000000
5 	-9.137062 	-9.137062 	0.000000
6 	-9.424611 	-9.424611 	0.000000
7 	-9.399650 	-9.399650 	0.000000
8 	-9.380930 	-9.380930 	0.000000
9 	-9.282539 	-9.282539 	0.000000
10 	-9.440521 	-9.440521 	0.000000
11 	-9.569778 	-9.569778 	-0.000000
12 	-9.659504 	-9.659504 	0.000000
13 	-9.627995 	-9.627995 	0.000000
14 	-9.700744 	-9.700744 	0.000000
15 	-9.763793 	-9.763793 	0.000000
16 	-9.684519 	-9.684519 	0.000000
17 	-9.658953 	-9.658953 	0.000000
18 	-9.636227 	-9.636227 	0.000000
19 	-9.689398 	-9.689398 	0.000000
20 	-9.667422 	-9.667422 	0.000000
21 	-9.647540 	-9.647540 	0.000000
22 	-9.702758 	-9.702758 	0.000000
23 	-9.683068 	-9.683068 	0.000000
24 	-9.626336 	-9.626336 	0.000000
25 	-9.675777 	-9.675777 	0.000000
26 	-9.659397 	-9.659397 	0.000000
27 	-9.616286 	-9.616286 	0.000000
28 	-9.603200 	-9.603200 	0.000000
29 	-9.639176 	-9.639176 	0.000000
30 	-9.595253 	-9.595253 	0.000000
31 	-9.604962 	-9.604962 	0.000000
32 	-9.637509 	-9.637509 	0.000000
33 	-9.645349 	-9.645349 	0.000000
34 	-9.633717 	-9.633717 	0.000000
35 	-9.668821 	-9.668821 	0.000000
36 	-9.675138 	-9.675138 	0.000000
37 	-9.701390 	-9.701390 	0.000000
38 	-9.706517 	-9.706517 	0.000000
39 	-9.694809 	-9.694809 	0.000000
40 	-9.699844 	-9.699844 	0.000000
41 	-9.722932 	-9.722932 	0.000000
42 	-9.711669 	-9.711669 	0.000000
43 	-9.679340 	-9.679340 	0.000000
44 	-9.684269 	-9.684269 	0.000000
45 	-9.705651 	-9.705651 	0.000000
46 	-9.675561 	-9.675561 	0.000000
47 	-9.646751 	-9.646751 	0.000000
48 	-9.638483 	-9.638483 	0.000000
49 	-9.659055 	-9.659055 	0.000000
50 	-9.632304 	-9.632304 	0.000000
51 	-9.624805 	-9.624805 	0.000000
52 	-9.630025 	-9.630025 	0.000000
53 	-9.605335 	-9.605335 	0.000000
54 	-9.598753 	-9.598753 	0.000000
55 	-9.575530 	-9.575530 	0.000000
56 	-9.569715 	-9.569715 	0.000000
57 	-9.575443 	-9.575443 	0.000000
58 	-9.569830 	-9.569830 	0.000000
59 	-9.548672 	-9.548672 	0.000000
60 	-9.570567 	-9.570567 	0.000000
61 	-9.565310 	-9.565310 	0.000000
62 	-9.570647 	-9.570647 	0.000000
63 	-9.565555 	-9.565555 	0.000000
64 	-9.560623 	-9.560623 	0.000000
65 	-9.544235 	-9.544235 	0.000000
66 	-9.539775 	-9.539775 	-0.000000
67 	-9.545095 	-9.545095 	0.000000
68 	-9.550259 	-9.550259 	0.000000
69 	-9.555273 	-9.555273 	0.000000
70 	-9.560143 	-9.560143 	0.000000
71 	-9.555773 	-9.555773 	0.000000
72 	-9.551525 	-9.551525 	0.000000
73 	-9.534675 	-9.534675 	0.000000
74 	-9.520631 	-9.520631 	0.000000
75 	-9.517021 	-9.517021 	0.000000
76 	-9.534723 	-9.534723 	0.000000
77 	-9.518967 	-9.518967 	0.000000
78 	-9.503615 	-9.503615 	0.000000
79 	-9.518081 	-9.518081 	0.000000
80 	-9.532186 	-9.532186 	0.000000
81 	-9.528701 	-9.528701 	0.000000
82 	-9.525301 	-9.525301 	0.000000
83 	-9.529770 	-9.529770 	0.000000
84 	-9.517456 	-9.517456 	0.000000
85 	-9.530739 	-9.530739 	0.000000
86 	-9.534988 	-9.534988 	0.000000
87 	-9.531711 	-9.531711 	0.000000
88 	-9.528509 	-9.528509 	0.000000
89 	-9.525378 	-9.525378 	0.000000
90 	-9.529499 	-9.529499 	0.000000
91 	-9.526426 	-9.526426 	0.000000
92 	-9.538600 	-9.538600 	0.000000
93 	-9.542446 	-9.542446 	0.000000
94 	-9.539333 	-9.539333 	0.000000
95 	-9.536287 	-9.536287 	0.000000
96 	-9.547851 	-9.547851 	0.000000
97 	-9.551442 	-9.551442 	0.000000
98 	-9.554961 	-9.554961 	0.000000
99 	-9.544258 	-9.544258 	0.000000
100 	-9.555280 	-9.555280 	0.000000
101 	-9.558656 	-9.558656 	0.000000
102 	-9.555629 	-9.555629 	0.000000
103 	-9.543647 	-9.543647 	0.000000
104 	-9.540822 	-9.540822 	0.000000
105 	-9.538051 	-9.538051 	0.000000
106 	-9.535333 	-9.535333 	0.000000
107 	-9.545717 	-9.545717 	0.000000
108 	-9.548963 	-9.548963 	0.000000
109 	-9.546219 	-9.546219 	0.000000
110 	-9.543525 	-9.543525 	0.000000
111 	-9.546702 	-9.546702 	0.000000
