Iter	 Iter_time	 Master	 Subprob	 Full_Test	 argmax	Iter_acc	 Master_acc	 Subprob_acc	 Full_Test_acc	 argmax_acc
1	 0.008713	 0.006777	 0.001757	 0.000000	 0.000076	0.008713	 0.006777	 0.001757	 0.000000	 0.000076
2	 0.013683	 0.013051	 0.000408	 0.000000	 0.000105	0.022396	 0.019828	 0.002165	 0.000000	 0.000181
3	 0.012671	 0.012316	 0.000229	 0.000000	 0.000059	0.035067	 0.032144	 0.002394	 0.000000	 0.000240
4	 0.012834	 0.012417	 0.000235	 0.000000	 0.000099	0.047901	 0.044561	 0.002629	 0.000000	 0.000339
5	 0.012827	 0.012597	 0.000120	 0.000000	 0.000045	0.060728	 0.057158	 0.002749	 0.000000	 0.000384
6	 0.012886	 0.012454	 0.000236	 0.000000	 0.000106	0.073614	 0.069612	 0.002985	 0.000000	 0.000490
7	 0.013001	 0.012702	 0.000172	 0.000000	 0.000047	0.086615	 0.082314	 0.003157	 0.000000	 0.000537
8	 0.013239	 0.012890	 0.000145	 0.000000	 0.000094	0.099854	 0.095204	 0.003302	 0.000000	 0.000631
9	 0.013248	 0.012884	 0.000201	 0.000000	 0.000074	0.113102	 0.108088	 0.003503	 0.000000	 0.000705
10	 0.015906	 0.015356	 0.000350	 0.000000	 0.000087	0.129008	 0.123444	 0.003853	 0.000000	 0.000792
11	 0.013106	 0.012865	 0.000085	 0.000000	 0.000059	0.142114	 0.136309	 0.003938	 0.000000	 0.000851
12	 0.013549	 0.013047	 0.000234	 0.000000	 0.000099	0.155663	 0.149356	 0.004172	 0.000000	 0.000950
13	 0.014932	 0.014591	 0.000172	 0.000000	 0.000062	0.170595	 0.163947	 0.004344	 0.000000	 0.001012
14	 0.013314	 0.012894	 0.000199	 0.000000	 0.000093	0.183909	 0.176841	 0.004543	 0.000000	 0.001105
15	 0.014182	 0.013959	 0.000070	 0.000000	 0.000049	0.198091	 0.190800	 0.004613	 0.000000	 0.001154
16	 0.014101	 0.013617	 0.000266	 0.000000	 0.000088	0.212192	 0.204417	 0.004879	 0.000000	 0.001242
17	 0.014817	 0.014473	 0.000171	 0.000000	 0.000051	0.227009	 0.218890	 0.005050	 0.000000	 0.001293
18	 0.014582	 0.014188	 0.000147	 0.000000	 0.000099	0.241591	 0.233078	 0.005197	 0.000000	 0.001392
