Iter 	incumb_est 	candid_est 	error
1 	0.000000 	-1058.491403 	inf
2 	454.168212 	108.548748 	0.760994
3 	174.823758 	117.438207 	0.328248
4 	195.197290 	174.782095 	0.104587
5 	176.014007 	156.331962 	0.111821
6 	172.157688 	151.301360 	0.121147
7 	160.287468 	139.105277 	0.132151
8 	151.107830 	138.928172 	0.080602
9 	161.321532 	139.702188 	0.134014
10 	166.092691 	154.561886 	0.069424
11 	168.778401 	158.684437 	0.059806
12 	158.434575 	153.885470 	0.028713
13 	174.547875 	165.077112 	0.054259
14 	171.732123 	163.013588 	0.050768
15 	169.455346 	168.136202 	0.007785
16 	168.289466 	160.176477 	0.048209
17 	167.376057 	165.595138 	0.010640
18 	158.077387 	157.379603 	0.004414
19 	164.449096 	154.790862 	0.058731
20 	164.165008 	159.309721 	0.029576
21 	166.327243 	160.860196 	0.032869
22 	161.091740 	159.964673 	0.006996
23 	162.037737 	155.963231 	0.037488
24 	165.118408 	156.454660 	0.052470
25 	158.513672 	155.254295 	0.020562
26 	159.995611 	158.408905 	0.009917
27 	154.069848 	153.661442 	0.002651
28 	158.643633 	154.095738 	0.028667
29 	153.173163 	150.709052 	0.016087
30 	154.345668 	150.730047 	0.023425
31 	157.843083 	153.503606 	0.027492
32 	162.621574 	156.879886 	0.035307
33 	173.346961 	164.840447 	0.049072
34 	177.051246 	174.273297 	0.015690
35 	175.861821 	173.404570 	0.013973
36 	175.468896 	175.079681 	0.002218
37 	170.726493 	170.642364 	0.000493
38 	175.235913 	173.216566 	0.011524
39 	175.980122 	172.067803 	0.022232
40 	176.100525 	174.271040 	0.010389
41 	171.805390 	171.305751 	0.002908
42 	169.787373 	169.158524 	0.003704
43 	169.170919 	167.996041 	0.006945
44 	172.922663 	172.458282 	0.002685
45 	170.747269 	169.467623 	0.007494
46 	180.452068 	174.240843 	0.034420
47 	176.612662 	174.913041 	0.009623
48 	176.712625 	176.089132 	0.003528
49 	173.917160 	173.395405 	0.003000
50 	175.044312 	174.468577 	0.003289
51 	173.973239 	171.715897 	0.012975
52 	176.018791 	175.721213 	0.001691
53 	173.070297 	172.767539 	0.001749
54 	170.608920 	170.197420 	0.002412
55 	170.945629 	168.568936 	0.013903
56 	167.893029 	166.950809 	0.005612
57 	169.260478 	168.972518 	0.001701
58 	166.342193 	166.280607 	0.000370
59 	168.755550 	167.035842 	0.010191
60 	165.942957 	165.231570 	0.004287
61 	168.068074 	168.032023 	0.000215
62 	169.079071 	167.090697 	0.011760
63 	169.101603 	168.392928 	0.004191
64 	167.567423 	166.980254 	0.003504
65 	166.798800 	166.495026 	0.001821
66 	164.271545 	164.201433 	0.000427
67 	163.117133 	162.930880 	0.001142
68 	162.819803 	160.927227 	0.011624
69 	161.992879 	161.574707 	0.002581
70 	159.737562 	159.671203 	0.000415
71 	159.157553 	158.407781 	0.004711
72 	158.921735 	157.971090 	0.005982
73 	158.745901 	157.503917 	0.007824
74 	156.600686 	156.368447 	0.001483
75 	155.437579 	154.517646 	0.005918
76 	156.426093 	156.390679 	0.000226
77 	156.464302 	154.439546 	0.012941
78 	155.393337 	155.166312 	0.001461
79 	154.299091 	153.720690 	0.003749
80 	153.276470 	152.470327 	0.005259
81 	155.668086 	155.641884 	0.000168
82 	154.734457 	154.703707 	0.000199
83 	153.387385 	153.232457 	0.001010
84 	152.970920 	152.491734 	0.003133
85 	152.447451 	152.274411 	0.001135
86 	151.814613 	151.793298 	0.000140
87 	152.013504 	150.311810 	0.011194
88 	150.497686 	150.371181 	0.000841
89 	150.710047 	150.383473 	0.002167
90 	154.667529 	154.593284 	0.000480
91 	155.462020 	154.543928 	0.005906
92 	157.059783 	156.261722 	0.005081
93 	157.228090 	155.900166 	0.008446
94 	158.176604 	157.951765 	0.001421
95 	157.379746 	156.896268 	0.003072
96 	157.524517 	156.819350 	0.004477
97 	156.907531 	156.545258 	0.002309
98 	160.164486 	158.330269 	0.011452
99 	158.712163 	158.616672 	0.000602
