Iter	 Iter_time	 Master	 Subprob	 Full_Test	 argmax	Iter_acc	 Master_acc	 Subprob_acc	 Full_Test_acc	 argmax_acc
1	 0.000733	 0.000494	 0.000171	 0.000000	 0.000034	0.000733	 0.000494	 0.000171	 0.000000	 0.000034
2	 0.004560	 0.004299	 0.000150	 0.000000	 0.000056	0.005293	 0.004793	 0.000321	 0.000000	 0.000090
3	 0.004481	 0.004274	 0.000122	 0.000000	 0.000036	0.009774	 0.009067	 0.000443	 0.000000	 0.000126
4	 0.005204	 0.004981	 0.000127	 0.000000	 0.000046	0.014978	 0.014048	 0.000570	 0.000000	 0.000172
5	 0.005106	 0.004795	 0.000173	 0.000000	 0.000069	0.020084	 0.018843	 0.000743	 0.000000	 0.000241
6	 0.004502	 0.004292	 0.000124	 0.000000	 0.000044	0.024586	 0.023135	 0.000867	 0.000000	 0.000285
7	 0.004834	 0.004537	 0.000198	 0.000000	 0.000057	0.029420	 0.027672	 0.001065	 0.000000	 0.000342
8	 0.004445	 0.004281	 0.000068	 0.000000	 0.000045	0.033865	 0.031953	 0.001133	 0.000000	 0.000387
9	 0.004582	 0.004414	 0.000078	 0.000000	 0.000052	0.038447	 0.036367	 0.001211	 0.000000	 0.000439
10	 0.004488	 0.004243	 0.000129	 0.000000	 0.000073	0.042935	 0.040610	 0.001340	 0.000000	 0.000512
11	 0.004069	 0.003927	 0.000064	 0.000000	 0.000047	0.047004	 0.044537	 0.001404	 0.000000	 0.000559
12	 0.004699	 0.004427	 0.000158	 0.000000	 0.000073	0.051703	 0.048964	 0.001562	 0.000000	 0.000632
13	 0.004908	 0.004678	 0.000102	 0.000000	 0.000062	0.056611	 0.053642	 0.001664	 0.000000	 0.000694
14	 0.004942	 0.004688	 0.000145	 0.000000	 0.000056	0.061553	 0.058330	 0.001809	 0.000000	 0.000750
15	 0.004506	 0.004220	 0.000140	 0.000000	 0.000102	0.066059	 0.062550	 0.001949	 0.000000	 0.000852
16	 0.005233	 0.005074	 0.000071	 0.000000	 0.000044	0.071292	 0.067624	 0.002020	 0.000000	 0.000896
17	 0.004803	 0.004472	 0.000165	 0.000000	 0.000110	0.076095	 0.072096	 0.002185	 0.000000	 0.001006
18	 0.004461	 0.004230	 0.000126	 0.000000	 0.000066	0.080556	 0.076326	 0.002311	 0.000000	 0.001072
19	 0.005402	 0.005118	 0.000132	 0.000000	 0.000093	0.085958	 0.081444	 0.002443	 0.000000	 0.001165
20	 0.004127	 0.003882	 0.000079	 0.000000	 0.000101	0.090085	 0.085326	 0.002522	 0.000000	 0.001266
