Iter	 Iter_time	 Master	 Subprob	 Full_Test	 argmax	Iter_acc	 Master_acc	 Subprob_acc	 Full_Test_acc	 argmax_acc
1	 0.000616	 0.000291	 0.000112	 0.000000	 0.000083	0.000616	 0.000291	 0.000112	 0.000000	 0.000083
2	 0.007047	 0.006827	 0.000066	 0.000000	 0.000080	0.007663	 0.007118	 0.000178	 0.000000	 0.000163
3	 0.006197	 0.006085	 0.000055	 0.000000	 0.000029	0.013860	 0.013203	 0.000233	 0.000000	 0.000192
4	 0.005704	 0.005443	 0.000099	 0.000000	 0.000083	0.019564	 0.018646	 0.000332	 0.000000	 0.000275
5	 0.005136	 0.005016	 0.000073	 0.000000	 0.000024	0.024700	 0.023662	 0.000405	 0.000000	 0.000299
6	 0.005253	 0.005142	 0.000048	 0.000000	 0.000031	0.029953	 0.028804	 0.000453	 0.000000	 0.000330
7	 0.006420	 0.006312	 0.000051	 0.000000	 0.000031	0.036373	 0.035116	 0.000504	 0.000000	 0.000361
8	 0.007643	 0.007497	 0.000069	 0.000000	 0.000038	0.044016	 0.042613	 0.000573	 0.000000	 0.000399
9	 0.006084	 0.005980	 0.000050	 0.000000	 0.000029	0.050100	 0.048593	 0.000623	 0.000000	 0.000428
10	 0.005604	 0.005477	 0.000063	 0.000000	 0.000038	0.055704	 0.054070	 0.000686	 0.000000	 0.000466
11	 0.005610	 0.005537	 0.000028	 0.000000	 0.000025	0.061314	 0.059607	 0.000714	 0.000000	 0.000491
12	 0.005479	 0.005378	 0.000043	 0.000000	 0.000035	0.066793	 0.064985	 0.000757	 0.000000	 0.000526
13	 0.005129	 0.005047	 0.000040	 0.000000	 0.000024	0.071922	 0.070032	 0.000797	 0.000000	 0.000550
14	 0.004931	 0.004838	 0.000040	 0.000000	 0.000034	0.076853	 0.074870	 0.000837	 0.000000	 0.000584
15	 0.004870	 0.004805	 0.000023	 0.000000	 0.000023	0.081723	 0.079675	 0.000860	 0.000000	 0.000607
16	 0.005099	 0.004988	 0.000053	 0.000000	 0.000038	0.086822	 0.084663	 0.000913	 0.000000	 0.000645
17	 0.004823	 0.004747	 0.000032	 0.000000	 0.000025	0.091645	 0.089410	 0.000945	 0.000000	 0.000670
