Iter 	incumb_est 	candid_est 	error
1 	-0.000000 	-2.350000 	-10870097072.880251
2 	0.325000 	0.075000 	0.769231
3 	0.233333 	0.233333 	0.000000
4 	0.387319 	-0.237500 	1.613190
5 	0.309638 	0.068514 	0.778727
6 	0.533152 	0.475000 	0.109073
7 	0.543064 	0.542857 	0.000381
8 	0.562319 	0.492500 	0.124162
9 	0.499718 	0.467094 	0.065285
10 	0.486154 	0.429091 	0.117376
11 	0.412397 	0.359091 	0.129259
12 	0.349621 	0.300306 	0.141054
13 	0.424126 	0.415385 	0.020610
14 	0.454545 	0.387500 	0.147500
15 	0.486061 	0.470208 	0.032614
16 	0.440625 	0.434375 	0.014184
17 	0.436898 	0.431618 	0.012087
18 	0.413131 	0.396032 	0.041390
19 	0.427512 	0.427193 	0.000746
20 	0.406667 	0.397500 	0.022541
21 	0.370635 	0.362815 	0.021099
22 	0.421212 	0.420817 	0.000938
23 	0.486232 	0.460870 	0.052161
24 	0.479167 	0.462500 	0.034783
25 	0.446000 	0.442890 	0.006972
26 	0.512821 	0.512821 	-0.000000
27 	0.551852 	0.551852 	-0.000000
28 	0.536310 	0.524643 	0.021754
29 	0.514943 	0.513103 	0.003571
30 	0.517333 	0.495945 	0.041342
31 	0.571505 	0.570753 	0.001317
32 	0.594792 	0.548477 	0.077867
33 	0.616667 	0.606061 	0.017199
34 	0.616667 	0.588235 	0.046105
35 	0.633810 	0.624857 	0.014125
36 	0.606481 	0.605139 	0.002214
37 	0.619932 	0.618919 	0.001635
38 	0.598289 	0.597895 	0.000660
39 	0.593462 	0.553037 	0.068117
40 	0.571687 	0.534176 	0.065616
41 	0.589756 	0.582176 	0.012852
42 	0.569107 	0.567100 	0.003528
43 	0.603837 	0.603488 	0.000578
44 	0.626136 	0.621060 	0.008108
45 	0.605556 	0.600857 	0.007758
46 	0.642391 	0.640217 	0.003384
47 	0.622340 	0.621789 	0.000886
48 	0.613542 	0.613542 	0.000000
49 	0.610204 	0.603247 	0.011402
50 	0.592000 	0.590846 	0.001949
51 	0.592157 	0.592157 	0.000000
52 	0.589423 	0.583560 	0.009946
53 	0.580283 	0.574558 	0.009866
