Iter 	incumb_est 	candid_est 	error
1 	301115.000000 	196550.000431 	0.347259
2 	577457.500000 	394740.579976 	0.316416
3 	519186.666665 	364327.409341 	0.298273
4 	593132.500000 	413007.315860 	0.303685
5 	555129.999998 	435154.132518 	0.216122
6 	604640.833333 	490350.210524 	0.189022
7 	565016.428571 	489117.100954 	0.134331
8 	591604.374999 	497921.082420 	0.158355
9 	565020.000000 	564740.748941 	0.000494
10 	591297.499999 	539143.064371 	0.088203
11 	564917.272727 	517824.848864 	0.083362
12 	591090.833332 	499871.864877 	0.154323
13 	568784.999999 	484986.035211 	0.147330
14 	560078.471059 	558871.279603 	0.002155
15 	542871.016548 	541839.310595 	0.001900
16 	566331.535013 	564882.106167 	0.002559
17 	550780.659623 	549605.007908 	0.002135
18 	569090.862532 	567591.870935 	0.002634
19 	555031.693630 	553652.013260 	0.002486
20 	568825.370478 	567391.141484 	0.002521
21 	556117.812521 	554856.038627 	0.002269
22 	569176.331525 	567939.844616 	0.002172
23 	557558.519432 	556439.943655 	0.002006
24 	567382.719122 	566107.367606 	0.002248
25 	556766.076492 	555675.101104 	0.001959
26 	566340.659342 	565058.869595 	0.002263
27 	556549.029492 	555359.958649 	0.002137
28 	565004.039581 	563775.607766 	0.002174
29 	555933.784885 	554847.296945 	0.001954
30 	566341.469122 	565133.666029 	0.002133
31 	557813.249259 	556763.510661 	0.001882
32 	562046.094969 	560984.861499 	0.001888
33 	554164.899770 	553213.551044 	0.001717
34 	560460.470717 	559395.368824 	0.001900
35 	553074.933080 	552200.457273 	0.001581
36 	561141.746899 	560120.373986 	0.001820
37 	554137.014642 	553162.781898 	0.001758
38 	558119.311941 	557068.945129 	0.001882
39 	551551.295055 	550649.431607 	0.001635
40 	559472.643443 	558430.432008 	0.001863
41 	553192.009540 	552222.532555 	0.001753
42 	560097.897693 	559043.691334 	0.001882
43 	554094.845500 	553192.572810 	0.001628
44 	558394.719738 	557431.301324 	0.001725
45 	552696.318264 	551852.381565 	0.001527
46 	557921.709432 	557054.244621 	0.001555
47 	552475.857175 	551661.771568 	0.001474
48 	554882.908317 	554035.286188 	0.001528
49 	549721.352094 	549121.686078 	0.001091
50 	555341.711292 	554496.678279 	0.001522
51 	550373.572902 	549637.447104 	0.001338
52 	556971.297088 	556126.417066 	0.001517
53 	552159.888716 	551471.130985 	0.001247
54 	556851.174332 	556092.865145 	0.001362
55 	552216.910315 	551592.585900 	0.001131
56 	555631.596059 	554957.901758 	0.001212
57 	551181.333907 	550646.505000 	0.000970
58 	556650.005943 	555838.160103 	0.001458
59 	552333.338951 	551716.385754 	0.001117
60 	558639.271835 	558030.531522 	0.001090
61 	554986.725630 	553918.070591 	0.001926
62 	561109.325711 	560469.877785 	0.001140
63 	556995.949959 	556461.986734 	0.000959
64 	559046.030210 	558656.824896 	0.000696
65 	555085.568650 	554822.926483 	0.000473
66 	556980.395727 	540667.141950 	0.029289
67 	553168.987266 	538812.374651 	0.025953
68 	558526.487476 	550640.583683 	0.014119
69 	554803.147495 	549930.641728 	0.008782
70 	559090.659697 	547860.375877 	0.020087
71 	557709.334935 	545623.817172 	0.021670
72 	558585.225269 	544163.563433 	0.025818
73 	558618.244926 	558332.829021 	0.000511
74 	559455.930092 	555051.235392 	0.007873
75 	557362.562402 	551906.841790 	0.009788
76 	560773.571503 	549266.174511 	0.020521
77 	557407.889130 	546266.758054 	0.019987
78 	560906.253311 	546800.198173 	0.025149
79 	560895.458227 	560661.754872 	0.000417
80 	560872.206315 	557575.740980 	0.005877
81 	560408.811191 	554515.201913 	0.010517
82 	561908.510112 	552099.093050 	0.017457
83 	562044.991569 	561847.144450 	0.000352
84 	562599.112341 	558910.240342 	0.006557
85 	562157.900097 	557233.434642 	0.008760
86 	562842.069096 	555361.874485 	0.013290
87 	559839.470931 	553630.923072 	0.011090
88 	562769.267610 	562611.024509 	0.000281
89 	561698.239404 	559728.416572 	0.003507
90 	562577.352907 	557477.863591 	0.009065
91 	559709.646048 	555639.758087 	0.007271
92 	562782.139043 	562620.923207 	0.000286
93 	561231.398417 	559844.558664 	0.002471
94 	562445.578717 	558208.229867 	0.007534
95 	559700.004508 	556603.575299 	0.005532
96 	562644.837810 	562504.379787 	0.000250
97 	562222.382347 	560044.232505 	0.003874
98 	562327.048508 	557563.092268 	0.008472
99 	560432.239417 	555509.196813 	0.008784
100 	561147.033613 	561022.453599 	0.000222
101 	560262.389134 	558619.820728 	0.002932
102 	560258.882046 	556269.560416 	0.007120
103 	560232.750100 	560147.217218 	0.000153
104 	560248.098969 	557774.165470 	0.004416
105 	559881.086615 	557526.303325 	0.004206
106 	560234.951889 	555806.544022 	0.007905
107 	559433.990448 	554541.052196 	0.008746
108 	560105.323431 	560001.164554 	0.000186
109 	559867.469315 	558190.870208 	0.002995
110 	560207.908736 	556272.187687 	0.007025
111 	559506.568403 	554912.433646 	0.008211
112 	560310.034483 	559333.331584 	0.001743
113 	558970.202333 	557419.181819 	0.002775
114 	559640.089352 	555962.911234 	0.006571
115 	559682.641680 	558851.477472 	0.001485
116 	559316.456319 	556913.331048 	0.004297
117 	558627.136567 	555140.350263 	0.006242
118 	559637.904067 	558528.492654 	0.001982
119 	559136.350646 	556867.109496 	0.004058
120 	559846.136891 	559216.949147 	0.001124
121 	559095.819398 	557333.666819 	0.003152
122 	559738.639626 	558876.062225 	0.001541
123 	558359.776201 	557090.876785 	0.002273
124 	559431.323103 	558930.686976 	0.000895
125 	557973.496261 	557018.983681 	0.001711
126 	558839.636899 	558180.336518 	0.001180
127 	557929.620438 	556408.065862 	0.002727
128 	558851.771193 	558444.108987 	0.000729
129 	559083.634448 	558549.100137 	0.000956
130 	559151.379386 	556692.582788 	0.004397
131 	559380.358180 	559098.651211 	0.000504
132 	559536.605513 	557286.988344 	0.004021
133 	559661.364523 	559252.756725 	0.000730
134 	559351.377128 	557477.092561 	0.003351
135 	559204.671073 	558992.880088 	0.000379
136 	559262.277351 	557221.758488 	0.003649
137 	559386.800704 	559074.050184 	0.000559
138 	559267.734255 	557352.214723 	0.003425
139 	558713.029637 	558699.682746 	0.000024
140 	558827.454651 	556917.545962 	0.003418
141 	558507.134965 	558270.287534 	0.000424
142 	558132.896187 	556572.950639 	0.002795
143 	558214.677703 	558203.811095 	0.000019
144 	558240.617126 	556472.631607 	0.003167
145 	558278.525828 	558096.619332 	0.000326
146 	558602.193083 	556470.466188 	0.003816
147 	558336.030948 	558327.179071 	0.000016
148 	558276.116355 	556638.693012 	0.002933
149 	558144.136280 	558004.038124 	0.000251
150 	558043.118853 	556389.385734 	0.002963
151 	558201.782696 	558194.571503 	0.000013
152 	558392.897601 	556558.033633 	0.003286
153 	558346.170574 	558238.298505 	0.000193
154 	558085.750779 	556650.106620 	0.002572
155 	558320.528898 	558314.657529 	0.000011
156 	558825.693765 	556728.268448 	0.003753
157 	558815.077476 	558809.780084 	0.000009
158 	558676.809081 	557224.080134 	0.002600
159 	558866.223253 	558793.123693 	0.000131
160 	558688.834014 	557255.117062 	0.002566
161 	558755.371438 	558751.056154 	0.000008
162 	558775.515263 	557209.567601 	0.002802
163 	558345.058638 	558288.476871 	0.000101
164 	558175.783555 	556777.682749 	0.002505
165 	558132.664172 	558082.860229 	0.000089
166 	557891.105623 	556584.087896 	0.002343
167 	557552.198777 	557508.372270 	0.000079
168 	557317.760226 	556026.106459 	0.002318
169 	556984.880493 	556946.302568 	0.000069
170 	557123.596032 	555496.461625 	0.002921
171 	557307.923905 	557273.976407 	0.000061
172 	557443.503776 	555918.263295 	0.002736
173 	557262.905175 	557233.005800 	0.000054
174 	557253.076189 	555908.883523 	0.002412
175 	557432.772587 	557406.431353 	0.000047
176 	557564.099892 	556305.725057 	0.002257
177 	557952.191018 	557928.977275 	0.000042
178 	557868.310047 	556758.703780 	0.001989
179 	557689.708607 	557669.232931 	0.000037
180 	557886.412326 	556907.728171 	0.001754
181 	558262.308679 	558244.243310 	0.000032
182 	558592.070474 	557728.657656 	0.001546
183 	558276.805893 	558260.873814 	0.000029
184 	558534.113351 	557772.201969 	0.001364
185 	558830.854518 	558816.798233 	0.000025
186 	559082.322802 	558409.837477 	0.001203
187 	558638.734066 	558626.337738 	0.000022
188 	558955.363644 	558325.888786 	0.001126
189 	558979.740095 	558968.798442 	0.000020
190 	559423.182575 	558834.774797 	0.001052
191 	559443.800567 	559434.134686 	0.000017
192 	559359.633956 	558839.904343 	0.000929
193 	559445.691791 	559437.156527 	0.000015
194 	559491.120242 	559031.957515 	0.000821
195 	559510.325877 	559502.782101 	0.000013
196 	559554.578354 	559148.833958 	0.000725
197 	559383.546073 	559376.877104 	0.000012
198 	559302.745866 	558923.701737 	0.000678
