Iter	 Iter_time	 Master	 Subprob	 Full_Test	 argmax	Iter_acc	 Master_acc	 Subprob_acc	 Full_Test_acc	 argmax_acc
1	 0.013433	 0.013001	 0.000287	 0.000000	 0.000069	0.013433	 0.013001	 0.000287	 0.000000	 0.000069
2	 0.004610	 0.004274	 0.000131	 0.000000	 0.000114	0.018043	 0.017275	 0.000418	 0.000000	 0.000183
3	 0.004498	 0.004306	 0.000059	 0.000000	 0.000070	0.022541	 0.021581	 0.000477	 0.000000	 0.000253
4	 0.004468	 0.004125	 0.000095	 0.000000	 0.000128	0.027009	 0.025706	 0.000572	 0.000000	 0.000381
5	 0.004502	 0.004319	 0.000048	 0.000000	 0.000077	0.031511	 0.030025	 0.000620	 0.000000	 0.000458
6	 0.004831	 0.004588	 0.000078	 0.000000	 0.000093	0.036342	 0.034613	 0.000698	 0.000000	 0.000551
7	 0.005826	 0.005529	 0.000094	 0.000000	 0.000123	0.042168	 0.040142	 0.000792	 0.000000	 0.000674
8	 0.004954	 0.004544	 0.000192	 0.000000	 0.000117	0.047122	 0.044686	 0.000984	 0.000000	 0.000791
9	 0.019522	 0.019242	 0.000067	 0.000000	 0.000141	0.066644	 0.063928	 0.001051	 0.000000	 0.000932
10	 0.006290	 0.005870	 0.000114	 0.000000	 0.000186	0.072934	 0.069798	 0.001165	 0.000000	 0.001118
11	 0.005168	 0.004974	 0.000056	 0.000000	 0.000074	0.078102	 0.074772	 0.001221	 0.000000	 0.001192
12	 0.005112	 0.004692	 0.000091	 0.000000	 0.000204	0.083214	 0.079464	 0.001312	 0.000000	 0.001396
13	 0.004942	 0.004756	 0.000069	 0.000000	 0.000072	0.088156	 0.084220	 0.001381	 0.000000	 0.001468
14	 0.005373	 0.005076	 0.000086	 0.000000	 0.000103	0.093529	 0.089296	 0.001467	 0.000000	 0.001571
15	 0.006579	 0.006363	 0.000049	 0.000000	 0.000089	0.100108	 0.095659	 0.001516	 0.000000	 0.001660
16	 0.005673	 0.005335	 0.000107	 0.000000	 0.000148	0.105781	 0.100994	 0.001623	 0.000000	 0.001808
17	 0.005816	 0.005549	 0.000056	 0.000000	 0.000137	0.111597	 0.106543	 0.001679	 0.000000	 0.001945
18	 0.005499	 0.005174	 0.000091	 0.000000	 0.000153	0.117096	 0.111717	 0.001770	 0.000000	 0.002098
19	 0.005312	 0.005092	 0.000050	 0.000000	 0.000095	0.122408	 0.116809	 0.001820	 0.000000	 0.002193
20	 0.005204	 0.004845	 0.000089	 0.000000	 0.000153	0.127612	 0.121654	 0.001909	 0.000000	 0.002346
21	 0.005246	 0.004982	 0.000061	 0.000000	 0.000119	0.132858	 0.126636	 0.001970	 0.000000	 0.002465
22	 0.005122	 0.004733	 0.000115	 0.000000	 0.000183	0.137980	 0.131369	 0.002085	 0.000000	 0.002648
23	 0.005396	 0.005146	 0.000046	 0.000000	 0.000126	0.143376	 0.136515	 0.002131	 0.000000	 0.002774
24	 0.004845	 0.004542	 0.000080	 0.000000	 0.000142	0.148221	 0.141057	 0.002211	 0.000000	 0.002916
25	 0.005054	 0.004879	 0.000044	 0.000000	 0.000086	0.153275	 0.145936	 0.002255	 0.000000	 0.003002
26	 0.005540	 0.005266	 0.000092	 0.000000	 0.000126	0.158815	 0.151202	 0.002347	 0.000000	 0.003128
27	 0.005507	 0.005321	 0.000051	 0.000000	 0.000092	0.164322	 0.156523	 0.002398	 0.000000	 0.003220
28	 0.005393	 0.005135	 0.000093	 0.000000	 0.000116	0.169715	 0.161658	 0.002491	 0.000000	 0.003336
29	 0.005653	 0.005462	 0.000054	 0.000000	 0.000092	0.175368	 0.167120	 0.002545	 0.000000	 0.003428
30	 0.005082	 0.004829	 0.000078	 0.000000	 0.000122	0.180450	 0.171949	 0.002623	 0.000000	 0.003550
31	 0.005391	 0.005205	 0.000050	 0.000000	 0.000094	0.185841	 0.177154	 0.002673	 0.000000	 0.003644
32	 0.005474	 0.005140	 0.000082	 0.000000	 0.000165	0.191315	 0.182294	 0.002755	 0.000000	 0.003809
33	 0.006602	 0.006421	 0.000042	 0.000000	 0.000093	0.197917	 0.188715	 0.002797	 0.000000	 0.003902
34	 0.005338	 0.005059	 0.000091	 0.000000	 0.000132	0.203255	 0.193774	 0.002888	 0.000000	 0.004034
35	 0.005545	 0.005201	 0.000053	 0.000000	 0.000211	0.208800	 0.198975	 0.002941	 0.000000	 0.004245
36	 0.005460	 0.005207	 0.000082	 0.000000	 0.000124	0.214260	 0.204182	 0.003023	 0.000000	 0.004369
37	 0.006781	 0.006596	 0.000043	 0.000000	 0.000097	0.221041	 0.210778	 0.003066	 0.000000	 0.004466
38	 0.006091	 0.005820	 0.000086	 0.000000	 0.000130	0.227132	 0.216598	 0.003152	 0.000000	 0.004596
39	 0.005397	 0.005121	 0.000044	 0.000000	 0.000159	0.232529	 0.221719	 0.003196	 0.000000	 0.004755
40	 0.005213	 0.004853	 0.000088	 0.000000	 0.000184	0.237742	 0.226572	 0.003284	 0.000000	 0.004939
41	 0.005502	 0.005170	 0.000054	 0.000000	 0.000205	0.243244	 0.231742	 0.003338	 0.000000	 0.005144
42	 0.005573	 0.005315	 0.000078	 0.000000	 0.000130	0.248817	 0.237057	 0.003416	 0.000000	 0.005274
43	 0.004989	 0.004675	 0.000050	 0.000000	 0.000175	0.253806	 0.241732	 0.003466	 0.000000	 0.005449
44	 0.005249	 0.004991	 0.000077	 0.000000	 0.000133	0.259055	 0.246723	 0.003543	 0.000000	 0.005582
45	 0.004862	 0.004531	 0.000039	 0.000000	 0.000214	0.263917	 0.251254	 0.003582	 0.000000	 0.005796
46	 0.005652	 0.005397	 0.000068	 0.000000	 0.000139	0.269569	 0.256651	 0.003650	 0.000000	 0.005935
47	 0.006277	 0.006098	 0.000033	 0.000000	 0.000105	0.275846	 0.262749	 0.003683	 0.000000	 0.006040
48	 0.006322	 0.006060	 0.000058	 0.000000	 0.000151	0.282168	 0.268809	 0.003741	 0.000000	 0.006191
49	 0.007405	 0.007168	 0.000061	 0.000000	 0.000128	0.289573	 0.275977	 0.003802	 0.000000	 0.006319
50	 0.006001	 0.005680	 0.000100	 0.000000	 0.000163	0.295574	 0.281657	 0.003902	 0.000000	 0.006482
51	 0.005735	 0.005422	 0.000054	 0.000000	 0.000179	0.301309	 0.287079	 0.003956	 0.000000	 0.006661
52	 0.005297	 0.004862	 0.000080	 0.000000	 0.000277	0.306606	 0.291941	 0.004036	 0.000000	 0.006938
53	 0.006630	 0.006435	 0.000036	 0.000000	 0.000114	0.313236	 0.298376	 0.004072	 0.000000	 0.007052
54	 0.006017	 0.005691	 0.000097	 0.000000	 0.000171	0.319253	 0.304067	 0.004169	 0.000000	 0.007223
55	 0.006205	 0.005818	 0.000051	 0.000000	 0.000258	0.325458	 0.309885	 0.004220	 0.000000	 0.007481
56	 0.006144	 0.005730	 0.000079	 0.000000	 0.000245	0.331602	 0.315615	 0.004299	 0.000000	 0.007726
57	 0.005602	 0.005368	 0.000045	 0.000000	 0.000133	0.337204	 0.320983	 0.004344	 0.000000	 0.007859
58	 0.006531	 0.006229	 0.000080	 0.000000	 0.000171	0.343735	 0.327212	 0.004424	 0.000000	 0.008030
59	 0.006149	 0.005828	 0.000045	 0.000000	 0.000199	0.349884	 0.333040	 0.004469	 0.000000	 0.008229
60	 0.005936	 0.005584	 0.000089	 0.000000	 0.000193	0.355820	 0.338624	 0.004558	 0.000000	 0.008422
61	 0.004984	 0.004751	 0.000051	 0.000000	 0.000136	0.360804	 0.343375	 0.004609	 0.000000	 0.008558
62	 0.005028	 0.004723	 0.000077	 0.000000	 0.000174	0.365832	 0.348098	 0.004686	 0.000000	 0.008732
63	 0.005398	 0.005190	 0.000033	 0.000000	 0.000129	0.371230	 0.353288	 0.004719	 0.000000	 0.008861
64	 0.005465	 0.005114	 0.000063	 0.000000	 0.000204	0.376695	 0.358402	 0.004782	 0.000000	 0.009065
65	 0.005513	 0.005271	 0.000061	 0.000000	 0.000136	0.382208	 0.363673	 0.004843	 0.000000	 0.009201
66	 0.007024	 0.006715	 0.000075	 0.000000	 0.000181	0.389232	 0.370388	 0.004918	 0.000000	 0.009382
67	 0.006483	 0.006232	 0.000056	 0.000000	 0.000146	0.395715	 0.376620	 0.004974	 0.000000	 0.009528
68	 0.006933	 0.006601	 0.000066	 0.000000	 0.000208	0.402648	 0.383221	 0.005040	 0.000000	 0.009736
69	 0.007510	 0.007102	 0.000059	 0.000000	 0.000243	0.410158	 0.390323	 0.005099	 0.000000	 0.009979
70	 0.007891	 0.007500	 0.000093	 0.000000	 0.000232	0.418049	 0.397823	 0.005192	 0.000000	 0.010211
71	 0.007865	 0.007626	 0.000041	 0.000000	 0.000146	0.425914	 0.405449	 0.005233	 0.000000	 0.010357
72	 0.006234	 0.005885	 0.000091	 0.000000	 0.000202	0.432148	 0.411334	 0.005324	 0.000000	 0.010559
73	 0.006709	 0.006459	 0.000053	 0.000000	 0.000148	0.438857	 0.417793	 0.005377	 0.000000	 0.010707
74	 0.005289	 0.004939	 0.000088	 0.000000	 0.000206	0.444146	 0.422732	 0.005465	 0.000000	 0.010913
75	 0.004938	 0.004690	 0.000054	 0.000000	 0.000144	0.449084	 0.427422	 0.005519	 0.000000	 0.011057
76	 0.005936	 0.005572	 0.000087	 0.000000	 0.000215	0.455020	 0.432994	 0.005606	 0.000000	 0.011272
77	 0.007720	 0.007439	 0.000064	 0.000000	 0.000158	0.462740	 0.440433	 0.005670	 0.000000	 0.011430
78	 0.005219	 0.004860	 0.000083	 0.000000	 0.000216	0.467959	 0.445293	 0.005753	 0.000000	 0.011646
79	 0.005070	 0.004856	 0.000033	 0.000000	 0.000135	0.473029	 0.450149	 0.005786	 0.000000	 0.011781
80	 0.005642	 0.005132	 0.000099	 0.000000	 0.000316	0.478671	 0.455281	 0.005885	 0.000000	 0.012097
81	 0.004887	 0.004652	 0.000051	 0.000000	 0.000141	0.483558	 0.459933	 0.005936	 0.000000	 0.012238
82	 0.005678	 0.005363	 0.000078	 0.000000	 0.000187	0.489236	 0.465296	 0.006014	 0.000000	 0.012425
83	 0.005220	 0.004974	 0.000052	 0.000000	 0.000149	0.494456	 0.470270	 0.006066	 0.000000	 0.012574
84	 0.005140	 0.004774	 0.000085	 0.000000	 0.000221	0.499596	 0.475044	 0.006151	 0.000000	 0.012795
85	 0.005313	 0.005072	 0.000051	 0.000000	 0.000148	0.504909	 0.480116	 0.006202	 0.000000	 0.012943
86	 0.004803	 0.004479	 0.000085	 0.000000	 0.000188	0.509712	 0.484595	 0.006287	 0.000000	 0.013131
87	 0.004242	 0.004029	 0.000045	 0.000000	 0.000128	0.513954	 0.488624	 0.006332	 0.000000	 0.013259
88	 0.004341	 0.004037	 0.000069	 0.000000	 0.000188	0.518295	 0.492661	 0.006401	 0.000000	 0.013447
89	 0.005846	 0.005459	 0.000043	 0.000000	 0.000269	0.524141	 0.498120	 0.006444	 0.000000	 0.013716
90	 0.005163	 0.004859	 0.000068	 0.000000	 0.000190	0.529304	 0.502979	 0.006512	 0.000000	 0.013906
91	 0.005040	 0.004829	 0.000039	 0.000000	 0.000131	0.534344	 0.507808	 0.006551	 0.000000	 0.014037
92	 0.004845	 0.004541	 0.000066	 0.000000	 0.000193	0.539189	 0.512349	 0.006617	 0.000000	 0.014230
93	 0.004750	 0.004524	 0.000045	 0.000000	 0.000140	0.543939	 0.516873	 0.006662	 0.000000	 0.014370
94	 0.004639	 0.004330	 0.000068	 0.000000	 0.000195	0.548578	 0.521203	 0.006730	 0.000000	 0.014565
95	 0.005255	 0.005005	 0.000048	 0.000000	 0.000138	0.553833	 0.526208	 0.006778	 0.000000	 0.014703
96	 0.004849	 0.004541	 0.000063	 0.000000	 0.000195	0.558682	 0.530749	 0.006841	 0.000000	 0.014898
97	 0.005196	 0.004983	 0.000041	 0.000000	 0.000133	0.563878	 0.535732	 0.006882	 0.000000	 0.015031
98	 0.005203	 0.004729	 0.000074	 0.000000	 0.000323	0.569081	 0.540461	 0.006956	 0.000000	 0.015354
99	 0.006263	 0.006043	 0.000044	 0.000000	 0.000133	0.575344	 0.546504	 0.007000	 0.000000	 0.015487
100	 0.006838	 0.006518	 0.000059	 0.000000	 0.000203	0.582182	 0.553022	 0.007059	 0.000000	 0.015690
101	 0.006761	 0.006477	 0.000058	 0.000000	 0.000176	0.588943	 0.559499	 0.007117	 0.000000	 0.015866
102	 0.004931	 0.004607	 0.000070	 0.000000	 0.000204	0.593874	 0.564106	 0.007187	 0.000000	 0.016070
103	 0.005283	 0.005057	 0.000046	 0.000000	 0.000138	0.599157	 0.569163	 0.007233	 0.000000	 0.016208
