Iter 	incumb_est 	candid_est 	error
1 	301115.000000 	196550.000431 	0.347259
2 	577457.500000 	394740.579976 	0.316416
3 	519186.666665 	364327.409341 	0.298273
4 	593132.500000 	413007.315860 	0.303685
5 	555129.999998 	435154.132518 	0.216122
6 	604640.833333 	490350.210524 	0.189022
7 	565016.428571 	489117.100954 	0.134331
8 	591604.374999 	497921.082420 	0.158355
9 	565020.000000 	564740.748941 	0.000494
10 	591297.499999 	539143.064371 	0.088203
11 	564917.272727 	517824.848864 	0.083362
12 	591090.833332 	499871.864877 	0.154323
13 	568784.999999 	484986.035211 	0.147330
14 	560078.471059 	558871.279604 	0.002155
15 	542871.016548 	541839.310596 	0.001900
16 	566331.535013 	564882.106168 	0.002559
17 	550780.659623 	549605.007908 	0.002135
18 	569090.862532 	567591.740536 	0.002634
19 	555031.693630 	553739.035371 	0.002329
20 	568825.370478 	567414.003702 	0.002481
21 	556117.812521 	554871.869089 	0.002240
22 	569176.331525 	567709.901609 	0.002576
23 	557558.519432 	556291.408156 	0.002273
24 	567382.719122 	566060.281701 	0.002331
25 	556766.076492 	555570.586666 	0.002147
26 	566340.659342 	565099.290316 	0.002192
27 	556549.029492 	555342.357433 	0.002168
28 	565004.039581 	563784.752749 	0.002158
29 	555933.784885 	554960.335325 	0.001751
30 	566341.469122 	565231.572777 	0.001960
31 	557813.249259 	556748.090486 	0.001910
32 	562046.094969 	560895.476204 	0.002047
33 	554164.899770 	553225.526948 	0.001695
34 	560460.470717 	559367.714635 	0.001950
35 	553074.933080 	552108.507819 	0.001747
36 	561141.746899 	559987.359053 	0.002057
37 	554137.014642 	553051.728780 	0.001959
38 	558119.311941 	557063.524911 	0.001892
39 	551551.295055 	550562.920938 	0.001792
40 	559472.643443 	558449.124728 	0.001829
41 	553192.009540 	552213.502997 	0.001769
42 	560097.897693 	559043.679600 	0.001882
43 	554094.845500 	553175.470273 	0.001659
44 	558394.719738 	557529.763557 	0.001549
45 	552696.318264 	551959.378762 	0.001333
46 	557921.709432 	557022.642135 	0.001611
47 	552475.857175 	551699.224909 	0.001406
48 	554882.908317 	553839.446623 	0.001881
49 	549721.352094 	548890.694953 	0.001511
50 	555341.711292 	554445.566687 	0.001614
51 	550373.572902 	549595.621246 	0.001413
52 	556971.297088 	556162.463968 	0.001452
53 	552159.888716 	551463.879860 	0.001261
54 	556851.174332 	556069.635099 	0.001403
55 	552216.910315 	551547.392594 	0.001212
56 	555631.596059 	554958.353119 	0.001212
57 	551181.333907 	550657.083121 	0.000951
58 	556650.005943 	555838.160847 	0.001458
59 	552333.338951 	551716.375885 	0.001117
60 	558639.271835 	558030.520371 	0.001090
61 	554986.725629 	553918.070751 	0.001926
62 	561109.325711 	560469.836377 	0.001140
63 	556995.949959 	556461.956104 	0.000959
64 	559046.147658 	558656.784032 	0.000696
65 	555085.683749 	554822.919871 	0.000473
66 	556980.507994 	540667.141951 	0.029289
67 	553169.097331 	538812.374567 	0.025954
68 	558526.595657 	550640.624290 	0.014119
69 	554803.253598 	549930.641866 	0.008783
70 	559090.965175 	547860.375870 	0.020087
71 	557709.764715 	545623.817169 	0.021671
72 	558585.532987 	544163.563724 	0.025819
73 	558618.214590 	558332.806075 	0.000511
74 	559456.228410 	555051.212337 	0.007874
75 	557364.332512 	551906.831983 	0.009792
76 	560773.860915 	549266.170836 	0.020521
77 	557408.174327 	546266.758055 	0.019988
78 	560906.539739 	546800.198177 	0.025149
79 	560895.431573 	560661.735170 	0.000417
80 	560872.490243 	557575.720874 	0.005878
81 	560409.919798 	554515.185935 	0.010519
82 	561908.791335 	552099.093521 	0.017458
83 	562044.962648 	561847.122026 	0.000352
84 	562599.385914 	558910.230284 	0.006557
85 	562158.298803 	557233.520463 	0.008760
86 	562842.442393 	555361.970189 	0.013291
87 	559839.839534 	553631.011269 	0.011090
88 	562769.631512 	562610.996313 	0.000282
89 	561699.259532 	559728.401258 	0.003509
90 	562577.805658 	557477.864647 	0.009065
91 	559710.093437 	555639.871566 	0.007272
92 	562782.581372 	562620.903375 	0.000287
93 	561232.426843 	559844.549194 	0.002473
94 	562446.010782 	558208.355262 	0.007534
95 	559700.431654 	556603.684154 	0.005533
96 	562645.260319 	562504.358243 	0.000250
97 	562222.878977 	560044.233851 	0.003875
98 	562327.465925 	557563.093332 	0.008473
99 	560432.710664 	555509.289469 	0.008785
100 	561147.441879 	561022.427749 	0.000223
101 	560262.864508 	558619.821789 	0.002933
102 	560259.281521 	556269.560901 	0.007121
103 	560232.717704 	560147.184749 	0.000153
104 	560248.494089 	557774.153952 	0.004417
105 	559881.542096 	557526.418343 	0.004206
106 	560235.338797 	555806.644313 	0.007905
107 	559434.423967 	554541.136751 	0.008747
108 	560105.702681 	560001.138308 	0.000187
109 	559867.907103 	558190.950392 	0.002995
110 	560208.280606 	556272.280940 	0.007026
111 	559507.007796 	554912.515588 	0.008212
112 	560310.402561 	559333.319147 	0.001744
113 	558970.967911 	557419.173730 	0.002776
114 	559640.454008 	555962.947412 	0.006571
115 	559682.744556 	558851.580142 	0.001485
116 	559316.817903 	556913.332381 	0.004297
117 	558627.896367 	555140.341095 	0.006243
118 	559638.262683 	558528.614897 	0.001983
119 	559136.951699 	556867.181414 	0.004059
120 	559846.492637 	559217.057581 	0.001124
121 	559096.594403 	557333.656633 	0.003153
122 	559738.988883 	558876.319408 	0.001541
123 	558360.397156 	557090.947265 	0.002274
124 	559431.666296 	558930.791012 	0.000895
125 	557974.263406 	557019.120208 	0.001712
126 	558839.973795 	558180.584514 	0.001180
127 	557930.259830 	556408.134949 	0.002728
128 	558852.109069 	558444.207933 	0.000730
129 	559083.874129 	558549.339638 	0.000956
130 	559151.711447 	556692.845778 	0.004397
131 	559380.444210 	559098.737092 	0.000504
132 	559536.931935 	557287.083543 	0.004021
133 	559661.595993 	559252.988018 	0.000730
134 	559351.698079 	557477.319147 	0.003351
135 	559204.757348 	558992.966215 	0.000379
136 	559262.592795 	557221.853558 	0.003649
137 	559387.024245 	559074.273551 	0.000559
138 	559268.044546 	557352.435646 	0.003425
139 	558712.992927 	558699.645964 	0.000024
140 	558827.762982 	556917.517391 	0.003418
141 	558507.347024 	558270.499423 	0.000424
142 	558133.199611 	556573.160612 	0.002795
143 	558214.640710 	558203.774031 	0.000019
144 	558240.915778 	556472.602764 	0.003168
145 	558278.730930 	558096.824268 	0.000326
146 	558602.490014 	556470.668036 	0.003816
147 	558335.994054 	558327.142105 	0.000016
148 	558276.408913 	556638.664067 	0.002934
149 	558144.335161 	558004.236841 	0.000251
150 	558043.406976 	556389.542755 	0.002964
151 	558201.745895 	558194.534631 	0.000013
152 	558393.181405 	556558.004775 	0.003287
153 	558346.363031 	558238.490801 	0.000193
154 	558086.030202 	556650.290858 	0.002573
155 	558320.491838 	558314.620398 	0.000011
156 	558825.969092 	556728.239337 	0.003754
157 	558815.040207 	558809.742744 	0.000009
158 	558677.080415 	557224.050822 	0.002601
159 	558866.406766 	558793.307048 	0.000131
160 	558689.101456 	557255.102706 	0.002567
161 	558755.334266 	558751.018911 	0.000008
162 	558775.779074 	557209.538384 	0.002803
163 	558345.236993 	558288.655071 	0.000101
164 	558176.043823 	556777.668571 	0.002505
165 	558132.840042 	558083.035946 	0.000089
166 	557891.362434 	556584.073811 	0.002343
167 	557552.372061 	557508.545400 	0.000079
168 	557318.013343 	556026.093297 	0.002318
169 	556985.051252 	556946.473175 	0.000069
170 	557123.845699 	555496.701328 	0.002921
171 	557308.092041 	557274.144392 	0.000061
172 	557443.752552 	555918.507511 	0.002736
173 	557263.070903 	557233.171379 	0.000054
174 	557253.321645 	555909.124470 	0.002412
175 	557432.935963 	557406.594582 	0.000047
176 	557564.344524 	556305.965102 	0.002257
177 	557952.352095 	557929.138205 	0.000042
178 	557868.551480 	556758.940676 	0.001989
179 	557689.867586 	557669.391764 	0.000037
180 	557886.650781 	556907.962138 	0.001754
181 	558262.465607 	558244.400092 	0.000032
182 	558592.305867 	557728.888610 	0.001546
183 	558276.960668 	558261.028446 	0.000029
184 	558534.345896 	557772.430122 	0.001364
185 	558831.007186 	558816.950757 	0.000025
186 	559082.552271 	558410.062601 	0.001203
187 	558638.884529 	558626.488057 	0.000022
188 	558955.592513 	558326.113232 	0.001126
189 	558979.888541 	558968.946745 	0.000020
190 	559423.410855 	558834.998580 	0.001052
191 	559443.947180 	559434.281156 	0.000017
192 	559359.859581 	558840.125517 	0.000929
193 	559445.836469 	559437.301066 	0.000015
194 	559491.343128 	559032.175995 	0.000821
195 	559510.468798 	559502.924882 	0.000013
196 	559554.798693 	559149.049935 	0.000725
197 	559383.687273 	559377.018165 	0.000012
198 	559302.965727 	558923.917164 	0.000678
