Iter	 Iter_time	 Master	 Subprob	 Full_Test	 argmax	Iter_acc	 Master_acc	 Subprob_acc	 Full_Test_acc	 argmax_acc
1	 0.011461	 0.011037	 0.000264	 0.000000	 0.000072	0.011461	 0.011037	 0.000264	 0.000000	 0.000072
2	 0.004085	 0.003721	 0.000127	 0.000000	 0.000117	0.015546	 0.014758	 0.000391	 0.000000	 0.000189
3	 0.004262	 0.004081	 0.000045	 0.000000	 0.000071	0.019808	 0.018839	 0.000436	 0.000000	 0.000260
4	 0.003868	 0.003492	 0.000082	 0.000000	 0.000171	0.023676	 0.022331	 0.000518	 0.000000	 0.000431
5	 0.004077	 0.003887	 0.000041	 0.000000	 0.000082	0.027753	 0.026218	 0.000559	 0.000000	 0.000513
6	 0.004341	 0.004053	 0.000086	 0.000000	 0.000108	0.032094	 0.030271	 0.000645	 0.000000	 0.000621
7	 0.005042	 0.004770	 0.000073	 0.000000	 0.000123	0.037136	 0.035041	 0.000718	 0.000000	 0.000744
8	 0.004849	 0.004518	 0.000136	 0.000000	 0.000097	0.041985	 0.039559	 0.000854	 0.000000	 0.000841
9	 0.018096	 0.017815	 0.000069	 0.000000	 0.000120	0.060081	 0.057374	 0.000923	 0.000000	 0.000961
10	 0.006615	 0.006053	 0.000135	 0.000000	 0.000277	0.066696	 0.063427	 0.001058	 0.000000	 0.001238
11	 0.004768	 0.004537	 0.000050	 0.000000	 0.000101	0.071464	 0.067964	 0.001108	 0.000000	 0.001339
12	 0.004704	 0.004271	 0.000093	 0.000000	 0.000201	0.076168	 0.072235	 0.001201	 0.000000	 0.001540
13	 0.005184	 0.004956	 0.000051	 0.000000	 0.000103	0.081352	 0.077191	 0.001252	 0.000000	 0.001643
14	 0.006582	 0.006110	 0.000130	 0.000000	 0.000175	0.087934	 0.083301	 0.001382	 0.000000	 0.001818
15	 0.004964	 0.004680	 0.000062	 0.000000	 0.000136	0.092898	 0.087981	 0.001444	 0.000000	 0.001954
16	 0.005360	 0.004986	 0.000082	 0.000000	 0.000203	0.098258	 0.092967	 0.001526	 0.000000	 0.002157
17	 0.005051	 0.004720	 0.000046	 0.000000	 0.000207	0.103309	 0.097687	 0.001572	 0.000000	 0.002364
18	 0.005019	 0.004616	 0.000095	 0.000000	 0.000211	0.108328	 0.102303	 0.001667	 0.000000	 0.002575
19	 0.005292	 0.004987	 0.000070	 0.000000	 0.000157	0.113620	 0.107290	 0.001737	 0.000000	 0.002732
20	 0.004899	 0.004522	 0.000093	 0.000000	 0.000187	0.118519	 0.111812	 0.001830	 0.000000	 0.002919
21	 0.004752	 0.004558	 0.000038	 0.000000	 0.000112	0.123271	 0.116370	 0.001868	 0.000000	 0.003031
22	 0.004947	 0.004579	 0.000073	 0.000000	 0.000198	0.128218	 0.120949	 0.001941	 0.000000	 0.003229
23	 0.004837	 0.004534	 0.000044	 0.000000	 0.000176	0.133055	 0.125483	 0.001985	 0.000000	 0.003405
24	 0.005042	 0.004644	 0.000083	 0.000000	 0.000218	0.138097	 0.130127	 0.002068	 0.000000	 0.003623
25	 0.004874	 0.004482	 0.000046	 0.000000	 0.000236	0.142971	 0.134609	 0.002114	 0.000000	 0.003859
26	 0.005221	 0.004811	 0.000078	 0.000000	 0.000236	0.148192	 0.139420	 0.002192	 0.000000	 0.004095
27	 0.004852	 0.004493	 0.000040	 0.000000	 0.000238	0.153044	 0.143913	 0.002232	 0.000000	 0.004333
28	 0.004866	 0.004436	 0.000084	 0.000000	 0.000251	0.157910	 0.148349	 0.002316	 0.000000	 0.004584
29	 0.004684	 0.004352	 0.000048	 0.000000	 0.000204	0.162594	 0.152701	 0.002364	 0.000000	 0.004788
30	 0.005188	 0.004722	 0.000085	 0.000000	 0.000282	0.167782	 0.157423	 0.002449	 0.000000	 0.005070
31	 0.005006	 0.004748	 0.000045	 0.000000	 0.000166	0.172788	 0.162171	 0.002494	 0.000000	 0.005236
32	 0.005859	 0.005383	 0.000078	 0.000000	 0.000290	0.178647	 0.167554	 0.002572	 0.000000	 0.005526
33	 0.005776	 0.005453	 0.000067	 0.000000	 0.000192	0.184423	 0.173007	 0.002639	 0.000000	 0.005718
34	 0.004928	 0.004544	 0.000077	 0.000000	 0.000242	0.189351	 0.177551	 0.002716	 0.000000	 0.005960
35	 0.005066	 0.004814	 0.000043	 0.000000	 0.000163	0.194417	 0.182365	 0.002759	 0.000000	 0.006123
36	 0.006204	 0.005664	 0.000075	 0.000000	 0.000367	0.200621	 0.188029	 0.002834	 0.000000	 0.006490
37	 0.005630	 0.005368	 0.000038	 0.000000	 0.000177	0.206251	 0.193397	 0.002872	 0.000000	 0.006667
38	 0.006063	 0.005565	 0.000129	 0.000000	 0.000299	0.212314	 0.198962	 0.003001	 0.000000	 0.006966
39	 0.005690	 0.005260	 0.000069	 0.000000	 0.000274	0.218004	 0.204222	 0.003070	 0.000000	 0.007240
40	 0.005300	 0.004905	 0.000070	 0.000000	 0.000261	0.223304	 0.209127	 0.003140	 0.000000	 0.007501
41	 0.006311	 0.005865	 0.000052	 0.000000	 0.000318	0.229615	 0.214992	 0.003192	 0.000000	 0.007819
42	 0.005143	 0.004724	 0.000080	 0.000000	 0.000275	0.234758	 0.219716	 0.003272	 0.000000	 0.008094
43	 0.005521	 0.005113	 0.000046	 0.000000	 0.000278	0.240279	 0.224829	 0.003318	 0.000000	 0.008372
44	 0.005638	 0.005216	 0.000077	 0.000000	 0.000284	0.245917	 0.230045	 0.003395	 0.000000	 0.008656
45	 0.004861	 0.004399	 0.000042	 0.000000	 0.000344	0.250778	 0.234444	 0.003437	 0.000000	 0.009000
46	 0.005309	 0.004885	 0.000064	 0.000000	 0.000298	0.256087	 0.239329	 0.003501	 0.000000	 0.009298
47	 0.005001	 0.004688	 0.000034	 0.000000	 0.000230	0.261088	 0.244017	 0.003535	 0.000000	 0.009528
48	 0.005650	 0.005206	 0.000073	 0.000000	 0.000305	0.266738	 0.249223	 0.003608	 0.000000	 0.009833
49	 0.005895	 0.005464	 0.000046	 0.000000	 0.000301	0.272633	 0.254687	 0.003654	 0.000000	 0.010134
50	 0.005641	 0.005021	 0.000088	 0.000000	 0.000419	0.278274	 0.259708	 0.003742	 0.000000	 0.010553
51	 0.005245	 0.004804	 0.000061	 0.000000	 0.000294	0.283519	 0.264512	 0.003803	 0.000000	 0.010847
52	 0.006717	 0.006086	 0.000094	 0.000000	 0.000437	0.290236	 0.270598	 0.003897	 0.000000	 0.011284
53	 0.006039	 0.005716	 0.000040	 0.000000	 0.000227	0.296275	 0.276314	 0.003937	 0.000000	 0.011511
54	 0.006178	 0.005707	 0.000070	 0.000000	 0.000340	0.302453	 0.282021	 0.004007	 0.000000	 0.011851
55	 0.005760	 0.005441	 0.000043	 0.000000	 0.000230	0.308213	 0.287462	 0.004050	 0.000000	 0.012081
56	 0.005446	 0.004957	 0.000076	 0.000000	 0.000351	0.313659	 0.292419	 0.004126	 0.000000	 0.012432
57	 0.006486	 0.006147	 0.000038	 0.000000	 0.000246	0.320145	 0.298566	 0.004164	 0.000000	 0.012678
58	 0.005743	 0.005109	 0.000085	 0.000000	 0.000448	0.325888	 0.303675	 0.004249	 0.000000	 0.013126
59	 0.006042	 0.005568	 0.000037	 0.000000	 0.000355	0.331930	 0.309243	 0.004286	 0.000000	 0.013481
60	 0.005590	 0.005082	 0.000070	 0.000000	 0.000377	0.337520	 0.314325	 0.004356	 0.000000	 0.013858
61	 0.004722	 0.004379	 0.000040	 0.000000	 0.000248	0.342242	 0.318704	 0.004396	 0.000000	 0.014106
62	 0.005542	 0.004992	 0.000076	 0.000000	 0.000408	0.347784	 0.323696	 0.004472	 0.000000	 0.014514
63	 0.005149	 0.004818	 0.000031	 0.000000	 0.000253	0.352933	 0.328514	 0.004503	 0.000000	 0.014767
64	 0.005127	 0.004598	 0.000049	 0.000000	 0.000396	0.358060	 0.333112	 0.004552	 0.000000	 0.015163
65	 0.005636	 0.005062	 0.000048	 0.000000	 0.000412	0.363696	 0.338174	 0.004600	 0.000000	 0.015575
66	 0.006969	 0.006248	 0.000069	 0.000000	 0.000552	0.370665	 0.344422	 0.004669	 0.000000	 0.016127
67	 0.006883	 0.006492	 0.000046	 0.000000	 0.000295	0.377548	 0.350914	 0.004715	 0.000000	 0.016422
68	 0.007075	 0.006453	 0.000066	 0.000000	 0.000475	0.384623	 0.357367	 0.004781	 0.000000	 0.016897
69	 0.007291	 0.006623	 0.000064	 0.000000	 0.000502	0.391914	 0.363990	 0.004845	 0.000000	 0.017399
70	 0.006822	 0.005946	 0.000085	 0.000000	 0.000683	0.398736	 0.369936	 0.004930	 0.000000	 0.018082
71	 0.007825	 0.007399	 0.000036	 0.000000	 0.000334	0.406561	 0.377335	 0.004966	 0.000000	 0.018416
72	 0.006633	 0.005848	 0.000115	 0.000000	 0.000581	0.413194	 0.383183	 0.005081	 0.000000	 0.018997
73	 0.006082	 0.005587	 0.000055	 0.000000	 0.000372	0.419276	 0.388770	 0.005136	 0.000000	 0.019369
74	 0.005206	 0.004346	 0.000084	 0.000000	 0.000671	0.424482	 0.393116	 0.005220	 0.000000	 0.020040
75	 0.005308	 0.004870	 0.000053	 0.000000	 0.000331	0.429790	 0.397986	 0.005273	 0.000000	 0.020371
76	 0.006487	 0.005712	 0.000113	 0.000000	 0.000583	0.436277	 0.403698	 0.005386	 0.000000	 0.020954
77	 0.007979	 0.007492	 0.000058	 0.000000	 0.000366	0.444256	 0.411190	 0.005444	 0.000000	 0.021320
78	 0.005881	 0.005128	 0.000091	 0.000000	 0.000578	0.450137	 0.416318	 0.005535	 0.000000	 0.021898
79	 0.005211	 0.004781	 0.000030	 0.000000	 0.000344	0.455348	 0.421099	 0.005565	 0.000000	 0.022242
80	 0.007117	 0.006171	 0.000087	 0.000000	 0.000738	0.462465	 0.427270	 0.005652	 0.000000	 0.022980
81	 0.005501	 0.005051	 0.000050	 0.000000	 0.000348	0.467966	 0.432321	 0.005702	 0.000000	 0.023328
82	 0.006718	 0.006018	 0.000082	 0.000000	 0.000546	0.474684	 0.438339	 0.005784	 0.000000	 0.023874
83	 0.005970	 0.005455	 0.000061	 0.000000	 0.000391	0.480654	 0.443794	 0.005845	 0.000000	 0.024265
84	 0.007544	 0.006739	 0.000109	 0.000000	 0.000617	0.488198	 0.450533	 0.005954	 0.000000	 0.024882
85	 0.005676	 0.005172	 0.000073	 0.000000	 0.000374	0.493874	 0.455705	 0.006027	 0.000000	 0.025256
86	 0.005886	 0.005071	 0.000101	 0.000000	 0.000638	0.499760	 0.460776	 0.006128	 0.000000	 0.025894
87	 0.004935	 0.004462	 0.000056	 0.000000	 0.000362	0.504695	 0.465238	 0.006184	 0.000000	 0.026256
88	 0.004883	 0.004158	 0.000077	 0.000000	 0.000581	0.509578	 0.469396	 0.006261	 0.000000	 0.026837
89	 0.005904	 0.005253	 0.000045	 0.000000	 0.000521	0.515482	 0.474649	 0.006306	 0.000000	 0.027358
90	 0.006038	 0.005263	 0.000075	 0.000000	 0.000620	0.521520	 0.479912	 0.006381	 0.000000	 0.027978
91	 0.005375	 0.004922	 0.000045	 0.000000	 0.000359	0.526895	 0.484834	 0.006426	 0.000000	 0.028337
92	 0.004992	 0.004281	 0.000067	 0.000000	 0.000580	0.531887	 0.489115	 0.006493	 0.000000	 0.028917
93	 0.005144	 0.004703	 0.000046	 0.000000	 0.000348	0.537031	 0.493818	 0.006539	 0.000000	 0.029265
94	 0.005829	 0.005118	 0.000072	 0.000000	 0.000576	0.542860	 0.498936	 0.006611	 0.000000	 0.029841
95	 0.006701	 0.006177	 0.000051	 0.000000	 0.000382	0.549561	 0.505113	 0.006662	 0.000000	 0.030223
96	 0.006212	 0.005387	 0.000083	 0.000000	 0.000664	0.555773	 0.510500	 0.006745	 0.000000	 0.030887
97	 0.005433	 0.004699	 0.000055	 0.000000	 0.000585	0.561206	 0.515199	 0.006800	 0.000000	 0.031472
98	 0.005038	 0.004280	 0.000079	 0.000000	 0.000615	0.566244	 0.519479	 0.006879	 0.000000	 0.032087
99	 0.005504	 0.005042	 0.000043	 0.000000	 0.000370	0.571748	 0.524521	 0.006922	 0.000000	 0.032457
100	 0.006473	 0.005680	 0.000058	 0.000000	 0.000660	0.578221	 0.530201	 0.006980	 0.000000	 0.033117
101	 0.005749	 0.005235	 0.000060	 0.000000	 0.000403	0.583970	 0.535436	 0.007040	 0.000000	 0.033520
102	 0.005431	 0.004658	 0.000072	 0.000000	 0.000634	0.589401	 0.540094	 0.007112	 0.000000	 0.034154
103	 0.006472	 0.005999	 0.000046	 0.000000	 0.000376	0.595873	 0.546093	 0.007158	 0.000000	 0.034530
104	 0.005314	 0.004515	 0.000079	 0.000000	 0.000643	0.601187	 0.550608	 0.007237	 0.000000	 0.035173
105	 0.005142	 0.004687	 0.000029	 0.000000	 0.000376	0.606329	 0.555295	 0.007266	 0.000000	 0.035549
106	 0.005665	 0.004899	 0.000073	 0.000000	 0.000633	0.611994	 0.560194	 0.007339	 0.000000	 0.036182
107	 0.005654	 0.005200	 0.000028	 0.000000	 0.000380	0.617648	 0.565394	 0.007367	 0.000000	 0.036562
108	 0.005587	 0.004836	 0.000048	 0.000000	 0.000638	0.623235	 0.570230	 0.007415	 0.000000	 0.037200
109	 0.005421	 0.004953	 0.000042	 0.000000	 0.000378	0.628656	 0.575183	 0.007457	 0.000000	 0.037578
110	 0.006167	 0.005339	 0.000070	 0.000000	 0.000694	0.634823	 0.580522	 0.007527	 0.000000	 0.038272
111	 0.005235	 0.004772	 0.000029	 0.000000	 0.000386	0.640058	 0.585294	 0.007556	 0.000000	 0.038658
112	 0.006080	 0.005284	 0.000074	 0.000000	 0.000658	0.646138	 0.590578	 0.007630	 0.000000	 0.039316
113	 0.006040	 0.005319	 0.000040	 0.000000	 0.000603	0.652178	 0.595897	 0.007670	 0.000000	 0.039919
114	 0.008315	 0.007473	 0.000069	 0.000000	 0.000709	0.660493	 0.603370	 0.007739	 0.000000	 0.040628
115	 0.006609	 0.006124	 0.000028	 0.000000	 0.000406	0.667102	 0.609494	 0.007767	 0.000000	 0.041034
116	 0.008949	 0.007642	 0.000108	 0.000000	 0.001067	0.676051	 0.617136	 0.007875	 0.000000	 0.042101
117	 0.005463	 0.004911	 0.000044	 0.000000	 0.000455	0.681514	 0.622047	 0.007919	 0.000000	 0.042556
118	 0.006545	 0.005680	 0.000074	 0.000000	 0.000715	0.688059	 0.627727	 0.007993	 0.000000	 0.043271
119	 0.007418	 0.006839	 0.000052	 0.000000	 0.000473	0.695477	 0.634566	 0.008045	 0.000000	 0.043744
120	 0.005873	 0.005002	 0.000076	 0.000000	 0.000728	0.701350	 0.639568	 0.008121	 0.000000	 0.044472
121	 0.005597	 0.005086	 0.000041	 0.000000	 0.000420	0.706947	 0.644654	 0.008162	 0.000000	 0.044892
122	 0.007505	 0.006641	 0.000073	 0.000000	 0.000727	0.714452	 0.651295	 0.008235	 0.000000	 0.045619
123	 0.006930	 0.006377	 0.000043	 0.000000	 0.000461	0.721382	 0.657672	 0.008278	 0.000000	 0.046080
124	 0.007258	 0.006338	 0.000068	 0.000000	 0.000788	0.728640	 0.664010	 0.008346	 0.000000	 0.046868
125	 0.007596	 0.007035	 0.000046	 0.000000	 0.000456	0.736236	 0.671045	 0.008392	 0.000000	 0.047324
126	 0.007200	 0.006282	 0.000057	 0.000000	 0.000795	0.743436	 0.677327	 0.008449	 0.000000	 0.048119
127	 0.007544	 0.006962	 0.000051	 0.000000	 0.000479	0.750980	 0.684289	 0.008500	 0.000000	 0.048598
128	 0.007515	 0.006564	 0.000069	 0.000000	 0.000814	0.758495	 0.690853	 0.008569	 0.000000	 0.049412
129	 0.007368	 0.006783	 0.000047	 0.000000	 0.000480	0.765863	 0.697636	 0.008616	 0.000000	 0.049892
130	 0.007939	 0.006776	 0.000076	 0.000000	 0.000980	0.773802	 0.704412	 0.008692	 0.000000	 0.050872
131	 0.007913	 0.007331	 0.000041	 0.000000	 0.000491	0.781715	 0.711743	 0.008733	 0.000000	 0.051363
132	 0.007502	 0.006524	 0.000090	 0.000000	 0.000824	0.789217	 0.718267	 0.008823	 0.000000	 0.052187
133	 0.007836	 0.007264	 0.000045	 0.000000	 0.000477	0.797053	 0.725531	 0.008868	 0.000000	 0.052664
134	 0.007445	 0.006446	 0.000074	 0.000000	 0.000858	0.804498	 0.731977	 0.008942	 0.000000	 0.053522
135	 0.007446	 0.006878	 0.000033	 0.000000	 0.000485	0.811944	 0.738855	 0.008975	 0.000000	 0.054007
136	 0.007411	 0.006411	 0.000061	 0.000000	 0.000867	0.819355	 0.745266	 0.009036	 0.000000	 0.054874
137	 0.007601	 0.007018	 0.000029	 0.000000	 0.000503	0.826956	 0.752284	 0.009065	 0.000000	 0.055377
138	 0.007611	 0.006596	 0.000078	 0.000000	 0.000872	0.834567	 0.758880	 0.009143	 0.000000	 0.056249
139	 0.005957	 0.005369	 0.000031	 0.000000	 0.000508	0.840524	 0.764249	 0.009174	 0.000000	 0.056757
140	 0.006324	 0.005069	 0.000074	 0.000000	 0.001084	0.846848	 0.769318	 0.009248	 0.000000	 0.057841
141	 0.005961	 0.005397	 0.000040	 0.000000	 0.000469	0.852809	 0.774715	 0.009288	 0.000000	 0.058310
142	 0.006058	 0.005097	 0.000068	 0.000000	 0.000833	0.858867	 0.779812	 0.009356	 0.000000	 0.059143
143	 0.005202	 0.004640	 0.000043	 0.000000	 0.000472	0.864069	 0.784452	 0.009399	 0.000000	 0.059615
144	 0.005745	 0.004770	 0.000068	 0.000000	 0.000844	0.869814	 0.789222	 0.009467	 0.000000	 0.060459
145	 0.006053	 0.005466	 0.000042	 0.000000	 0.000497	0.875867	 0.794688	 0.009509	 0.000000	 0.060956
146	 0.006631	 0.005329	 0.000072	 0.000000	 0.001131	0.882498	 0.800017	 0.009581	 0.000000	 0.062087
147	 0.005452	 0.004877	 0.000035	 0.000000	 0.000490	0.887950	 0.804894	 0.009616	 0.000000	 0.062577
148	 0.006184	 0.005194	 0.000052	 0.000000	 0.000874	0.894134	 0.810088	 0.009668	 0.000000	 0.063451
149	 0.005822	 0.005246	 0.000027	 0.000000	 0.000502	0.899956	 0.815334	 0.009695	 0.000000	 0.063953
150	 0.006477	 0.005167	 0.000073	 0.000000	 0.001112	0.906433	 0.820501	 0.009768	 0.000000	 0.065065
151	 0.005921	 0.005302	 0.000057	 0.000000	 0.000514	0.912354	 0.825803	 0.009825	 0.000000	 0.065579
152	 0.005967	 0.004902	 0.000073	 0.000000	 0.000927	0.918321	 0.830705	 0.009898	 0.000000	 0.066506
153	 0.006172	 0.005580	 0.000027	 0.000000	 0.000516	0.924493	 0.836285	 0.009925	 0.000000	 0.067022
154	 0.006514	 0.005493	 0.000050	 0.000000	 0.000909	0.931007	 0.841778	 0.009975	 0.000000	 0.067931
155	 0.005262	 0.004646	 0.000044	 0.000000	 0.000523	0.936269	 0.846424	 0.010019	 0.000000	 0.068454
156	 0.006119	 0.005064	 0.000066	 0.000000	 0.000926	0.942388	 0.851488	 0.010085	 0.000000	 0.069380
157	 0.005554	 0.004960	 0.000027	 0.000000	 0.000520	0.947942	 0.856448	 0.010112	 0.000000	 0.069900
158	 0.006136	 0.005011	 0.000072	 0.000000	 0.000988	0.954078	 0.861459	 0.010184	 0.000000	 0.070888
159	 0.005761	 0.005147	 0.000044	 0.000000	 0.000523	0.959839	 0.866606	 0.010228	 0.000000	 0.071411
160	 0.009398	 0.008324	 0.000066	 0.000000	 0.000945	0.969237	 0.874930	 0.010294	 0.000000	 0.072356
161	 0.005529	 0.004903	 0.000038	 0.000000	 0.000528	0.974766	 0.879833	 0.010332	 0.000000	 0.072884
162	 0.005532	 0.004470	 0.000050	 0.000000	 0.000951	0.980298	 0.884303	 0.010382	 0.000000	 0.073835
163	 0.006011	 0.005403	 0.000026	 0.000000	 0.000534	0.986309	 0.889706	 0.010408	 0.000000	 0.074369
164	 0.006722	 0.005598	 0.000051	 0.000000	 0.001007	0.993031	 0.895304	 0.010459	 0.000000	 0.075376
165	 0.006115	 0.005500	 0.000027	 0.000000	 0.000539	0.999146	 0.900804	 0.010486	 0.000000	 0.075915
166	 0.006491	 0.005422	 0.000048	 0.000000	 0.000959	1.005637	 0.906226	 0.010534	 0.000000	 0.076874
167	 0.006068	 0.005384	 0.000045	 0.000000	 0.000588	1.011705	 0.911610	 0.010579	 0.000000	 0.077462
168	 0.008397	 0.007309	 0.000053	 0.000000	 0.000973	1.020102	 0.918919	 0.010632	 0.000000	 0.078435
169	 0.007070	 0.006434	 0.000044	 0.000000	 0.000545	1.027172	 0.925353	 0.010676	 0.000000	 0.078980
170	 0.007069	 0.005910	 0.000072	 0.000000	 0.001023	1.034241	 0.931263	 0.010748	 0.000000	 0.080003
171	 0.006169	 0.005542	 0.000026	 0.000000	 0.000553	1.040410	 0.936805	 0.010774	 0.000000	 0.080556
172	 0.006695	 0.005267	 0.000076	 0.000000	 0.001241	1.047105	 0.942072	 0.010850	 0.000000	 0.081797
173	 0.006600	 0.005930	 0.000060	 0.000000	 0.000563	1.053705	 0.948002	 0.010910	 0.000000	 0.082360
174	 0.006969	 0.005808	 0.000066	 0.000000	 0.001032	1.060674	 0.953810	 0.010976	 0.000000	 0.083392
175	 0.007137	 0.006465	 0.000043	 0.000000	 0.000572	1.067811	 0.960275	 0.011019	 0.000000	 0.083964
176	 0.007478	 0.006257	 0.000069	 0.000000	 0.001087	1.075289	 0.966532	 0.011088	 0.000000	 0.085051
177	 0.007304	 0.006573	 0.000046	 0.000000	 0.000636	1.082593	 0.973105	 0.011134	 0.000000	 0.085687
178	 0.006581	 0.005307	 0.000080	 0.000000	 0.001127	1.089174	 0.978412	 0.011214	 0.000000	 0.086814
179	 0.006738	 0.006029	 0.000032	 0.000000	 0.000625	1.095912	 0.984441	 0.011246	 0.000000	 0.087439
180	 0.006231	 0.004998	 0.000052	 0.000000	 0.001117	1.102143	 0.989439	 0.011298	 0.000000	 0.088556
181	 0.007464	 0.006739	 0.000029	 0.000000	 0.000636	1.109607	 0.996178	 0.011327	 0.000000	 0.089192
182	 0.006509	 0.005239	 0.000073	 0.000000	 0.001131	1.116116	 1.001417	 0.011400	 0.000000	 0.090323
183	 0.006460	 0.005707	 0.000045	 0.000000	 0.000659	1.122576	 1.007124	 0.011445	 0.000000	 0.090982
184	 0.006605	 0.005321	 0.000063	 0.000000	 0.001153	1.129181	 1.012445	 0.011508	 0.000000	 0.092135
185	 0.006333	 0.005578	 0.000047	 0.000000	 0.000657	1.135514	 1.018023	 0.011555	 0.000000	 0.092792
186	 0.006268	 0.004994	 0.000060	 0.000000	 0.001140	1.141782	 1.023017	 0.011615	 0.000000	 0.093932
187	 0.006545	 0.005807	 0.000028	 0.000000	 0.000659	1.148327	 1.028824	 0.011643	 0.000000	 0.094591
188	 0.006913	 0.005606	 0.000077	 0.000000	 0.001145	1.155240	 1.034430	 0.011720	 0.000000	 0.095736
189	 0.006007	 0.005252	 0.000047	 0.000000	 0.000656	1.161247	 1.039682	 0.011767	 0.000000	 0.096392
190	 0.006401	 0.005074	 0.000073	 0.000000	 0.001188	1.167648	 1.044756	 0.011840	 0.000000	 0.097580
191	 0.006726	 0.005964	 0.000042	 0.000000	 0.000662	1.174374	 1.050720	 0.011882	 0.000000	 0.098242
192	 0.006486	 0.005188	 0.000063	 0.000000	 0.001171	1.180860	 1.055908	 0.011945	 0.000000	 0.099413
193	 0.006433	 0.005653	 0.000045	 0.000000	 0.000677	1.187293	 1.061561	 0.011990	 0.000000	 0.100090
194	 0.006861	 0.005533	 0.000070	 0.000000	 0.001193	1.194154	 1.067094	 0.012060	 0.000000	 0.101283
195	 0.006603	 0.005835	 0.000030	 0.000000	 0.000682	1.200757	 1.072929	 0.012090	 0.000000	 0.101965
196	 0.006795	 0.005486	 0.000050	 0.000000	 0.001195	1.207552	 1.078415	 0.012140	 0.000000	 0.103160
197	 0.006300	 0.005533	 0.000029	 0.000000	 0.000680	1.213852	 1.083948	 0.012169	 0.000000	 0.103840
198	 0.006116	 0.004783	 0.000073	 0.000000	 0.001195	1.219968	 1.088731	 0.012242	 0.000000	 0.105035
199	 0.006247	 0.005469	 0.000028	 0.000000	 0.000682	1.226215	 1.094200	 0.012270	 0.000000	 0.105717
200	 0.005886	 0.004546	 0.000053	 0.000000	 0.001214	1.232101	 1.098746	 0.012323	 0.000000	 0.106931
201	 0.005439	 0.004652	 0.000048	 0.000000	 0.000690	1.237540	 1.103398	 0.012371	 0.000000	 0.107621
202	 0.006214	 0.004893	 0.000054	 0.000000	 0.001203	1.243754	 1.108291	 0.012425	 0.000000	 0.108824
203	 0.006233	 0.005417	 0.000052	 0.000000	 0.000711	1.249987	 1.113708	 0.012477	 0.000000	 0.109535
204	 0.006295	 0.004930	 0.000055	 0.000000	 0.001246	1.256282	 1.118638	 0.012532	 0.000000	 0.110781
205	 0.006159	 0.005376	 0.000029	 0.000000	 0.000695	1.262441	 1.124014	 0.012561	 0.000000	 0.111476
206	 0.006168	 0.004770	 0.000076	 0.000000	 0.001247	1.268609	 1.128784	 0.012637	 0.000000	 0.112723
207	 0.005925	 0.005131	 0.000048	 0.000000	 0.000694	1.274534	 1.133915	 0.012685	 0.000000	 0.113417
208	 0.006091	 0.004687	 0.000075	 0.000000	 0.001262	1.280625	 1.138602	 0.012760	 0.000000	 0.114679
209	 0.006206	 0.005389	 0.000043	 0.000000	 0.000723	1.286831	 1.143991	 0.012803	 0.000000	 0.115402
210	 0.006539	 0.004685	 0.000089	 0.000000	 0.001662	1.293370	 1.148676	 0.012892	 0.000000	 0.117064
211	 0.006278	 0.005438	 0.000051	 0.000000	 0.000737	1.299648	 1.154114	 0.012943	 0.000000	 0.117801
212	 0.006294	 0.004882	 0.000053	 0.000000	 0.001286	1.305942	 1.158996	 0.012996	 0.000000	 0.119087
213	 0.006818	 0.006021	 0.000029	 0.000000	 0.000715	1.312760	 1.165017	 0.013025	 0.000000	 0.119802
214	 0.006254	 0.004779	 0.000057	 0.000000	 0.001320	1.319014	 1.169796	 0.013082	 0.000000	 0.121122
215	 0.006526	 0.005690	 0.000031	 0.000000	 0.000751	1.325540	 1.175486	 0.013113	 0.000000	 0.121873
216	 0.007217	 0.005584	 0.000097	 0.000000	 0.001439	1.332757	 1.181070	 0.013210	 0.000000	 0.123312
217	 0.009598	 0.008686	 0.000057	 0.000000	 0.000794	1.342355	 1.189756	 0.013267	 0.000000	 0.124106
218	 0.006354	 0.004831	 0.000093	 0.000000	 0.001354	1.348709	 1.194587	 0.013360	 0.000000	 0.125460
219	 0.008061	 0.007140	 0.000053	 0.000000	 0.000791	1.356770	 1.201727	 0.013413	 0.000000	 0.126251
220	 0.006659	 0.005072	 0.000089	 0.000000	 0.001421	1.363429	 1.206799	 0.013502	 0.000000	 0.127672
221	 0.006442	 0.005577	 0.000032	 0.000000	 0.000780	1.369871	 1.212376	 0.013534	 0.000000	 0.128452
222	 0.006500	 0.005008	 0.000076	 0.000000	 0.001348	1.376371	 1.217384	 0.013610	 0.000000	 0.129800
223	 0.006002	 0.005126	 0.000044	 0.000000	 0.000771	1.382373	 1.222510	 0.013654	 0.000000	 0.130571
224	 0.007009	 0.005038	 0.000075	 0.000000	 0.001793	1.389382	 1.227548	 0.013729	 0.000000	 0.132364
225	 0.005711	 0.004838	 0.000049	 0.000000	 0.000763	1.395093	 1.232386	 0.013778	 0.000000	 0.133127
226	 0.006275	 0.004779	 0.000054	 0.000000	 0.001379	1.401368	 1.237165	 0.013832	 0.000000	 0.134506
227	 0.005302	 0.004445	 0.000047	 0.000000	 0.000760	1.406670	 1.241610	 0.013879	 0.000000	 0.135266
228	 0.006179	 0.004653	 0.000084	 0.000000	 0.001374	1.412849	 1.246263	 0.013963	 0.000000	 0.136640
