Iter	 Iter_time	 Master	 Subprob	 Full_Test	 argmax	Iter_acc	 Master_acc	 Subprob_acc	 Full_Test_acc	 argmax_acc
1	 0.010915	 0.010470	 0.000288	 0.000000	 0.000073	0.010915	 0.010470	 0.000288	 0.000000	 0.000073
2	 0.004642	 0.004249	 0.000122	 0.000000	 0.000158	0.015557	 0.014719	 0.000410	 0.000000	 0.000231
3	 0.004115	 0.003884	 0.000077	 0.000000	 0.000083	0.019672	 0.018603	 0.000487	 0.000000	 0.000314
4	 0.003885	 0.003503	 0.000098	 0.000000	 0.000175	0.023557	 0.022106	 0.000585	 0.000000	 0.000489
5	 0.003955	 0.003751	 0.000054	 0.000000	 0.000084	0.027512	 0.025857	 0.000639	 0.000000	 0.000573
6	 0.004224	 0.003893	 0.000112	 0.000000	 0.000134	0.031736	 0.029750	 0.000751	 0.000000	 0.000707
7	 0.004505	 0.004237	 0.000072	 0.000000	 0.000125	0.036241	 0.033987	 0.000823	 0.000000	 0.000832
8	 0.004754	 0.004495	 0.000097	 0.000000	 0.000073	0.040995	 0.038482	 0.000920	 0.000000	 0.000905
9	 0.014283	 0.013959	 0.000079	 0.000000	 0.000159	0.055278	 0.052441	 0.000999	 0.000000	 0.001064
10	 0.004887	 0.004417	 0.000101	 0.000000	 0.000237	0.060165	 0.056858	 0.001100	 0.000000	 0.001301
11	 0.004297	 0.004088	 0.000049	 0.000000	 0.000083	0.064462	 0.060946	 0.001149	 0.000000	 0.001384
12	 0.004797	 0.004414	 0.000079	 0.000000	 0.000176	0.069259	 0.065360	 0.001228	 0.000000	 0.001560
13	 0.004626	 0.004468	 0.000052	 0.000000	 0.000068	0.073885	 0.069828	 0.001280	 0.000000	 0.001628
14	 0.005926	 0.005588	 0.000087	 0.000000	 0.000126	0.079811	 0.075416	 0.001367	 0.000000	 0.001754
15	 0.004697	 0.004402	 0.000070	 0.000000	 0.000134	0.084508	 0.079818	 0.001437	 0.000000	 0.001888
16	 0.005258	 0.004907	 0.000082	 0.000000	 0.000174	0.089766	 0.084725	 0.001519	 0.000000	 0.002062
17	 0.005030	 0.004742	 0.000050	 0.000000	 0.000158	0.094796	 0.089467	 0.001569	 0.000000	 0.002220
18	 0.005309	 0.004940	 0.000092	 0.000000	 0.000188	0.100105	 0.094407	 0.001661	 0.000000	 0.002408
19	 0.004457	 0.004205	 0.000051	 0.000000	 0.000121	0.104562	 0.098612	 0.001712	 0.000000	 0.002529
20	 0.004876	 0.004446	 0.000093	 0.000000	 0.000205	0.109438	 0.103058	 0.001805	 0.000000	 0.002734
