Iter 	incumb_est 	candid_est 	error
1 	151.380172 	388.750000 	-1.568038
2 	399.247724 	384.548781 	0.036817
3 	390.324539 	359.500000 	0.078972
4 	405.123293 	378.812501 	0.064945
5 	346.041336 	343.024375 	0.008718
6 	400.246876 	371.289583 	0.072349
7 	381.048303 	360.303247 	0.054442
8 	395.778126 	369.323249 	0.066843
9 	367.998542 	361.148141 	0.018615
10 	404.571876 	379.118591 	0.062914
11 	379.282103 	372.504727 	0.017869
12 	406.351042 	380.537861 	0.063524
13 	395.883797 	381.251621 	0.036961
14 	414.068304 	383.147894 	0.074675
15 	405.962542 	404.296667 	0.004104
16 	497.153125 	397.901198 	0.199641
17 	475.343199 	381.672070 	0.197060
18 	488.482986 	374.744461 	0.232840
19 	445.975995 	393.628175 	0.117378
20 	429.849730 	396.661440 	0.077209
21 	442.584745 	408.114466 	0.077884
22 	428.078652 	401.774784 	0.061446
23 	450.862322 	356.542632 	0.209198
24 	450.053054 	410.964426 	0.086853
25 	451.293610 	416.244618 	0.077663
26 	438.684267 	411.099438 	0.062881
27 	444.512074 	407.954247 	0.082243
28 	433.045596 	411.387862 	0.050013
29 	444.158029 	411.344232 	0.073879
30 	433.467784 	412.291074 	0.048854
31 	447.551280 	418.688797 	0.064490
32 	437.423137 	417.116583 	0.046423
33 	448.078682 	415.535818 	0.072628
34 	438.530800 	415.626732 	0.052229
35 	450.088667 	417.085747 	0.073325
36 	441.015390 	421.180107 	0.044976
37 	447.867843 	417.503122 	0.067798
38 	439.330550 	411.704703 	0.062882
39 	432.753581 	420.527622 	0.028252
40 	426.404789 	416.312313 	0.023669
41 	433.883581 	420.234379 	0.031458
42 	427.810208 	419.140768 	0.020265
43 	436.732883 	427.203422 	0.021820
44 	430.870816 	422.094705 	0.020368
45 	436.975581 	422.886782 	0.032242
46 	431.363110 	419.422667 	0.027681
47 	434.518692 	423.235802 	0.025966
48 	429.191259 	422.115770 	0.016486
49 	437.161544 	425.334111 	0.027055
50 	431.994351 	420.173675 	0.027363
51 	438.529467 	428.854560 	0.022062
52 	433.534706 	427.326404 	0.014320
53 	438.307491 	428.516205 	0.022339
54 	433.501832 	424.068818 	0.021760
55 	435.914079 	426.737137 	0.021052
56 	431.322791 	422.896866 	0.019535
57 	436.589676 	424.823838 	0.026949
58 	432.145059 	423.313068 	0.020438
59 	436.568622 	425.913680 	0.024406
60 	432.272510 	422.032958 	0.023688
61 	436.684194 	426.080598 	0.024282
62 	432.524802 	423.615490 	0.020598
63 	439.426658 	428.208752 	0.025529
64 	435.354396 	428.466557 	0.015821
65 	440.949486 	432.239223 	0.019753
66 	436.977553 	428.478980 	0.019449
67 	440.800802 	432.154910 	0.019614
68 	436.947877 	428.081678 	0.020291
69 	440.729680 	429.936290 	0.024490
70 	436.987855 	427.584330 	0.021519
71 	440.233692 	432.496996 	0.017574
72 	436.602695 	429.418648 	0.016454
73 	440.381319 	431.702567 	0.019707
74 	436.846462 	429.737242 	0.016274
75 	440.429646 	431.789263 	0.019618
76 	436.987176 	430.733330 	0.014311
77 	442.441605 	433.616538 	0.019946
78 	439.061609 	431.460612 	0.017312
79 	440.424442 	431.161731 	0.021031
80 	437.154161 	429.925496 	0.016536
81 	439.719446 	429.172953 	0.023985
82 	436.537525 	428.681887 	0.017995
83 	440.555655 	432.919044 	0.017334
84 	437.439538 	429.809820 	0.017442
85 	442.278229 	432.482924 	0.022147
86 	439.214551 	432.714080 	0.014800
87 	443.628501 	436.288686 	0.016545
88 	440.619108 	435.354522 	0.011948
89 	442.041651 	434.340451 	0.017422
90 	439.116765 	431.445637 	0.017469
91 	441.452760 	436.754893 	0.010642
92 	438.597859 	434.135448 	0.010174
93 	441.468691 	433.793967 	0.017385
94 	438.674364 	431.980025 	0.015260
95 	441.555005 	433.172064 	0.018985
96 	438.817993 	432.098683 	0.015312
97 	438.528517 	433.181433 	0.012193
98 	435.673576 	432.290121 	0.007766
99 	437.602580 	430.369805 	0.016528
100 	434.813997 	430.894314 	0.009015
101 	442.689886 	431.742492 	0.024729
102 	439.906106 	431.962231 	0.018058
103 	442.509255 	433.385351 	0.020619
104 	439.780745 	432.457710 	0.016652
105 	442.063187 	433.185211 	0.020083
106 	439.390367 	432.891759 	0.014790
107 	441.010243 	432.194956 	0.019989
108 	438.396669 	432.278057 	0.013957
109 	438.550828 	433.849613 	0.010720
110 	436.027704 	433.148944 	0.006602
111 	443.014786 	438.642957 	0.009868
112 	440.496860 	438.705936 	0.004066
113 	443.753391 	440.592120 	0.007124
114 	441.273161 	439.043788 	0.005052
115 	442.451610 	439.879319 	0.005814
116 	440.025364 	438.646016 	0.003135
117 	442.470388 	440.041175 	0.005490
118 	440.085107 	438.264563 	0.004137
119 	443.337628 	440.624877 	0.006119
120 	440.984874 	439.811399 	0.002661
121 	441.454020 	440.088941 	0.003092
122 	440.869959 	438.553424 	0.005254
123 	441.426548 	439.290906 	0.004838
124 	439.230267 	438.289284 	0.002142
125 	440.584011 	439.004401 	0.003585
126 	438.646601 	437.200340 	0.003297
127 	440.037061 	438.307529 	0.003930
128 	437.920270 	437.250738 	0.001529
129 	440.118699 	438.609408 	0.003429
130 	438.922004 	437.592769 	0.003028
131 	439.327434 	437.701943 	0.003700
132 	437.280164 	436.586034 	0.001587
133 	438.981595 	435.693202 	0.007491
134 	436.967461 	434.851508 	0.004842
135 	439.183018 	437.252110 	0.004397
136 	437.356714 	436.338081 	0.002329
137 	439.734927 	438.713576 	0.002323
138 	439.731916 	437.359301 	0.005396
139 	439.846493 	438.731900 	0.002534
140 	439.021913 	437.337705 	0.003836
141 	440.612696 	439.556213 	0.002398
142 	439.864545 	438.459236 	0.003195
143 	441.707981 	440.833759 	0.001979
144 	440.263204 	439.483550 	0.001771
145 	441.210533 	440.232682 	0.002216
146 	439.862465 	438.754560 	0.002519
147 	440.267437 	439.584995 	0.001550
148 	439.722097 	438.048323 	0.003806
149 	439.576170 	438.748153 	0.001884
150 	437.903211 	437.277854 	0.001428
151 	439.567902 	438.708254 	0.001956
152 	438.179966 	437.111911 	0.002437
153 	438.953352 	438.375033 	0.001317
154 	438.891489 	436.844316 	0.004664
155 	439.753809 	439.094661 	0.001499
156 	439.825457 	437.459819 	0.005379
157 	440.741657 	440.090006 	0.001479
158 	440.732532 	440.121278 	0.001387
159 	441.460952 	439.840629 	0.003670
160 	439.758619 	438.275165 	0.003373
161 	442.142965 	441.471014 	0.001520
162 	440.457439 	439.777932 	0.001543
163 	441.967344 	441.648642 	0.000721
164 	442.185789 	441.904806 	0.000635
165 	440.503972 	440.245462 	0.000587
166 	442.480592 	442.293277 	0.000423
167 	440.817152 	440.622563 	0.000441
168 	442.833737 	442.696987 	0.000309
169 	441.187893 	441.060234 	0.000289
170 	442.658157 	442.416427 	0.000546
171 	441.611226 	440.888207 	0.001637
172 	443.463803 	443.329614 	0.000303
173 	441.977624 	441.771975 	0.000465
174 	442.524301 	442.419440 	0.000237
175 	441.702330 	440.896815 	0.001824
176 	442.617183 	442.398401 	0.000494
177 	441.033125 	440.937987 	0.000216
178 	442.036677 	441.899329 	0.000311
179 	440.473560 	440.426296 	0.000107
180 	441.476681 	441.317880 	0.000360
181 	439.929596 	439.894565 	0.000080
182 	441.010918 	440.827955 	0.000415
183 	440.333108 	439.466245 	0.001969
184 	441.479799 	441.292287 	0.000425
185 	439.963045 	439.920094 	0.000098
186 	440.359628 	440.220359 	0.000316
187 	438.865615 	438.854950 	0.000024
188 	439.495728 	439.311536 	0.000419
189 	438.366494 	438.026836 	0.000775
190 	438.709226 	438.552575 	0.000357
191 	437.751974 	437.271862 	0.001097
192 	438.813008 	438.577543 	0.000537
193 	437.646959 	437.381856 	0.000606
194 	438.705895 	438.477659 	0.000520
195 	437.768296 	437.300380 	0.001069
196 	438.171911 	437.974278 	0.000451
197 	437.465265 	436.823313 	0.001467
198 	438.374945 	438.145554 	0.000523
199 	437.512313 	437.024648 	0.001115
200 	438.412676 	438.162745 	0.000570
201 	437.503955 	437.076769 	0.000976
202 	438.473415 	438.215200 	0.000589
203 	437.711542 	437.164805 	0.001249
