Iter	 Iter_time	 Master	 Subprob	 Full_Test	 argmax	Iter_acc	 Master_acc	 Subprob_acc	 Full_Test_acc	 argmax_acc
1	 0.004641	 0.004275	 0.000233	 0.000000	 0.000071	0.004641	 0.004275	 0.000233	 0.000000	 0.000071
2	 0.005443	 0.005164	 0.000092	 0.000000	 0.000092	0.010084	 0.009439	 0.000325	 0.000000	 0.000163
3	 0.005933	 0.005763	 0.000047	 0.000000	 0.000059	0.016017	 0.015202	 0.000372	 0.000000	 0.000222
4	 0.004598	 0.004369	 0.000102	 0.000000	 0.000064	0.020615	 0.019571	 0.000474	 0.000000	 0.000286
5	 0.004746	 0.004566	 0.000065	 0.000000	 0.000053	0.025361	 0.024137	 0.000539	 0.000000	 0.000339
6	 0.004985	 0.004746	 0.000091	 0.000000	 0.000078	0.030346	 0.028883	 0.000630	 0.000000	 0.000417
7	 0.004979	 0.004813	 0.000054	 0.000000	 0.000058	0.035325	 0.033696	 0.000684	 0.000000	 0.000475
8	 0.003961	 0.003767	 0.000064	 0.000000	 0.000073	0.039286	 0.037463	 0.000748	 0.000000	 0.000548
9	 0.004135	 0.004060	 0.000031	 0.000000	 0.000024	0.043421	 0.041523	 0.000779	 0.000000	 0.000572
10	 0.004412	 0.004280	 0.000071	 0.000000	 0.000038	0.047833	 0.045803	 0.000850	 0.000000	 0.000610
11	 0.004961	 0.004796	 0.000037	 0.000000	 0.000074	0.052794	 0.050599	 0.000887	 0.000000	 0.000684
12	 0.004611	 0.004489	 0.000066	 0.000000	 0.000031	0.057405	 0.055088	 0.000953	 0.000000	 0.000715
13	 0.007158	 0.006998	 0.000039	 0.000000	 0.000063	0.064563	 0.062086	 0.000992	 0.000000	 0.000778
14	 0.008092	 0.007774	 0.000147	 0.000000	 0.000090	0.072655	 0.069860	 0.001139	 0.000000	 0.000868
15	 0.006951	 0.006852	 0.000045	 0.000000	 0.000028	0.079606	 0.076712	 0.001184	 0.000000	 0.000896
