Iter	 Iter_time	 Master	 Subprob	 Full_Test	 argmax	Iter_acc	 Master_acc	 Subprob_acc	 Full_Test_acc	 argmax_acc
1	 0.000769	 0.000493	 0.000202	 0.000000	 0.000035	0.000769	 0.000493	 0.000202	 0.000000	 0.000035
2	 0.002950	 0.002579	 0.000138	 0.000000	 0.000165	0.003719	 0.003072	 0.000340	 0.000000	 0.000200
3	 0.003674	 0.003494	 0.000092	 0.000000	 0.000039	0.007393	 0.006566	 0.000432	 0.000000	 0.000239
4	 0.003875	 0.003578	 0.000165	 0.000000	 0.000054	0.011268	 0.010144	 0.000597	 0.000000	 0.000293
5	 0.003696	 0.003477	 0.000119	 0.000000	 0.000041	0.014964	 0.013621	 0.000716	 0.000000	 0.000334
6	 0.003829	 0.003513	 0.000170	 0.000000	 0.000083	0.018793	 0.017134	 0.000886	 0.000000	 0.000417
7	 0.003804	 0.003590	 0.000108	 0.000000	 0.000040	0.022597	 0.020724	 0.000994	 0.000000	 0.000457
8	 0.003783	 0.003503	 0.000157	 0.000000	 0.000063	0.026380	 0.024227	 0.001151	 0.000000	 0.000520
9	 0.003027	 0.002817	 0.000114	 0.000000	 0.000043	0.029407	 0.027044	 0.001265	 0.000000	 0.000563
10	 0.004862	 0.004601	 0.000137	 0.000000	 0.000058	0.034269	 0.031645	 0.001402	 0.000000	 0.000621
11	 0.005023	 0.004864	 0.000080	 0.000000	 0.000028	0.039292	 0.036509	 0.001482	 0.000000	 0.000649
12	 0.004655	 0.004362	 0.000168	 0.000000	 0.000066	0.043947	 0.040871	 0.001650	 0.000000	 0.000715
13	 0.004350	 0.004217	 0.000067	 0.000000	 0.000028	0.048297	 0.045088	 0.001717	 0.000000	 0.000743
14	 0.004107	 0.003885	 0.000115	 0.000000	 0.000048	0.052404	 0.048973	 0.001832	 0.000000	 0.000791
15	 0.004380	 0.004227	 0.000078	 0.000000	 0.000031	0.056784	 0.053200	 0.001910	 0.000000	 0.000822
16	 0.004513	 0.004230	 0.000174	 0.000000	 0.000059	0.061297	 0.057430	 0.002084	 0.000000	 0.000881
17	 0.004191	 0.004055	 0.000068	 0.000000	 0.000028	0.065488	 0.061485	 0.002152	 0.000000	 0.000909
18	 0.004706	 0.004512	 0.000108	 0.000000	 0.000047	0.070194	 0.065997	 0.002260	 0.000000	 0.000956
19	 0.004703	 0.004564	 0.000071	 0.000000	 0.000032	0.074897	 0.070561	 0.002331	 0.000000	 0.000988
20	 0.004964	 0.004767	 0.000106	 0.000000	 0.000047	0.079861	 0.075328	 0.002437	 0.000000	 0.001035
21	 0.004602	 0.004479	 0.000053	 0.000000	 0.000030	0.084463	 0.079807	 0.002490	 0.000000	 0.001065
22	 0.004778	 0.004556	 0.000126	 0.000000	 0.000049	0.089241	 0.084363	 0.002616	 0.000000	 0.001114
23	 0.004532	 0.004366	 0.000076	 0.000000	 0.000033	0.093773	 0.088729	 0.002692	 0.000000	 0.001147
24	 0.004506	 0.004359	 0.000077	 0.000000	 0.000030	0.098279	 0.093088	 0.002769	 0.000000	 0.001177
25	 0.005603	 0.005384	 0.000112	 0.000000	 0.000048	0.103882	 0.098472	 0.002881	 0.000000	 0.001225
26	 0.004474	 0.004275	 0.000104	 0.000000	 0.000037	0.108356	 0.102747	 0.002985	 0.000000	 0.001262
27	 0.003723	 0.003374	 0.000165	 0.000000	 0.000096	0.112079	 0.106121	 0.003150	 0.000000	 0.001358
28	 0.003891	 0.003687	 0.000106	 0.000000	 0.000044	0.115970	 0.109808	 0.003256	 0.000000	 0.001402
29	 0.004194	 0.003954	 0.000120	 0.000000	 0.000052	0.120164	 0.113762	 0.003376	 0.000000	 0.001454
30	 0.002158	 0.001954	 0.000108	 0.000000	 0.000046	0.122322	 0.115716	 0.003484	 0.000000	 0.001500
31	 0.001583	 0.001368	 0.000115	 0.000000	 0.000060	0.123905	 0.117084	 0.003599	 0.000000	 0.001560
32	 0.001577	 0.001479	 0.000039	 0.000000	 0.000026	0.125482	 0.118563	 0.003638	 0.000000	 0.001586
33	 0.001645	 0.001498	 0.000065	 0.000000	 0.000045	0.127127	 0.120061	 0.003703	 0.000000	 0.001631
