Iter 	incumb_est 	candid_est 	error
1 	-134200.000000 	-159999.999913 	-0.192250
2 	-86860.000000 	-92060.225300 	-0.059869
3 	-97440.000000 	-102768.627200 	-0.054686
4 	-86860.000000 	-95990.110431 	-0.105113
5 	-96328.000000 	-96703.075992 	-0.003894
6 	-102340.000000 	-102571.517133 	-0.002262
7 	-95594.285714 	-105189.274816 	-0.100372
8 	-90535.000000 	-94888.694800 	-0.048089
9 	-89711.111111 	-95831.515166 	-0.068223
10 	-83452.000000 	-86369.074824 	-0.034955
11 	-88065.454545 	-89269.097412 	-0.013668
12 	-91760.000000 	-92300.310765 	-0.005888
13 	-88941.538462 	-93959.836048 	-0.056422
14 	-86525.714286 	-89019.223421 	-0.028818
15 	-89704.000000 	-91284.433601 	-0.017618
16 	-92372.500000 	-93045.083500 	-0.007281
17 	-93915.294118 	-94895.948828 	-0.010442
18 	-91760.000000 	-93313.342268 	-0.016928
19 	-93993.684210 	-94400.082629 	-0.004324
20 	-92740.000000 	-93117.805632 	-0.004074
21 	-94714.285714 	-94934.947691 	-0.002330
22 	-93541.818182 	-94178.846463 	-0.006810
23 	-93290.434783 	-95229.085839 	-0.020781
24 	-94210.000000 	-94479.216584 	-0.002858
25 	-96018.184512 	-96018.184580 	-0.000000
26 	-97438.770348 	-97438.769878 	0.000000
27 	-98754.127541 	-98754.127451 	0.000000
28 	-99975.531063 	-101014.285338 	-0.010390
29 	-101112.699943 	-101537.429714 	-0.004201
30 	-102174.057565 	-102826.862790 	-0.006389
31 	-104067.861368 	-104067.861201 	0.000000
32 	-104941.305453 	-105213.558397 	-0.002594
33 	-103421.422919 	-106197.730279 	-0.026845
34 	-104290.879515 	-106879.750214 	-0.024824
35 	-104911.515469 	-105554.285480 	-0.006127
36 	-105844.552793 	-106007.625299 	-0.001541
37 	-105055.221068 	-105461.374237 	-0.003866
38 	-105935.369439 	-106127.256071 	-0.001811
39 	-103762.056258 	-103807.692235 	-0.000440
40 	-104681.942961 	-104759.681572 	-0.000743
41 	-105513.547310 	-105538.774629 	-0.000239
42 	-105503.227129 	-105629.805986 	-0.001200
43 	-104786.638982 	-106276.360636 	-0.014217
44 	-104309.996960 	-104387.613644 	-0.000744
45 	-103098.406344 	-104924.956585 	-0.017717
46 	-103874.043625 	-104446.028095 	-0.005507
47 	-104616.675064 	-105145.706338 	-0.005057
48 	-104651.743790 	-104721.195544 	-0.000664
